MFR,meter_id,RUN_STATUS,RUN_YEARS,COMM_TIME_LOC,COMM_TIME_DIST,CPU_RATE,CPU_RATE_AVG,DISK_RATE,DISK_RATE_AVG,TEMP_ERR_RATE,ONLINE_DUR,ONLINE_TIME,SIG_STR,ONOFF_NUM,ONOFF_30D_NUM,OFFSET_TIME,FLOW_STAT,METER_NET_RATE,CUST_NUM_FLAG,COLL_FAIL_RATE_7D,METER_FAIL_RATE,POWEROFF_NUM_30D,TASK_SUCC_RATE,,is_removed
鼎信,TERM_00023,0,7.654525692891812,90.29836888828251,90.66945032644946,47.25801942358333,39.023254152993225,75.38788807694414,68.73078535637718,0.1210443966671748,1571.761113841925,11615.36876272663,-105.8773508,348,71,434.0170972473832,0.2538026699753134,0.15485105866889315,0,0.28817108654473367,0.20966223069295994,41,0.5913213553357346,0,0
威胜,TERM_00024,0,5.51776255280589,72.76052181924248,55.02583002276998,39.85840839245074,33.23261222257137,46.911776886436186,37.143935240094535,0.15926249323528963,3035.0096253854067,27748.395998299493,-92.11819739,310,62,374.0852659092539,0.2899361016986014,0.1523306127273405,0,0.20555793140316156,0.1429363047248004,17,0.7817452542598637,0,0
鼎信,TERM_00025,0,6.564427084658541,57.30821232947446,71.51267162327636,59.81497593682469,62.594744557158734,56.56900923608344,57.26696538775807,0.07117628614261379,2179.282079412077,17637.512575176243,-123.4935906,284,59,407.99352384183504,0.17166360999217234,0.5194690912440343,1,0.6032372854821442,0.19573914019357577,26,0.5790602452715494,0,0
华为,TERM_00026,0,0.5,67.5604069490104,47.881072901334264,30.049956763989115,26.43415250464032,39.878116558245395,26.37646770668899,0.1233608397939281,5868.734804095594,42225.25082556809,-71.08706991,204,36,145.721737122885,0.5495541292768843,0.045245613566018694,0,0.12980212840783512,0.06824641054795708,9,0.8372976526843131,0,0
威胜,TERM_00027,0,2.701418657579673,20.686927433198015,32.87255809676459,28.94791650934208,30.11566999618742,51.831524948406226,46.11712424497552,0.03846961086938298,6686.077798706497,58547.498433526365,-71.3876405,79,16,69.76179210756827,0.8019595289934718,0.03799846330507601,0,0.039644973686847766,0.08455901820797479,0,0.8664633529335162,0,0
中兴,TERM_00028,0,5.891011113772445,46.44226354921747,96.30466113584859,42.19144719113443,38.617967218576005,37.46210707275437,38.52592743733095,0.09570690325835016,4572.735223344655,44132.832518936055,-64.2220268,144,31,232.4155781058986,0.6146314459376033,0.1354859131551131,0,0.09962266364758145,0.08602627716712194,14,0.7727634380997354,0,0
中兴,TERM_00029,0,1.718284705964379,53.96467709102847,1,18.771307011861285,12.87012848677883,42.13832545511425,33.35776221381771,0.026136804232387092,7425.503071542632,65178.37460774189,-81.39581813,24,12,69.64683584607874,0.8504972288870792,0.029678584439600423,0,0.050662682325830426,0.03323147899391049,7,0.9227773892671421,0,0
华为,TERM_00030,0,4.276470385916224,14.742886187103238,52.12743032495557,29.14193458949769,18.92937190383975,55.08458201513373,52.71893398035597,0.08573729249555631,4443.211586261401,36909.02367277753,-85.53787734,146,40,132.3062647228005,0.6246824829414346,0.1206755256010945,0,0.08744299064900037,0.03263910362565609,16,0.8524532946138711,0,0
中兴,TERM_00031,0,3.207107805674102,21.718149467095206,68.92560875336402,31.555807522107862,34.525949887444185,50.34992071497406,45.1079314533871,0.03629333581691764,5287.932599433238,38157.77741819339,-91.06288842,159,42,253.56669106875745,0.549138911393102,0.09489608397623073,0,0.13543363381785406,0.06314841639186974,11,0.8527578046791415,0,0
中兴,TERM_00032,1,8.488967575547262,96.0258976859223,105.80360496602381,47.22690929047128,47.181717352434546,82.44577626637798,77.256446266674,0.10814460163778575,541.8658359624158,4389.826946875146,-105.6567772,401,84,486.2389276044735,0.049179071440890385,0.24648224768552232,0,0.2132385297893117,0.17740622271484363,25,0.5989420419685187,1,1
中兴,TERM_00033,1,2.1134893249254785,1,32.36254745696406,26.81524096341868,27.22498185198492,18.310660254187127,16.382019723357693,0.09802002669291203,7426.205453056546,68597.25872893559,-60.79566551,53,12,11.375023863775066,0.7587593072584796,0.027536896595092942,0,0.05821923146953875,0,0,0.9139312961001761,0,1
中兴,TERM_00034,0,2.071415008568157,6.617499524620129,30.549713081570935,34.67546677372918,34.30128823815224,49.71410651667712,33.56093569264372,0.10194395088498359,6148.387154036459,61278.535821524645,-78.59368968,83,22,128.70456994127983,0.6150318978897176,0.07857644194247203,0,0.11454699159647296,0.03851776625777313,5,0.9063569050761449,0,0
威胜,TERM_00035,0,4.5735038363636065,44.33192813451446,17.34075324384468,24.46868781733062,15.918115293907128,36.53474863479328,38.75492053614242,0,7789.694059273809,56045.17733067476,-66.07041464,46,4,79.95216934533074,0.9204188562960794,0.04557638302577681,0,0.04841974253138783,0.05784871786860622,5,0.9603942063413236,0,0
华为,TERM_00036,1,9.384306338810148,83.7608298565766,102.52359913389589,70.81680268209442,67.1418390282697,54.89568641288841,38.513762549894295,0.1712842753473098,485.6958044057179,5094.147201680151,-130,394,85,538.282294781819,0.016504544281879863,0.19729181217277314,0,0.25243547926452015,0.2236235474974381,33,0.6074250205150937,1,1
林洋,TERM_00037,0,1.160483537974873,53.73285303456881,44.275386405530845,18.362808675396955,18.797124505769865,24.58477634318639,26.40027191878232,0.046319326724502556,8472.936332353223,71590.15676574284,-50.71568023,58,0,12.3687029749733,0.8163829673650257,0.04779253868808102,0,0.036102464008628314,0,3,0.9027630883026461,0,0
威胜,TERM_00038,0,6.619211791964662,49.65796215397312,69.3440373024196,50.75758142319744,50.47926569718099,73.24076881847424,70.8448421162067,0.12016466484529156,3325.129044141312,20065.94751995269,-91.12824353,208,45,403.78564041446,0.3038093637440073,0.1586216658041859,1,0.17714236508121362,0.1860511985093741,13,0.6395677717887043,0,0
威胜,TERM_00039,0,3.2527367092638038,20.43332457566384,94.82092885752091,26.86413342885242,22.64709095578471,43.927489464215526,41.76633489671109,0.014171276143624713,7557.6601181257265,56451.98976486591,-57.41000579,99,4,126.91008633832175,0.7343148804924009,0.04215252307031811,0,0.04224959023968956,0.058570072810312596,6,0.9569211731369273,0,0
华为,TERM_00040,0,8.148048777780666,88.59642502075765,101.67789663755453,48.17108410527426,53.04601822297885,73.26256123532077,77.94994979986234,0.19170890783463027,1179.7671849026447,14717.590291317867,-116.8939566,324,57,450.4888214262668,0.23309261004613316,0.1198023682731758,0,0.21404829447599555,0.2379467770524819,33,0.6962054289292992,1,1
华为,TERM_00041,0,0.5,33.55704184935325,15.67043087491025,32.94414071191738,30.60902754140975,47.831701726165306,49.932413889499166,0.043598107887299745,7570.122232957263,59098.231910668095,-48.81212897,9,0,49.45271653929979,0.7830225066056647,0.003246839294551336,0,0.045504171583065293,0.06986859696838704,0,0.9074377974336567,0,0
鼎信,TERM_00042,1,9.388932038940359,84.76509842056718,110.75229601134487,60.21888304130821,61.82884305732189,55.72605482091757,55.61110544102696,0.1193400753330277,988.0502320243039,0,-112.434501,388,96,484.81366956129204,0.10302643093083863,0.17041530234627256,1,0.2530068600526916,0.2531294139542228,31,0.625715603348222,1,1
华为,TERM_00043,0,5.29737000335979,58.71214839292824,61.57669219405767,55.47632920969995,51.47705437490236,61.67680819672922,54.90963237623602,0.09527150807998279,2696.2458520764385,24328.606609298196,-113.9363011,288,66,346.4094139961706,0.33708820634402703,0.153470096562183,0,0.16494244115067833,0.15711898514784475,23,0.773808619911576,0,0
中兴,TERM_00044,0,1.5020399262729316,23.922889506859068,1,9.851078063453073,3,46.21041375958007,39.046131442402995,0,8700.870183586258,69999.22997028653,-56.97057528,0,0,53.08475030503702,0.9179222666553981,0.021807394851046887,0,0.025563079853283058,0,6,1,0,0
林洋,TERM_00045,0,10.596271794063021,94.78019522548615,104.15037091838681,51.807688314689365,51.653603251500705,58.03742799619455,58.08628711299482,0.1150319083222322,897.6931016869578,19246.25449401284,-114.5153859,332,68,401.69481127566706,0.2895085553601471,0.13857040652096153,0,0.23978050231207748,0.16702266845370697,26,0.659594051198942,1,1
中兴,TERM_00046,0,4.32121021074652,53.24013197302444,29.71823742102464,28.771253168486222,27.438845480842303,59.5234650534641,57.24054853600301,0.04940364082482516,5769.605798029022,50854.907528032105,-63.46574405,116,19,186.80913321984264,0.74558384524903,0.05320557072917419,0,0.17877716936639168,0.008909803023032056,13,0.8366323316071212,0,0
华为,TERM_00047,0,1.7260560031435437,14.077603779014897,19.8063910655887,15.225318803293735,11.957639942698808,30.656249609175624,27.463287266500544,0.03979013852338797,7733.935981513759,80000,-61.89726308,6,11,51.278165707922575,0.805828596269814,0.05176408441976928,0,0.1396460397423454,0.024339538879881523,2,0.9548885818072937,0,0
中兴,TERM_00048,0,0.5,18.006289031564073,58.31464849939964,38.63762976831172,29.40696522556623,42.689051274764786,37.34737638693443,0.05798520220958134,5794.767305143215,61234.63212246467,-77.99665777,50,18,115.21213336640652,0.7053969607113036,0.03322785284746101,0,0.0758406880468519,0.051770828397455254,11,0.8248367282113988,0,0
华为,TERM_00049,0,5.553994013028452,26.750556325621368,65.2460364240362,31.358025328380954,31.412831257686733,47.54653585760593,40.09969402232271,0.05593496086911179,5383.267649367972,56655.48336040817,-72.08736047,140,15,160.11763043120732,0.6969727404657438,0,0,0.04263078074975789,0.09304401873631754,10,0.7570774659809252,0,0
林洋,TERM_00050,0,2.7391157382855873,33.058042905328506,61.42446489327511,26.563784070725795,17.596476722570007,58.628077332227804,45.28808243474626,0.08517034150960921,4654.753319778939,33924.51081866457,-72.1482312,200,36,259.57108389401805,0.5265464940177006,0.10928351738140396,0,0.12134642013631347,0.10891995061054242,10,0.7224519458059768,0,0
林洋,TERM_00051,0,13.826434751766918,22.57346018643418,42.16277413429817,16.228581067645433,15.11536321557102,32.30379436842684,31.16513893056577,0.042022638565485874,8112.157126764497,77949.47621888915,-48.4206202,0,0,21.888258402684606,0.7772247342561553,0.006466097186560197,0,0.03696931179064915,0.00769287694686727,0,0.9344319539924126,1,1
华为,TERM_00052,0,3.620869091931703,56.915597320921485,34.785316367049646,41.63173233235034,31.146803871906855,57.47552350711775,51.38542634106855,0.05264247696840329,5671.369904164286,43264.581448000186,-82.11452336,132,37,236.83800515469528,0.49148144099284885,0.10809440083576298,0,0.1509445075889705,0.04160643236001632,18,0.7902546996669757,0,0
林洋,TERM_00053,0,7.4936183092694275,58.234907275882165,96.77156514279214,35.63697846579974,26.401744369956678,58.9326483843531,52.45255119048292,0.016818161605361412,2309.5960688494984,26643.02918205433,-92.88965038,189,46,246.1711847882289,0.43953781727624147,0.10023339785129626,0,0.12483159791056248,0.09849489152920399,22,0.7126988711641955,0,0
华为,TERM_00054,0,3.3580620654408113,48.10885955743474,21.11391011107653,13.681464408572626,10.141916498496924,19.76824266094769,8,0.07795375390044713,8370.43743510963,67130.18444273398,-49.18754429,99,0,30.008198666278425,0.9844368722462664,0.020678888398741543,0,0.03230574842062182,0.01922660377802786,0,0.9409902270670442,0,0
中兴,TERM_00055,0,2.044077652178227,49.90761432493754,21.03839691895851,20.69586962940498,18.59069759482629,55.003924189097646,50.560132398907,0,8263.952023398002,69424.13900797402,-46.88514194,29,2,12.574098557714281,0.9813358999618953,0.03852332851354829,0,0,0.00731744149058677,11,0.932881064828311,0,0
林洋,TERM_00056,0,3.05153756641417,31.488856193578933,28.175241100391275,27.681792145732082,23.765230053092047,28.857759626289507,15.67751159391193,0.04460965355646368,6622.9042959638755,61318.03997429877,-73.78782995,0,3,81.68063782206619,0.7320767891392356,0,0,0.11825295267187057,0,1,0.8778306139486826,0,0
威胜,TERM_00057,0,2.337760496413901,44.97635485722344,74.65675914141907,22.429414963319665,14.793613786837652,61.41364992806342,53.80587123076977,0.02867593998077909,7152.879048428328,51670.55382602477,-67.18655288,46,6,59.168646151254094,0.7004478745173105,0.04072165399080808,0,0.0971129176422645,0.05679996455163633,12,0.7970411769824133,0,0
林洋,TERM_00058,1,8.05106137165117,74.64490676566163,85.6049843698562,62.06964325607243,62.63569488129352,67.49903380567956,67.25525150360497,0.1882444818214525,1206.4300370209792,0,-121.1227331,356,73,498.79387166211035,0.13412432586073736,0.17364385282626432,1,0.23000014916651498,0.1812641838462448,42,0.6296423882646401,1,1
威胜,TERM_00059,0,2.237049247699188,16.070084115285464,44.673655259946216,21.125858279104857,16.81998206481155,32.302005839626716,27.681667959087502,0,7263.784647656256,70046.39173530533,-60.276893,22,0,30.058301695331515,0.9073741497373403,0.010981690531092499,0,0.03722177137916676,0.00926632830547521,6,0.9952837996220217,0,0
华为,TERM_00060,0,8.807767790562906,101.55454004864181,85.21781021574856,56.94890658581367,52.915782638653,70.22762395358669,64.59534548672374,0.11361740380624316,1014.3379041802607,10831.14463583921,-102.2720888,311,65,487.90650049065846,0.10816328859353906,0.1665863867690062,0,0.1723403133364153,0.18556214042910313,27,0.6067209832570747,1,1
林洋,TERM_00061,0,6.440884224764025,46.19560955357204,82.79390044567707,20.6961632351322,14.908593296181776,45.45621686833569,36.09651666872511,0.06483639289580585,4212.271575668065,38827.11709395719,-98.23277863,163,43,241.4929549523709,0.6375165509181056,0.11106576527262796,0,0.15782510052494056,0.09602569487691204,23,0.7563437086194769,0,0
中兴,TERM_00062,0,7.762651495299264,100.89702702847273,84.4434697318338,53.60522251767735,44.99165817574843,45.434012231708174,37.14876385303754,0.143801536770146,505.5995337272267,4135.50580762243,-102.9614257,332,72,507.18072715933374,0.18482115905474372,0.177608930368427,1,0.22953793018242116,0.2029714914591935,31,0.6977011148556341,0,0
林洋,TERM_00063,0,5.734904258789996,86.60342680739589,56.72469960372836,46.51731205115519,47.15069544830583,58.864395672328996,63.376575905401275,0.11652104208713984,2230.412648347824,16432.139382986003,-119.6063446,287,63,343.9442413409508,0.35905465223819333,0.16854702782812084,0,0.11602208286103981,0.12622933705258624,19,0.7528455873171019,0,0
威胜,TERM_00064,0,5.277516256260756,56.530158920243636,62.20956417482165,37.55467542233806,29.341098811786736,51.378427855725135,51.056843121956874,0.0774678460013452,5915.6746313684625,49900.2588391431,-84.25287175,132,38,151.25213936524983,0.5850212253022041,0.10155536508471898,0,0.08020084750069595,0.06027540807059561,13,0.800823956919663,0,0
鼎信,TERM_00065,0,5.521040539264559,45.09783110507858,19.43612342317162,39.162861378777734,42.649922510970654,71.72182676385772,63.949240749925515,0.09917922021211822,2791.35514079733,25690.68075234921,-94.36908419,236,60,328.0898661256974,0.38618609873702753,0.16680346330500845,0,0.15220705006724444,0.10702728711309505,17,0.7313712076013253,0,0
鼎信,TERM_00066,1,3.668999460031535,53.725364558459574,56.256178911254004,38.978242739171264,29.853332030813085,42.28897740059419,36.65580124820264,0.11477119046043543,4625.169713213057,33108.06476597712,-101.1515504,181,37,275.4960206819088,0.5216200704586078,0.14918448715545068,0,0.13913737832915676,0.12406711507584761,22,0.8317284804335979,0,1
中兴,TERM_00067,0,1.476645294037601,30.614864038208694,1,24.808675426304717,21.423336500496433,41.27809822429729,37.76209990129829,0.04036744507202605,8175.504743670304,80000,-45,23,0,67.03869960713399,0.9679213951707171,0.06549971435964827,0,0.012726780321478615,0.027300321695842462,5,0.9890928874716132,0,0
林洋,TERM_00068,0,4.558003039827199,33.57792546422785,109.53479978169634,47.77382865814336,43.12156784165759,48.14307196717766,45.77157165676093,0.11216270209626455,4462.695401792044,30862.834336155625,-87.07629991,107,34,159.90604533467592,0.6302976882202805,0.1310630945354548,1,0.12424199607003789,0.0761426815996326,20,0.7511840310890964,0,0
华为,TERM_00069,0,6.156250526080975,49.709654548562696,35.88355898821828,28.00959440759732,22.44649415395167,51.61082401972036,46.464927691076255,0.08543552391002186,4401.325182913287,37292.96066698699,-91.61653735,186,43,238.64783851618066,0.45722266923881116,0.08957922556569686,1,0.18810641473920656,0.10333514909887204,16,0.7013778197527863,0,0
林洋,TERM_00070,0,13.875429009919907,42.46325644633079,99.94160790823712,30.494487465148044,28.904102481235007,50.31109497573351,34.68882383605036,0.042533214158622185,6090.408204119295,62858.32954136703,-70.93119844,122,8,109.40985022697294,0.6645665660235128,0.04091583503236593,1,0.08429666119884056,0.06017052670429177,1,0.8802310051095911,1,1
林洋,TERM_00071,0,0.7720684108990932,18.312525488348086,42.82002711904849,33.66524032268188,32.61416905199471,33.30332606705464,28.114450376798644,0.07668047661340878,7532.962170330174,58756.180926483474,-56.67768811,33,11,33.82391628321436,1,0.03200519578063882,0,0.09861042417809888,0.055553547194712,0,0.8675288368195367,0,0
华为,TERM_00072,0,7.547752686605282,71.03398451700423,89.94957977512229,61.975240841470054,59.65506288768255,68.54066069463947,62.985720385561095,0.17338368211402436,720.3493783403446,6094.84707651388,-106.9194729,327,89,418.4482948681459,0.19620579738195593,0.2205496799685787,0,0.2448742834355073,0.18039315480331836,36,0.6547329279687201,0,0
威胜,TERM_00073,0,3.513147964313095,8.656295334173748,68.18293031197494,38.17338877749771,27.853964219098195,53.73333399001627,61.07712935373434,0.056897857508287374,6096.277010899443,48830.84112815308,-73.05450709,91,9,160.35836789025248,0.6491091094625852,0.054853706070883405,0,0.0664763950172959,0.03663489719417246,13,0.9073363591860003,0,0
威胜,TERM_00074,0,3.370688373312538,26.93969288380014,34.00482245950787,22.93137217616206,12.07484919843735,51.66560678665616,62.81612656188205,0,5921.039396046175,60649.760405628986,-64.29606132,68,16,70.81164972540307,0.8297864010073849,0.07780994857707646,0,0.06295042958098183,0.02914492177329909,10,0.8991103577152707,0,0
中兴,TERM_00075,0,7.105968090000324,75.06959887961997,43.02002443938594,54.73524722314217,43.57790637099875,44.53308625233778,43.38607436226716,0.046433310421765885,3091.3227980957977,23672.687820516825,-92.21085531,258,59,346.82853202656776,0.3307070333506888,0.07692602190527922,0,0.19873640099507758,0.13967201831227644,18,0.6923536154383998,0,0
华为,TERM_00076,0,3.6179713073484816,7.95162008759492,33.927423342069254,14.801545635485233,8.581117442692474,29.39320758140134,20.3304401164941,0.030471540323563837,8083.116054082857,67301.32191597605,-67.50080163,16,1,0,1,0,0,0.05491075215017068,0.04443402814982865,0,0.8812495437420084,0,0
林洋,TERM_00077,0,11.929566408632816,73.11393042266764,82.02562647325463,50.638653543285045,56.21536963909597,59.98566079474559,59.05975725100855,0.13530944225733088,1375.3056879253284,22137.80398772732,-105.0239154,335,65,372.9034767649002,0.26343003853782776,0.1968172620521511,1,0.2494137317197849,0.1604114240453877,24,0.7188259053580086,1,1
中兴,TERM_00078,0,3.251601105417469,42.021384335482644,95.02477826173451,30.486315968178758,25.240447046825995,55.83164745143506,40.640691961305784,0.03908545123496906,5739.47534707213,47896.00252862835,-83.6157853,134,38,209.03444975663578,0.6786020507706152,0.10257510093276265,0,0.11005878153550205,0.07367623769994137,6,0.8645244990541098,0,0
华为,TERM_00079,0,13.280640003238428,39.49367076455189,64.6162455453027,33.155595164794974,38.66017586096953,47.2344839234427,39.03839608195648,0.07960296500823862,4868.327071779767,45873.84814286032,-94.83928476,148,33,226.2819134781974,0.5593456963315646,0.13391268609169116,0,0.06687569765196825,0.07874657684514674,18,0.8579030685576139,1,1
鼎信,TERM_00080,0,7.671134122084898,86.49954118505379,70.66824088413941,37.0485723735422,31.881551468527807,62.79435781975652,48.036048572729385,0.09047354719663571,1511.9627296257463,25353.567214443407,-103.3756177,288,55,362.29864600218536,0.1616824097370212,0.11519021086872294,0,0.19171558611751569,0.1828866565586309,27,0.6658197582766563,0,0
华为,TERM_00081,0,9.452125416594924,106.22119551518587,108.77024467995868,39.41811368540016,35.21805527485951,78.29664753782387,76.59996522531605,0.15033960410713426,1013.7602907530246,9281.287748627281,-104.0693849,337,71,460.8254921058393,0.11743173768597,0.18604553944740784,0,0.16385955558272153,0.1415418370792896,38,0.637496658054583,1,1
中兴,TERM_00082,1,7.324031114936441,102.69269923395686,126.27030553444527,68.05862710272675,66.03748708578026,65.42722316177198,53.16319679646737,0.16320188455131943,789.5922085402369,13455.763077038002,-117.4460994,400,70,422.88514638449226,0.06570796972827234,0.1518411254172878,1,0.23716225509568475,0.17963518494832287,29,0.6524296670383597,0,1
林洋,TERM_00083,0,1.8647961672130915,12.208610796746067,42.26168774022588,7.120940040312618,3,51.05541598989803,44.333476485137545,0.03304759329844599,8482.23115029066,68820.69602589776,-78.03195909,0,0,0,0.8149554495953648,0.05627343131294378,0,0,0.07000767284131502,1,0.9373484735189084,0,0
