通信前置节点状态,采集前置节点状态,大数据集群正常节点数,大数据集群异常节点数,大数据内存使用率,大数据容量使用率,hive运行状态,hbase运行状态,yarn运行状态,spark运行状态,zookeeper运行状态,HDFS运行状态,flink运行状态,dolphinscheduler状态,大数据角色健康数,hive小文件占比,HDFS存储使用率,swap使用率,服务器正常主机数,服务器异常主机数,服务器cpu使用率,服务器内存使用率,服务器磁盘使用率,k8s节点正常数,k8s_cpu使用率,k8s内存使用率,k8s_cpu平均负载,k8s磁盘使用量,kafka正常运行数,kafka_lag超阈值数,redis当前连接数,redis最大连接数,redis运行状态,redis内存使用率,mysql运行状态,mysql连接数,mysql最大连接数,mysql慢sql数,oracle运行状态,oracle连接数,oracle最大连接数,oracle慢sql数,nacos运行状态,nacos长连接数,es磁盘内存使用率,es运行状态,调控任务状态,数据校核任务状态,数据路由任务状态,数据入库任务状态,重点微应用正常数,重点微应用预警数,重点微应用异常数,spark计算成功数,spark计算总数,flink计算成功数,flink计算总数,重点微服务正常数,重点微服务总数,终端在线率,采集成功率,电能示值曲线完整率,功率因数曲线完整率,采集覆盖率,电流完整率,电压完整率,异常标签,采集时间
1,1,12,0,43.66461856042642,38.66461856042642,1,1,1,1,1,1,1,1,9,5.704148310685804,43.66461856042642,15.597191163623075,21,0,28.66461856042642,39.42170619151402,37.96661333867077,11,26.773015054609484,41.079580106741815,2.5616706926201624,36.832111831380516,5,0,108,500,1,33.66461856042642,1,51,300,0,1,40,300,0,1,217,36.712530194651215,1,1,1,1,1,22,0,0,8,11,9,9,21,17,90.46584742417056,96.9520883657752,95.12334138524032,93.90417673155041,95.73292371208528,94.51375905839537,95.12334138524032,0,2025-01-13 05:45:00
1,0,6,3,71.6443951730755,68.0290401176149,0,1,1,0,1,1,1,1,5,43.54049076618049,91.77546150887105,14.363300768472087,24,0,35.262491212514476,39.611378658637804,37.46854649401449,5,85.24942398153915,82.93057864473928,15.78912686588303,37.29576227645413,5,0,136,500,1,40.262491212514476,1,66,300,0,1,52,300,0,1,273,42.367849610726694,1,1,1,1,1,22,0,0,11,8,9,9,16,18,93.10499648500578,36.30910531502971,46.292088462733304,36.27355644323521,49.35126984668538,35.99375203562539,20.80784870171727,0,2025-01-28 08:35:00
1,1,11,0,41.779807259841135,36.779807259841135,1,1,1,1,1,1,0,0,12,8.475438925309346,41.779807259841135,14.036615556958607,18,0,80.9295600782413,81.71138602379837,27.711218558225987,12,78.19227108307827,82.8432493169952,2.346263686838987,33.59643815792806,3,0,100,500,1,31.779807259841135,1,46,300,0,1,36,300,0,0,466,35.096977651292406,1,0,1,1,1,10,8,8,4,8,3,9,11,21,78.72829665234093,96.68282960854873,94.69252737367798,93.36565921709747,95.35596145196823,94.02909329538772,94.69252737367798,1,2025-02-27 02:05:00
1,1,8,0,37.48228163316205,32.48228163316205,1,1,1,0,1,1,1,0,10,6.501558053551096,37.48228163316205,4.159635321059465,20,0,70.23024540360404,56.01918841792863,33.15485586181065,11,58.592882389171926,65.10743667053676,1.855117900932806,38.0235532686061,3,0,82,500,1,27.482281633162053,1,37,300,0,1,28,300,0,0,597,31.413384256996046,1,0,1,1,1,10,7,3,0,10,2,7,7,15,76.84771562383793,96.068897376166,93.71023580186561,92.13779475233201,94.49645632663241,92.92401527709882,93.71023580186561,0,2025-02-26 14:00:00
1,1,9,0,77.6512551896056,90.73380831813006,1,1,1,0,1,1,1,1,10,59.380414662610775,73.75404238261075,14.824538960232658,23,0,31.307141555094,45.109929525805846,40.793338995836876,10,29.42679813243141,40.26479465801901,2.863673320582171,34.603870642240544,5,4,119,500,1,36.307141555094,1,57,300,0,1,45,300,0,1,239,78.33289899219952,0,1,1,0,0,18,0,0,1,8,0,9,15,18,91.5228566220376,97.3295916507277,95.72734664116435,94.65918330145543,96.2614283110188,95.19326497130989,95.72734664116435,5,2025-02-13 15:10:00
0,1,8,0,45.0969035908199,40.0969035908199,1,1,1,1,1,1,1,1,10,5.028541369625818,45.0969035908199,34.13313757194307,18,0,84.56686527451502,83.28031670410317,41.295178655105204,10,83.8453741486972,83.85096088929176,13.641716318628756,39.64718103926775,4,0,469,500,1,68.50913058936635,1,54,300,0,1,43,300,0,1,229,37.940203077845624,1,1,1,1,0,18,0,0,8,8,5,6,19,17,40.64851688547536,61.67313849732626,43.583159895413395,34.42259008584255,56.85221496020987,34.3174145066213,58.96047309266369,5,2025-01-19 05:40:00
1,1,9,0,43.81681205644366,91.068918814679,1,1,1,1,1,1,1,1,12,9.22761840850209,71.61008008088618,42.197871311447685,20,2,66.66429582652074,84.73252201714871,75.14732308724837,11,28.700265769322996,41.426297088839306,2.5790642350221327,30.422938740072844,5,0,410,500,1,74.8764853625196,0,259,300,20,1,181,300,34,1,218,86.34273800724195,0,1,0,1,0,20,0,0,10,11,5,9,21,21,90.52672482257746,96.97383029377767,95.15812847004426,93.94766058755533,95.76336241128874,94.5528945287998,95.15812847004426,4,2025-03-09 08:05:00
1,1,11,0,45.09362623375241,40.09362623375241,1,1,1,1,1,1,0,0,9,5.767412552125201,45.09362623375241,16.530494402167676,18,0,72.04560796105687,79.21392318206033,41.7935905267816,8,67.7728237852474,79.98883033634027,2.72498585528599,30.813284950285965,4,0,114,500,1,35.09362623375241,1,54,300,0,1,43,300,0,1,467,37.93739391464492,1,0,1,1,1,8,9,9,0,10,1,8,6,16,68.56552566293158,97.15623231910749,95.44997171057197,94.31246463821498,96.01872524675048,94.88121817439348,95.44997171057197,0,2025-02-28 07:40:00
1,0,6,1,71.74410202202722,61.32821866469717,1,0,1,1,1,1,1,1,3,58.5351630257253,85.27380672344017,5.208210679751613,20,0,29.514947110746938,45.23387194937432,31.342083023201642,6,74.57966574344448,76.7196839894614,14.160751062744968,35.72353165422238,4,0,112,500,1,34.51494711074694,1,53,300,0,1,41,300,0,1,224,37.441383237783086,1,1,1,1,1,20,0,0,14,9,8,7,17,20,90.80597884429878,36.50816395610009,26.386209098819048,29.696317848205013,53.40857695266776,39.21158224065853,35.910654983966644,3,2025-01-29 02:30:00
1,1,11,0,42.351069746720476,37.351069746720476,1,1,1,1,1,1,1,1,11,12.815828373892353,42.351069746720476,2.5139579030591497,22,0,27.351069746720476,42.46503926107004,28.333866531549596,12,27.62173555459873,38.403799280308284,2.4115508281966256,40.59317952278295,3,0,102,500,1,32.351069746720476,1,48,300,0,1,37,300,0,1,205,35.586631211474696,1,1,1,1,1,18,0,0,12,8,9,7,16,18,89.94042789868818,96.76443853524579,94.82310165639325,93.52887707049156,95.4702139493441,94.17598936344241,94.82310165639325,4,2025-01-02 02:50:00
1,1,12,0,37.1818990931392,32.1818990931392,1,1,1,1,1,1,1,0,9,9.76677317549523,37.1818990931392,52.85969139459403,18,0,70.51086882510081,81.45812197842325,28.333350435846416,10,23.31836150125238,32.256781036495106,1.8207884677873372,32.68253064755345,1,4,425,500,0,73.3814759061154,1,36,300,0,1,28,300,0,1,462,31.15591350840503,1,1,1,0,1,16,6,2,10,12,2,6,9,18,87.87275963725568,96.02598558473417,93.64157693557468,92.05197116946835,94.43637981862784,92.84677405252151,93.64157693557468,4,2025-02-04 10:55:00
1,0,7,3,65.63095281055838,73.64633550820201,1,1,1,1,1,1,1,1,6,40.816390830562874,72.29163545696024,0.5409154187191789,21,0,32.050018321492416,43.85589525110463,40.97142612945012,5,93.15702635853123,82.27384635858976,12.996519758066917,31.81170770457829,5,0,123,500,1,37.050018321492416,1,58,300,0,1,46,300,0,1,246,39.61430141842207,1,1,1,1,1,18,0,0,11,12,9,5,17,20,91.82000732859697,25.108475511396314,20.59141479521709,22.46764910358772,42.791368968524004,21.651561797473665,40.850804182724254,1,2025-01-26 21:35:00
1,1,9,0,39.26780018739686,91.06825236152487,1,1,1,1,1,1,1,1,12,8.861042981446207,76.1588384808016,57.37113701708583,14,1,67.11694248353244,67.84085538890079,81.65173450996157,11,23.340863250471926,38.40018647582986,2.059177164273927,35.28641349217973,4,0,450,500,1,70.15946902474275,0,270,300,18,0,224,300,14,1,179,74.06980273647606,1,1,1,1,0,18,0,0,14,11,7,7,15,19,88.70712007495874,96.3239714553424,94.11835432854785,92.64794291068482,94.85356003747937,93.38314861961634,94.11835432854785,1,2025-03-08 01:20:00
1,1,9,0,48.49790377492683,43.49790377492683,1,1,1,0,1,1,1,1,10,5.772944713350451,48.49790377492683,16.461421228698107,23,0,59.964499814819874,61.57251252322309,37.44087227037883,10,68.5991596488503,75.3227818124944,3.114046145705924,38.37178932837759,4,0,129,500,1,38.49790377492683,1,62,300,0,1,49,300,0,1,376,40.85534609279443,1,0,1,1,1,12,5,8,4,11,0,8,5,15,71.4140898700928,97.6425576821324,96.22809229141185,95.28511536426481,96.69958075498536,95.75660382783833,96.22809229141185,5,2025-03-02 22:45:00
1,0,5,3,74.37677734494675,70.70417919465476,1,0,1,1,1,1,1,1,6,43.835801477030735,65.36517519510579,6.383763596139231,18,0,24.86489780113098,37.47636926572689,30.009811346979866,5,73.6071015090894,77.92739572319759,17.152528681219273,37.285033880525944,3,0,92,500,1,29.86489780113098,1,42,300,0,1,33,300,0,1,184,33.45562668668369,1,1,1,1,1,20,0,0,8,13,8,6,20,17,88.94595912045239,33.00393102249853,28.346869754690477,52.823638652200344,64.80218971249708,47.021189686842085,26.48087967144992,6,2025-02-01 15:55:00
1,1,12,0,41.025049201905766,36.025049201905766,1,1,1,1,1,1,1,1,11,5.819380056284835,41.025049201905766,2.9039953885286574,18,0,56.55512113321793,80.59315185785073,37.28530156005387,8,62.94065804866523,76.86818893343153,2.2600056230749446,39.26935713356685,3,0,97,500,1,31.025049201905766,1,45,300,0,1,35,300,0,1,385,34.45004217306209,1,0,1,1,1,10,3,9,2,14,3,9,10,15,76.67766972448356,96.57500702884369,94.52001124614989,93.15001405768736,95.20500984038115,93.83501265191863,94.52001124614989,1,2025-02-27 00:25:00
1,1,12,0,45.648674947555094,40.648674947555094,1,1,1,1,1,1,1,1,10,6.347459930788037,45.648674947555094,9.13673852548322,18,0,73.65530544447056,83.15108351971384,34.70097316360394,11,81.10173236373748,73.51372395133438,2.7884199940062966,37.05593401155494,3,0,117,500,1,35.648674947555094,1,55,300,0,1,44,300,0,1,534,38.413149955047224,1,0,1,1,1,13,8,6,0,9,0,9,8,15,63.820583177933926,97.23552499250788,95.5768399880126,94.47104998501574,96.12973498951102,95.02394498651417,95.5768399880126,1,2025-02-25 18:20:00
1,1,11,0,48.79730152489587,43.79730152489587,1,1,1,1,1,1,0,1,10,8.096681724111384,48.79730152489587,49.65329401517785,23,0,55.30585767980599,81.51091245475209,36.77882840089312,11,35.013381095896754,42.85669813257783,3.148263031416671,32.864958449741955,0,5,362,500,1,73.26477473452039,1,62,300,0,1,49,300,0,0,674,41.11197273562503,1,1,1,1,0,17,5,1,10,10,1,6,12,18,92.51892060995834,97.68532878927084,96.29652606283334,95.37065757854168,96.75946030497917,95.83359182068752,96.29652606283334,0,2025-02-05 03:20:00
1,1,12,0,50.277773940251976,92.85526025748099,1,1,1,1,1,1,1,1,10,12.164316662845952,93.1222713489648,44.65775839,18,2,89.19679498273285,85.467688585827,75.85938476975409,10,36.85528584448704,43.14175144829694,3.3174598788859404,37.244121243232236,5,0,404,500,0,85.62694312932257,1,248,300,23,1,239,300,10,1,273,77.21822727780848,0,1,1,1,1,18,0,0,14,9,8,7,21,21,93.11110957610079,97.89682484860742,96.63491975777188,95.79364969721485,97.0555547880504,96.21428472749336,96.63491975777188,7,2025-03-08 03:55:00
1,1,11,0,41.007123414359995,36.007123414359995,1,1,1,1,1,1,1,1,11,4.856928575908822,41.007123414359995,16.30912608471195,24,0,26.007123414359995,35.22701640852712,33.474435126640614,8,24.029082183729287,35.15513039659476,2.2579569616411423,28.566032746736063,4,0,97,500,1,31.007123414359995,1,45,300,0,1,35,300,0,1,194,34.43467721230857,1,1,1,1,1,21,0,0,13,14,8,8,15,21,89.402849365744,96.57244620205142,94.51591392328228,93.14489240410286,95.201424682872,93.83040316369257,94.51591392328228,7,2025-01-13 16:05:00
1,1,11,0,50.63569333122143,45.63569333122143,1,1,1,1,1,1,1,1,9,11.24304278028083,50.63569333122143,14.624956082542631,18,0,35.63569333122143,45.895188366780715,33.11700090478189,10,37.788910260376156,42.20979599051684,3.358364952139592,39.43757566010269,4,0,138,500,1,40.63569333122143,1,67,300,0,1,53,300,0,1,276,42.68773714104694,1,1,1,1,1,20,0,0,10,11,8,9,15,16,93.25427733248857,97.9479561901745,96.71672990427919,95.89591238034897,97.12713866624429,96.30632114231408,96.71672990427919,7,2025-01-14 16:25:00
1,1,12,0,44.123536481773044,73.63559852468194,1,1,1,1,1,1,1,1,12,7.679007434138981,97.29877267364111,37.61930235867196,16,2,87.3962651330208,84.38327455946066,92.62510413438501,11,26.322728366912845,38.87171292153924,2.6141184550597765,35.80405236873891,5,0,438,500,1,89.81097927993073,1,266,300,22,1,214,300,23,1,221,94.84068277748474,0,1,1,1,0,22,0,0,8,13,5,5,21,20,90.64941459270922,97.01764806882473,95.22823691011955,94.03529613764944,95.8247072963546,94.6317665238845,95.22823691011955,1,2025-03-04 02:00:00
1,1,8,0,46.6273962016449,41.6273962016449,1,1,1,1,1,1,1,0,9,6.462825008690606,46.6273962016449,4.521245642622258,19,0,75.48523635727159,67.76388172935852,42.92609711265254,8,78.64066716871011,66.43233798092336,2.90027385161656,34.97886382472548,4,0,121,500,1,36.6273962016449,1,58,300,0,1,45,300,0,0,573,39.2520538871242,1,0,1,1,1,8,3,4,3,10,0,5,8,17,69.82793200652426,97.3753423145207,95.80054770323312,94.7506846290414,96.32547924032897,95.27561616613725,95.80054770323312,2,2025-02-27 21:35:00
1,1,10,0,78.71230351149973,88.27643141114717,1,1,1,1,1,1,1,1,12,60.43490677440746,72.62740224553534,4.571896070779631,23,0,25.68094512692058,42.135851920515655,35.22417341301458,10,28.72112766651098,39.20029354446917,2.2206794430766377,31.322356757564044,5,3,95,500,1,30.68094512692058,1,44,300,0,1,34,300,0,1,191,67.4722920202799,1,1,1,0,0,18,0,0,0,12,1,5,17,19,89.27237805076822,96.5258493038458,94.44135888615328,93.05169860769159,95.13618902538411,93.74652874692244,94.44135888615328,3,2025-02-13 20:30:00
1,1,9,0,47.63354887800155,42.63354887800155,1,1,1,1,1,1,1,0,9,2.2516177843439698,47.63354887800155,42.44020388454854,22,0,62.19782401486046,71.03665912585588,44.524437722987884,8,32.45002926773815,39.424874368809206,3.015262728914463,39.39519765966345,1,5,352,500,1,77.19452755860635,1,60,300,0,1,47,300,0,0,672,40.11447046685847,1,1,1,0,1,17,4,4,10,8,1,8,8,21,92.05341955120062,97.51907841114308,96.03052545782893,95.03815682228615,96.52670977560031,95.53434114005753,96.03052545782893,2,2025-02-09 17:35:00
1,1,10,0,90.9154707353995,82.57830977564107,1,1,1,1,1,1,1,1,12,42.86816245359465,83.3066816056037,17.402893176728668,20,0,25.297242647604996,34.76052045853187,32.22822173914485,11,29.191417941785218,37.94381888064518,2.1768277311548565,40.081230930345264,3,1,94,500,1,30.297242647604996,1,43,300,0,1,34,300,0,1,188,88.7019067405559,1,1,1,0,0,18,0,0,2,14,0,9,18,17,89.118897059042,96.47103466394357,94.35365546230972,92.94206932788714,95.05944852952099,93.64786239509843,94.35365546230972,0,2025-02-12 05:05:00
1,1,9,0,88.47880653026859,71.78065443433607,1,1,1,0,1,1,0,1,9,59.14945328177659,88.34562931993088,14.030685544453469,18,0,33.83711923495481,42.96788583213018,32.77658645870481,10,32.612177632285025,42.861203411261386,3.152813626851979,37.91847711217305,3,2,130,500,1,38.83711923495481,1,63,300,0,1,49,300,0,1,261,85.30168102008487,1,1,1,0,0,22,0,0,0,14,0,7,20,18,92.53484769398193,97.69101703356498,96.30562725370396,95.38203406712995,96.76742384699097,95.84383066041696,96.30562725370396,4,2025-02-18 00:55:00
1,1,9,0,42.83557105494793,37.83557105494793,1,1,1,1,1,1,1,1,11,10.14983478481733,42.83557105494793,13.652047238406492,19,0,27.835571054947927,40.78750119365528,29.96188183426104,10,27.90328550637776,41.249399408780356,2.466922406279763,41.287401390185984,5,0,105,500,1,32.83557105494793,1,49,300,0,1,38,300,0,1,210,36.00191804709822,1,1,1,1,1,18,0,0,10,10,7,5,18,20,90.13422842197917,96.8336530078497,94.93384481255953,93.66730601569941,95.56711421098959,94.30057541412947,94.93384481255953,5,2025-01-12 22:10:00
1,1,11,0,49.035175340442564,81.86205347576382,1,1,1,1,1,1,1,1,12,8.159418032940545,71.24782904187828,48.72002677862905,18,3,83.174901047428,89.79381996962194,78.15490909853264,12,35.379686717097755,45.359049760311436,3.175448610336293,32.77657703961465,4,0,437,500,1,84.69474281026527,0,244,300,29,0,200,300,11,1,263,87.7079391763618,0,1,0,1,0,20,0,0,11,14,5,5,20,16,92.61407013617702,97.71931076292037,96.35089722067258,95.43862152584073,96.80703506808851,95.89475937325666,96.35089722067258,2,2025-03-07 01:35:00
1,1,12,0,37.25757134886304,32.25757134886304,1,1,1,1,1,1,1,1,10,4.503125490885527,37.25757134886304,19.72937765697575,22,0,76.23115432102085,55.56258436148363,25.042963405279615,9,71.39280832924172,64.38084055858876,1.8294367255843476,38.25118538970362,5,0,81,500,1,27.25757134886304,1,36,300,0,1,28,300,0,1,542,31.220775441882605,1,0,1,1,1,14,4,3,0,8,1,9,5,18,78.84246301070854,96.03679590698043,93.65887345116869,92.07359181396087,94.4515142697726,92.86623263256479,93.65887345116869,2,2025-03-02 10:35:00
1,1,8,1,88.86564797440623,67.8979606613741,0,1,1,0,1,1,1,1,8,31.598229812495028,37.09989963247941,3.5538632907754586,20,0,22.099899632479417,37.82930739947834,34.746716092810075,12,22.59018391034619,32.16530771467328,1.8114171008547904,27.06770060008103,4,0,80,500,1,27.099899632479417,1,36,300,0,1,28,300,0,1,160,31.085628256410928,1,1,0,1,1,20,0,0,0,10,9,6,15,21,87.83995985299177,69.23418425391115,50.70210422341283,47.73904922478089,71.97528856952957,65.61334855555225,42.52108278999673,6,2025-02-23 14:40:00
1,1,11,0,46.23999418577854,41.23999418577854,1,1,1,1,1,1,1,0,10,11.377287258315501,46.23999418577854,49.447120335100436,18,0,55.43590684117303,64.82117646454324,38.313700922525676,11,33.30953873555803,42.980567597833776,2.8559993355175473,34.10047443254379,1,5,470,500,1,76.26152011051815,1,57,300,0,1,45,300,0,1,495,38.919995016381606,1,1,1,0,1,16,2,4,13,9,0,9,12,20,91.49599767431141,97.31999916939694,95.71199867103509,94.63999833879387,96.2479988371557,95.17599850491447,95.71199867103509,1,2025-02-06 03:10:00
0,1,9,0,43.026236033149424,38.026236033149424,1,1,1,1,1,1,1,1,9,0.2794557255405389,43.026236033149424,29.835221184298916,22,0,72.29012955956152,72.91447842736684,29.630977396737798,8,71.36314886667608,75.56235893297178,10.57253238989038,35.62831573339257,4,0,388,500,1,63.78273001995963,1,49,300,0,1,39,300,0,1,211,36.165345171270936,1,1,1,1,0,20,0,0,12,10,8,5,15,20,28.61277170634143,56.79004143837027,44.38226074272832,64.19570807521549,58.15270662563807,39.06882429126924,44.40239717406848,5,2025-01-23 15:05:00
1,1,8,0,46.689475569394844,41.689475569394844,1,1,1,1,1,1,1,1,11,12.95386523678264,46.689475569394844,8.814336027890555,24,0,31.68947556939484,39.60854231993778,34.57240578824383,9,29.261338748913445,45.16909904267922,2.9073686365022677,42.77760202002192,4,0,121,500,1,36.689475569394844,1,58,300,0,1,45,300,0,1,243,39.30526477376701,1,1,1,1,1,23,0,0,8,14,6,6,15,17,91.67579022775794,97.38421079562784,95.81473727300454,94.76842159125567,96.33789511387897,95.2915794321301,95.81473727300454,7,2025-01-04 08:55:00
1,1,9,0,44.181383315898714,39.181383315898714,1,1,1,1,1,1,1,0,10,2.005174294670587,44.181383315898714,4.978951074515285,21,0,65.46706421360177,80.43987538790202,33.519791714292616,9,78.18302284363176,78.26579804055794,2.6207295218169957,36.289603919981694,5,0,110,500,1,34.181383315898714,1,52,300,0,1,41,300,0,0,459,37.15547141362747,1,0,1,1,1,11,4,8,1,14,1,5,5,18,79.19365357582802,97.02591190227125,95.241459043634,94.0518238045425,95.83627666317975,94.64664142408824,95.241459043634,3,2025-02-27 05:55:00
1,1,9,0,42.28438689101584,83.30162564446692,1,1,1,1,1,1,1,1,12,6.751582026203164,96.08909052518305,64.88415513207619,18,3,88.96424169084894,80.3626627781213,70.59598769237604,10,31.439455662844644,38.15539489293813,2.40392993040181,38.460757967013095,5,0,374,500,1,74.69344435338621,0,244,300,10,1,213,300,31,1,205,72.75962225960144,1,1,1,1,1,22,0,0,14,13,5,6,16,15,89.91375475640633,96.75491241300226,94.80785986080362,93.50982482600452,95.45687737820317,94.15884234340407,94.80785986080362,3,2025-03-10 12:10:00
