terminal_id,restart_time,reason
TERM00212,2026-05-18 03:00:00,看门狗
TERM00213,2026-05-22 03:00:00,掉电
TERM00214,2026-05-21 03:00:00,掉电
TERM00214,2026-05-18 03:00:00,看门狗
TERM00217,2026-05-19 03:00:00,远程重启
TERM00217,2026-05-16 03:00:00,软重启
TERM00218,2026-05-17 03:00:00,掉电
TERM00221,2026-05-20 03:00:00,远程重启
TERM00222,2026-05-22 03:00:00,远程重启
TERM00222,2026-05-22 03:00:00,看门狗
TERM00223,2026-05-20 03:00:00,软重启
TERM00223,2026-05-22 03:00:00,掉电
TERM00224,2026-05-19 03:00:00,掉电
TERM00224,2026-05-22 03:00:00,看门狗
TERM00226,2026-05-17 03:00:00,远程重启
TERM00226,2026-05-19 03:00:00,看门狗
TERM00227,2026-05-18 03:00:00,看门狗
TERM00230,2026-05-19 03:00:00,软重启
TERM00230,2026-05-16 03:00:00,远程重启
TERM00231,2026-05-20 03:00:00,看门狗
TERM00231,2026-05-16 03:00:00,看门狗
TERM00232,2026-05-17 03:00:00,远程重启
TERM00232,2026-05-18 03:00:00,掉电
TERM00233,2026-05-17 03:00:00,掉电
TERM00236,2026-05-16 03:00:00,掉电
TERM00237,2026-05-20 03:00:00,掉电
TERM00238,2026-05-20 03:00:00,远程重启
TERM00239,2026-05-21 03:00:00,掉电
TERM00239,2026-05-22 03:00:00,远程重启
TERM00240,2026-05-17 03:00:00,看门狗
TERM00240,2026-05-16 03:00:00,软重启
TERM00241,2026-05-19 03:00:00,远程重启
TERM00245,2026-05-19 03:00:00,软重启
TERM00245,2026-05-21 03:00:00,看门狗
TERM00246,2026-05-19 03:00:00,软重启
TERM00247,2026-05-17 03:00:00,软重启
TERM00247,2026-05-20 03:00:00,软重启
TERM00249,2026-05-22 03:00:00,掉电
TERM00249,2026-05-16 03:00:00,掉电
TERM00250,2026-05-22 03:00:00,远程重启
TERM00250,2026-05-16 03:00:00,远程重启
TERM00251,2026-05-16 03:00:00,看门狗
TERM00252,2026-05-16 03:00:00,掉电
TERM00253,2026-05-16 03:00:00,掉电
TERM00253,2026-05-21 03:00:00,软重启
TERM00254,2026-05-18 03:00:00,看门狗
TERM00255,2026-05-22 03:00:00,软重启
TERM00257,2026-05-19 03:00:00,掉电
TERM00257,2026-05-18 03:00:00,掉电
TERM00259,2026-05-18 03:00:00,远程重启
TERM00260,2026-05-21 03:00:00,远程重启
TERM00261,2026-05-21 03:00:00,看门狗
TERM00263,2026-05-17 03:00:00,掉电
TERM00263,2026-05-19 03:00:00,掉电
TERM00264,2026-05-16 03:00:00,看门狗
TERM00265,2026-05-16 03:00:00,软重启
TERM00266,2026-05-21 03:00:00,掉电
TERM00266,2026-05-18 03:00:00,软重启
TERM00267,2026-05-20 03:00:00,软重启
TERM00267,2026-05-21 03:00:00,掉电
TERM00267,2026-05-22 03:00:00,远程重启
TERM00267,2026-05-19 03:00:00,看门狗
TERM00267,2026-05-21 03:00:00,看门狗
TERM00267,2026-05-22 03:00:00,软重启
TERM00267,2026-05-18 03:00:00,掉电
TERM00267,2026-05-16 03:00:00,远程重启
TERM00267,2026-05-22 03:00:00,看门狗
TERM00268,2026-05-21 03:00:00,远程重启
TERM00268,2026-05-17 03:00:00,掉电
TERM00270,2026-05-20 03:00:00,看门狗
TERM00273,2026-05-17 03:00:00,看门狗
TERM00273,2026-05-20 03:00:00,掉电
TERM00275,2026-05-19 03:00:00,远程重启
TERM00276,2026-05-21 03:00:00,远程重启
TERM00276,2026-05-22 03:00:00,软重启
TERM00277,2026-05-21 03:00:00,远程重启
TERM00277,2026-05-22 03:00:00,软重启
TERM00278,2026-05-21 03:00:00,看门狗
TERM00278,2026-05-17 03:00:00,掉电
TERM00280,2026-05-18 03:00:00,远程重启
TERM00280,2026-05-18 03:00:00,看门狗
TERM00281,2026-05-18 03:00:00,掉电
TERM00282,2026-05-17 03:00:00,软重启
TERM00282,2026-05-16 03:00:00,软重启
TERM00283,2026-05-16 03:00:00,掉电
TERM00283,2026-05-21 03:00:00,远程重启
TERM00284,2026-05-19 03:00:00,远程重启
TERM00284,2026-05-22 03:00:00,看门狗
TERM00287,2026-05-18 03:00:00,软重启
TERM00288,2026-05-17 03:00:00,软重启
TERM00290,2026-05-20 03:00:00,软重启
TERM00290,2026-05-16 03:00:00,掉电
TERM00293,2026-05-20 03:00:00,远程重启
TERM00294,2026-05-22 03:00:00,掉电
TERM00295,2026-05-21 03:00:00,软重启
TERM00297,2026-05-21 03:00:00,掉电
TERM00297,2026-05-22 03:00:00,远程重启
TERM00298,2026-05-18 03:00:00,掉电
TERM00298,2026-05-18 03:00:00,掉电
TERM00299,2026-05-18 03:00:00,软重启
TERM00299,2026-05-22 03:00:00,远程重启
TERM00300,2026-05-17 03:00:00,掉电
TERM00300,2026-05-18 03:00:00,掉电
