terminal_id,stat_date,success_rate_7d,failed_concentrate_slot,total_tasks_7d
TERM00060,2026-05-22,0.8919,-1,1972
TERM00061,2026-05-22,0.9804,-1,1717
TERM00062,2026-05-22,0.9883,-1,1977
TERM00063,2026-05-22,0.8905,-1,871
TERM00064,2026-05-22,0.8922,-1,1644
TERM00065,2026-05-22,0.9495,-1,1706
TERM00066,2026-05-22,0.9632,-1,1161
TERM00067,2026-05-22,0.9049,-1,1857
TERM00068,2026-05-22,0.92,-1,1508
TERM00069,2026-05-22,0.9085,-1,1688
TERM00070,2026-05-22,0.9357,-1,965
TERM00071,2026-05-22,0.9455,-1,1165
TERM00072,2026-05-22,0.9887,-1,1711
TERM00073,2026-05-22,0.9333,-1,655
TERM00074,2026-05-22,0.9855,-1,1170
TERM00075,2026-05-22,0.9615,-1,1021
TERM00076,2026-05-22,0.9822,-1,953
TERM00077,2026-05-22,0.889,-1,860
TERM00078,2026-05-22,0.8883,-1,1647
TERM00079,2026-05-22,0.9186,-1,609
TERM00080,2026-05-22,0.8939,-1,1982
TERM00081,2026-05-22,0.963,-1,1107
TERM00082,2026-05-22,0.9128,-1,1179
TERM00083,2026-05-22,0.894,-1,1219
TERM00084,2026-05-22,0.9568,-1,1518
TERM00085,2026-05-22,0.8949,-1,976
TERM00086,2026-05-22,0.985,-1,843
TERM00087,2026-05-22,0.9518,-1,1654
TERM00088,2026-05-22,0.9595,-1,1930
TERM00089,2026-05-22,0.9128,-1,1138
TERM00090,2026-05-22,0.935,-1,1766
TERM00091,2026-05-22,0.986,-1,1737
TERM00092,2026-05-22,0.9466,-1,879
TERM00093,2026-05-22,0.959,-1,1064
TERM00094,2026-05-22,0.9567,-1,1443
TERM00095,2026-05-22,0.9279,-1,871
TERM00096,2026-05-22,0.8947,-1,1395
TERM00097,2026-05-22,0.9639,-1,1103
TERM00098,2026-05-22,0.9145,-1,1490
TERM00099,2026-05-22,0.916,-1,1449
TERM00100,2026-05-22,0.8962,-1,1100
TERM00101,2026-05-22,0.9448,-1,1612
TERM00102,2026-05-22,0.9708,-1,846
TERM00103,2026-05-22,0.9699,-1,1518
TERM00104,2026-05-22,0.897,-1,575
TERM00105,2026-05-22,0.9204,-1,1421
TERM00106,2026-05-22,0.9621,-1,1031
TERM00107,2026-05-22,0.886,-1,1370
TERM00108,2026-05-22,0.9387,-1,831
TERM00109,2026-05-22,0.9089,-1,1616
TERM00110,2026-05-22,0.952,-1,1984
TERM00111,2026-05-22,0.8872,-1,1761
TERM00112,2026-05-22,0.9436,-1,1038
TERM00113,2026-05-22,0.8939,-1,1831
TERM00114,2026-05-22,0.9096,-1,848
TERM00115,2026-05-22,0.9444,-1,1438
TERM00116,2026-05-22,0.9673,-1,1963
TERM00117,2026-05-22,0.9433,-1,1443
TERM00118,2026-05-22,0.9297,-1,1017
TERM00119,2026-05-22,0.945,-1,617
TERM00120,2026-05-22,0.8972,-1,1355
TERM00121,2026-05-22,0.8886,-1,1993
TERM00122,2026-05-22,0.8883,-1,1844
TERM00123,2026-05-22,0.8911,-1,1680
TERM00124,2026-05-22,0.9246,-1,1540
TERM00125,2026-05-22,0.9667,-1,1891
TERM00126,2026-05-22,0.9056,-1,1955
TERM00127,2026-05-22,0.9451,-1,876
TERM00128,2026-05-22,0.9335,-1,630
TERM00129,2026-05-22,0.8975,-1,675
TERM00130,2026-05-22,0.9683,-1,1007
TERM00131,2026-05-22,0.9679,-1,1017
TERM00132,2026-05-22,0.9009,-1,926
TERM00133,2026-05-22,0.9356,-1,1399
TERM00134,2026-05-22,0.9159,-1,1048
TERM00135,2026-05-22,0.8937,-1,1412
TERM00136,2026-05-22,0.9742,-1,1300
TERM00137,2026-05-22,0.9116,-1,1615
TERM00138,2026-05-22,0.9438,-1,1219
TERM00139,2026-05-22,0.9265,-1,1853
TERM00140,2026-05-22,0.92,-1,1381
TERM00141,2026-05-22,0.8801,-1,1698
TERM00142,2026-05-22,0.9555,-1,802
TERM00143,2026-05-22,0.9564,-1,823
TERM00144,2026-05-22,0.9282,-1,1787
TERM00145,2026-05-22,0.9762,-1,530
TERM00146,2026-05-22,0.9401,-1,1337
TERM00147,2026-05-22,0.9574,-1,970
TERM00148,2026-05-22,0.9346,-1,1304
TERM00149,2026-05-22,0.9515,-1,552
TERM00150,2026-05-22,0.9866,-1,1775
TERM00151,2026-05-22,0.9749,-1,832
TERM00152,2026-05-22,0.9483,-1,919
TERM00153,2026-05-22,0.9603,-1,616
TERM00154,2026-05-22,0.9286,-1,1221
TERM00155,2026-05-22,0.9499,-1,1690
TERM00156,2026-05-22,0.8803,-1,1000
TERM00157,2026-05-22,0.9188,-1,689
TERM00158,2026-05-22,0.933,-1,1219
TERM00159,2026-05-22,0.9704,-1,1898
TERM00160,2026-05-22,0.9682,-1,1307
TERM00161,2026-05-22,0.8902,-1,1309
TERM00162,2026-05-22,0.962,-1,797
TERM00163,2026-05-22,0.8901,-1,629
TERM00164,2026-05-22,0.9081,-1,1577
TERM00165,2026-05-22,0.9625,-1,1883
TERM00166,2026-05-22,0.8884,-1,1924
TERM00167,2026-05-22,0.9662,-1,1878
TERM00168,2026-05-22,0.9464,-1,874
TERM00169,2026-05-22,0.9152,-1,690
TERM00170,2026-05-22,0.9131,-1,1194
TERM00171,2026-05-22,0.9447,-1,1460
TERM00172,2026-05-22,0.9105,-1,722
TERM00173,2026-05-22,0.937,-1,966
TERM00174,2026-05-22,0.973,-1,942
TERM00175,2026-05-22,0.9598,-1,689
TERM00176,2026-05-22,0.9895,-1,1462
TERM00177,2026-05-22,0.9286,-1,1624
TERM00178,2026-05-22,0.9605,-1,1722
TERM00179,2026-05-22,0.9645,-1,1791
TERM00180,2026-05-22,0.8814,-1,1692
TERM00181,2026-05-22,0.8918,-1,697
TERM00182,2026-05-22,0.8835,-1,1256
TERM00183,2026-05-22,0.9094,-1,1571
TERM00184,2026-05-22,0.9594,-1,1009
TERM00185,2026-05-22,0.9376,-1,1499
TERM00186,2026-05-22,0.8866,-1,1616
TERM00187,2026-05-22,0.883,-1,957
TERM00188,2026-05-22,0.9801,-1,1817
TERM00189,2026-05-22,0.8904,-1,962
TERM00190,2026-05-22,0.8803,-1,768
TERM00191,2026-05-22,0.9483,-1,1417
TERM00192,2026-05-22,0.9894,-1,1957
TERM00193,2026-05-22,0.8851,-1,932
TERM00194,2026-05-22,0.9657,-1,807
TERM00195,2026-05-22,0.9164,-1,956
TERM00196,2026-05-22,0.9799,-1,1307
TERM00197,2026-05-22,0.6301,32,1181
TERM00198,2026-05-22,0.9092,-1,1925
TERM00199,2026-05-22,0.8824,-1,1653
TERM00200,2026-05-22,0.8849,-1,846
TERM00201,2026-05-22,0.9249,-1,1723
TERM00202,2026-05-22,0.9873,-1,1746
TERM00203,2026-05-22,0.957,-1,1238
TERM00204,2026-05-22,0.9249,-1,1889
TERM00205,2026-05-22,0.9133,-1,1902
TERM00206,2026-05-22,0.9351,-1,731
TERM00207,2026-05-22,0.916,-1,1256
TERM00208,2026-05-22,0.9825,-1,661
TERM00209,2026-05-22,0.8936,-1,646
TERM00210,2026-05-22,0.8875,-1,1609
TERM00211,2026-05-22,0.938,-1,1392
TERM00212,2026-05-22,0.9058,-1,1512
TERM00213,2026-05-22,0.8883,-1,942
TERM00214,2026-05-22,0.9463,-1,1390
TERM00215,2026-05-22,0.9143,-1,585
TERM00216,2026-05-22,0.885,-1,1064
TERM00217,2026-05-22,0.9125,-1,1531
TERM00218,2026-05-22,0.8988,-1,1823
TERM00219,2026-05-22,0.9315,-1,1968
TERM00220,2026-05-22,0.9683,-1,1515
TERM00221,2026-05-22,0.8889,-1,1375
TERM00222,2026-05-22,0.949,-1,1387
TERM00223,2026-05-22,0.9017,-1,1840
TERM00224,2026-05-22,0.9729,-1,546
TERM00225,2026-05-22,0.9284,-1,971
TERM00226,2026-05-22,0.9436,-1,591
TERM00227,2026-05-22,0.6254,16,620
TERM00228,2026-05-22,0.9116,-1,1885
TERM00229,2026-05-22,0.9432,-1,990
TERM00230,2026-05-22,0.9244,-1,1591
TERM00231,2026-05-22,0.9499,-1,660
TERM00232,2026-05-22,0.9602,-1,1948
TERM00233,2026-05-22,0.887,-1,1260
TERM00234,2026-05-22,0.5706,64,1916
TERM00235,2026-05-22,0.9008,-1,1968
TERM00236,2026-05-22,0.9556,-1,961
TERM00237,2026-05-22,0.9671,-1,1495
TERM00238,2026-05-22,0.9235,-1,1866
TERM00239,2026-05-22,0.9892,-1,1670
TERM00240,2026-05-22,0.9709,-1,655
TERM00241,2026-05-22,0.9099,-1,707
TERM00242,2026-05-22,0.9756,-1,1905
TERM00243,2026-05-22,0.9638,-1,864
TERM00244,2026-05-22,0.9036,-1,1405
TERM00245,2026-05-22,0.9308,-1,1480
TERM00246,2026-05-22,0.958,-1,552
TERM00247,2026-05-22,0.8927,-1,538
TERM00248,2026-05-22,0.907,-1,887
TERM00249,2026-05-22,0.9667,-1,1446
TERM00250,2026-05-22,0.9388,-1,1100
TERM00251,2026-05-22,0.9029,-1,1313
TERM00252,2026-05-22,0.9363,-1,1001
TERM00253,2026-05-22,0.9014,-1,561
TERM00254,2026-05-22,0.9294,-1,1534
TERM00255,2026-05-22,0.9882,-1,1638
TERM00256,2026-05-22,0.9236,-1,869
TERM00257,2026-05-22,0.9817,-1,562
TERM00258,2026-05-22,0.9333,-1,1828
TERM00259,2026-05-22,0.8936,-1,523
TERM00260,2026-05-22,0.9446,-1,1113
TERM00261,2026-05-22,0.908,-1,1568
TERM00262,2026-05-22,0.9385,-1,786
TERM00263,2026-05-22,0.8994,-1,785
TERM00264,2026-05-22,0.8882,-1,1811
TERM00265,2026-05-22,0.9886,-1,675
TERM00266,2026-05-22,0.9882,-1,1306
TERM00267,2026-05-22,0.9627,-1,598
TERM00268,2026-05-22,0.905,-1,729
TERM00269,2026-05-22,0.8918,-1,533
TERM00270,2026-05-22,0.8986,-1,1593
TERM00271,2026-05-22,0.9586,-1,820
TERM00272,2026-05-22,0.9253,-1,1789
TERM00273,2026-05-22,0.9527,-1,720
TERM00274,2026-05-22,0.9628,-1,1842
TERM00275,2026-05-22,0.8944,-1,1162
TERM00276,2026-05-22,0.9389,-1,938
TERM00277,2026-05-22,0.9091,-1,714
TERM00278,2026-05-22,0.9848,-1,1258
TERM00279,2026-05-22,0.9298,-1,1058
TERM00280,2026-05-22,0.8961,-1,892
TERM00281,2026-05-22,0.9791,-1,550
TERM00282,2026-05-22,0.9013,-1,844
TERM00283,2026-05-22,0.9406,-1,612
TERM00284,2026-05-22,0.9224,-1,1192
TERM00285,2026-05-22,0.9437,-1,1190
TERM00286,2026-05-22,0.8875,-1,1354
TERM00287,2026-05-22,0.9256,-1,1668
TERM00288,2026-05-22,0.922,-1,1581
TERM00289,2026-05-22,0.9897,-1,1755
TERM00290,2026-05-22,0.9346,-1,853
TERM00291,2026-05-22,0.9541,-1,1674
TERM00292,2026-05-22,0.8843,-1,1321
TERM00293,2026-05-22,0.9365,-1,1283
TERM00294,2026-05-22,0.9247,-1,1949
TERM00295,2026-05-22,0.8928,-1,1087
TERM00296,2026-05-22,0.9253,-1,531
TERM00297,2026-05-22,0.9004,-1,1841
TERM00298,2026-05-22,0.9847,-1,1752
TERM00299,2026-05-22,0.9835,-1,1244
TERM00300,2026-05-22,0.93,-1,1061
