user_id,risk_level,risk_reason
USR00358,低,
USR00359,低,
USR00360,低,
USR00361,低,
USR00362,低,
USR00363,低,
USR00364,低,
USR00365,低,
USR00366,低,
USR00367,低,
USR00368,低,
USR00369,低,
USR00370,低,
USR00371,低,
USR00372,低,
USR00373,低,
USR00374,低,
USR00375,低,
USR00376,低,
USR00377,低,
USR00378,低,
USR00379,高,近一年投诉≥3次 / 工单未结
USR00380,低,
USR00381,低,
USR00382,低,
USR00383,低,
USR00384,低,
USR00385,低,
USR00386,低,
USR00387,低,
USR00388,低,
USR00389,低,
USR00390,低,
USR00391,低,
USR00392,低,
USR00393,低,
USR00394,低,
USR00395,低,
USR00396,低,
USR00397,低,
USR00398,低,
USR00399,低,
USR00400,低,
USR00401,低,
USR00402,低,
USR00403,低,
USR00404,低,
USR00405,低,
USR00406,低,
USR00407,高,近一年投诉≥3次 / 工单未结
USR00408,低,
USR00409,低,
USR00410,低,
USR00411,高,近一年投诉≥3次 / 工单未结
USR00412,低,
USR00413,低,
USR00414,低,
USR00415,低,
USR00416,高,近一年投诉≥3次 / 工单未结
USR00417,低,
USR00418,低,
USR00419,低,
USR00420,低,
USR00421,低,
USR00422,低,
USR00423,低,
USR00424,低,
USR00425,低,
USR00426,低,
USR00427,低,
USR00428,低,
USR00429,低,
USR00430,低,
USR00431,低,
USR00432,低,
USR00433,低,
USR00434,低,
USR00435,低,
USR00436,低,
USR00437,高,近一年投诉≥3次 / 工单未结
USR00438,低,
USR00439,低,
USR00440,低,
USR00441,低,
USR00442,低,
USR00443,低,
USR00444,低,
USR00445,低,
USR00446,低,
USR00447,低,
USR00448,高,近一年投诉≥3次 / 工单未结
USR00449,低,
USR00450,低,
USR00451,低,
USR00452,低,
USR00453,低,
USR00454,低,
USR00455,低,
USR00456,低,
USR00457,低,
USR00458,低,
USR00459,低,
USR00460,低,
USR00461,低,
USR00462,低,
USR00463,低,
USR00464,低,
USR00465,低,
USR00466,低,
USR00467,低,
USR00468,低,
USR00469,低,
USR00470,低,
USR00471,低,
USR00472,低,
USR00473,低,
USR00474,低,
USR00475,低,
USR00476,低,
USR00477,低,
USR00478,低,
USR00479,低,
USR00480,低,
USR00481,低,
USR00482,低,
USR00483,低,
USR00484,低,
USR00485,低,
USR00486,低,
USR00487,低,
USR00488,低,
USR00489,低,
USR00490,低,
USR00491,低,
USR00492,低,
USR00493,低,
USR00494,低,
USR00495,低,
USR00496,低,
USR00497,低,
USR00498,低,
USR00499,低,
USR00500,低,
