terminal_id,strategy_id,bind_time
TERM00250,S002,2026-02-17
TERM00251,S001,2026-03-12
TERM00252,S001,2025-12-26
TERM00253,S001,2026-01-18
TERM00254,S002,2026-03-26
TERM00255,S001,2025-10-04
TERM00256,S001,2025-12-14
TERM00257,S001,2025-05-30
TERM00258,S002,2025-09-04
TERM00259,S001,2026-01-17
TERM00260,S001,2026-03-01
TERM00261,S001,2025-11-24
TERM00262,S001,2025-10-07
TERM00263,S001,2026-01-11
TERM00264,S001,2025-08-31
TERM00265,S002,2025-07-27
TERM00266,S001,2025-08-16
TERM00267,S001,2025-08-03
TERM00268,S001,2026-04-17
TERM00269,S001,2025-06-03
TERM00270,S001,2026-03-14
TERM00271,S001,2025-08-29
TERM00272,S001,2026-04-12
TERM00273,S002,2025-11-11
TERM00274,S002,2025-12-30
TERM00275,S002,2025-11-25
TERM00276,S001,2025-06-29
TERM00277,S002,2025-07-08
TERM00278,S001,2025-12-13
TERM00279,S001,2025-11-18
TERM00280,S002,2026-02-13
TERM00281,S001,2025-11-25
TERM00282,S001,2026-03-29
TERM00283,S001,2025-06-04
TERM00284,S002,2025-07-13
TERM00285,S001,2025-10-17
TERM00286,S001,2026-04-02
TERM00287,S001,2026-01-30
TERM00288,S002,2025-10-26
TERM00289,S001,2025-12-04
TERM00290,S001,2026-03-21
TERM00291,S001,2025-10-15
TERM00292,S001,2025-08-28
TERM00293,S002,2025-11-14
TERM00294,S002,2026-03-05
TERM00295,S001,2025-12-26
TERM00296,S001,2025-12-28
TERM00297,S001,2026-02-18
TERM00298,S001,2026-02-15
TERM00299,S001,2025-11-27
TERM00300,S002,2025-08-04
