meter_id,measure_point_id,user_id,terminal_id,meter_type,install_date
MTR000071,MP000071,USR00476,TERM00195,单相智能表,2022-07-10
MTR000072,MP000072,USR00006,TERM00048,单相智能表,2023-04-30
MTR000073,MP000073,USR00146,TERM00151,单相智能表,2022-03-25
MTR000074,MP000074,USR00386,TERM00114,单相智能表,2025-03-23
MTR000075,MP000075,USR00268,TERM00076,单相智能表,2023-07-16
MTR000076,MP000076,USR00095,TERM00275,单相智能表,2026-01-13
MTR000077,MP000077,USR00272,TERM00105,单相智能表,2022-01-21
MTR000078,MP000078,USR00220,TERM00014,三相智能表,2024-05-11
MTR000079,MP000079,USR00350,TERM00176,单相智能表,2026-01-21
MTR000080,MP000080,USR00261,TERM00085,三相智能表,2025-01-15
MTR000081,MP000081,USR00157,TERM00087,三相智能表,2022-08-22
MTR000082,MP000082,USR00348,TERM00168,单相智能表,2025-03-31
MTR000083,MP000083,USR00410,TERM00213,单相智能表,2022-06-24
MTR000084,MP000084,USR00041,TERM00076,单相智能表,2025-03-04
MTR000085,MP000085,USR00263,TERM00278,单相智能表,2021-08-06
MTR000086,MP000086,USR00156,TERM00198,单相智能表,2023-03-09
MTR000087,MP000087,USR00018,TERM00021,单相智能表,2023-09-11
MTR000088,MP000088,USR00075,TERM00261,单相智能表,2024-02-06
MTR000089,MP000089,USR00352,TERM00211,三相智能表,2025-04-26
MTR000090,MP000090,USR00465,TERM00029,单相智能表,2022-04-26
MTR000091,MP000091,USR00015,TERM00147,单相智能表,2023-06-19
MTR000092,MP000092,USR00217,TERM00013,三相智能表,2021-07-12
MTR000093,MP000093,USR00176,TERM00100,单相智能表,2021-10-11
MTR000094,MP000094,USR00024,TERM00186,单相智能表,2025-06-23
MTR000095,MP000095,USR00309,TERM00170,单相智能表,2025-11-12
MTR000096,MP000096,USR00193,TERM00188,三相智能表,2025-12-16
MTR000097,MP000097,USR00026,TERM00133,单相智能表,2025-12-11
MTR000098,MP000098,USR00467,TERM00076,单相智能表,2022-03-30
MTR000099,MP000099,USR00026,TERM00133,单相智能表,2022-07-02
MTR000100,MP000100,USR00318,TERM00205,单相智能表,2021-12-21
MTR000101,MP000101,USR00127,TERM00273,单相智能表,2023-09-28
MTR000102,MP000102,USR00142,TERM00014,单相智能表,2024-02-09
MTR000103,MP000103,USR00357,TERM00236,单相智能表,2024-01-04
MTR000104,MP000104,USR00116,TERM00174,单相智能表,2022-05-24
MTR000105,MP000105,USR00095,TERM00275,单相智能表,2025-07-21
MTR000106,MP000106,USR00041,TERM00076,单相智能表,2022-03-03
MTR000107,MP000107,USR00408,TERM00111,三相智能表,2022-12-08
MTR000108,MP000108,USR00396,TERM00154,三相智能表,2025-12-04
MTR000109,MP000109,USR00121,TERM00154,单相智能表,2024-10-17
MTR000110,MP000110,USR00459,TERM00047,三相智能表,2022-12-03
MTR000111,MP000111,USR00304,TERM00114,单相智能表,2024-11-09
MTR000112,MP000112,USR00285,TERM00173,单相智能表,2024-11-18
MTR000113,MP000113,USR00202,TERM00170,单相智能表,2023-04-02
MTR000114,MP000114,USR00216,TERM00126,单相智能表,2023-03-30
MTR000115,MP000115,USR00490,TERM00087,单相智能表,2022-11-25
MTR000116,MP000116,USR00203,TERM00142,单相智能表,2022-12-14
MTR000117,MP000117,USR00041,TERM00076,单相智能表,2024-02-10
MTR000118,MP000118,USR00134,TERM00004,单相智能表,2025-11-18
MTR000119,MP000119,USR00450,TERM00163,单相智能表,2024-02-21
MTR000120,MP000120,USR00205,TERM00107,三相智能表,2025-02-21
MTR000121,MP000121,USR00267,TERM00264,三相智能表,2023-08-17
MTR000122,MP000122,USR00386,TERM00114,单相智能表,2023-12-26
MTR000123,MP000123,USR00433,TERM00044,三相智能表,2023-04-06
MTR000124,MP000124,USR00032,TERM00035,单相智能表,2023-11-22
MTR000125,MP000125,USR00044,TERM00289,单相智能表,2023-05-08
MTR000126,MP000126,USR00393,TERM00080,单相智能表,2025-12-15
MTR000127,MP000127,USR00439,TERM00168,三相智能表,2023-12-10
MTR000128,MP000128,USR00499,TERM00073,单相智能表,2023-11-19
MTR000129,MP000129,USR00436,TERM00102,单相智能表,2021-07-30
MTR000130,MP000130,USR00240,TERM00282,单相智能表,2025-06-02
MTR000131,MP000131,USR00311,TERM00083,单相智能表,2025-11-03
MTR000132,MP000132,USR00300,TERM00093,三相智能表,2024-03-08
MTR000133,MP000133,USR00361,TERM00120,单相智能表,2022-09-14
MTR000134,MP000134,USR00031,TERM00100,单相智能表,2023-07-04
MTR000135,MP000135,USR00225,TERM00281,单相智能表,2021-09-06
MTR000136,MP000136,USR00399,TERM00136,单相智能表,2023-03-25
MTR000137,MP000137,USR00492,TERM00283,单相智能表,2023-02-26
MTR000138,MP000138,USR00374,TERM00250,单相智能表,2022-07-29
MTR000139,MP000139,USR00305,TERM00105,单相智能表,2021-11-09
MTR000140,MP000140,USR00014,TERM00211,三相智能表,2022-08-04
MTR000141,MP000141,USR00447,TERM00123,单相智能表,2021-05-26
MTR000142,MP000142,USR00112,TERM00098,单相智能表,2024-11-24
MTR000143,MP000143,USR00304,TERM00114,单相智能表,2025-01-06
MTR000144,MP000144,USR00264,TERM00177,三相智能表,2021-06-04
MTR000145,MP000145,USR00054,TERM00088,单相智能表,2023-09-20
MTR000146,MP000146,USR00443,TERM00205,三相智能表,2022-01-30
MTR000147,MP000147,USR00134,TERM00004,单相智能表,2025-04-22
MTR000148,MP000148,USR00202,TERM00170,单相智能表,2022-03-20
MTR000149,MP000149,USR00458,TERM00140,三相智能表,2024-02-23
MTR000150,MP000150,USR00256,TERM00219,三相智能表,2021-06-19
MTR000151,MP000151,USR00286,TERM00039,单相智能表,2022-05-20
MTR000152,MP000152,USR00269,TERM00192,单相智能表,2024-09-24
MTR000153,MP000153,USR00083,TERM00178,单相智能表,2023-07-21
MTR000154,MP000154,USR00437,TERM00031,单相智能表,2023-03-07
MTR000155,MP000155,USR00400,TERM00239,单相智能表,2022-08-17
MTR000156,MP000156,USR00016,TERM00213,单相智能表,2024-09-06
MTR000157,MP000157,USR00230,TERM00143,三相智能表,2025-05-19
MTR000158,MP000158,USR00254,TERM00048,单相智能表,2024-02-11
MTR000159,MP000159,USR00359,TERM00158,单相智能表,2022-07-29
MTR000160,MP000160,USR00444,TERM00280,单相智能表,2026-03-16
MTR000161,MP000161,USR00409,TERM00206,单相智能表,2025-06-09
MTR000162,MP000162,USR00451,TERM00249,单相智能表,2024-12-15
MTR000163,MP000163,USR00301,TERM00204,单相智能表,2026-01-14
MTR000164,MP000164,USR00044,TERM00289,三相智能表,2026-03-15
MTR000165,MP000165,USR00312,TERM00191,单相智能表,2025-07-18
MTR000166,MP000166,USR00020,TERM00137,单相智能表,2024-02-14
MTR000167,MP000167,USR00142,TERM00014,三相智能表,2025-12-15
MTR000168,MP000168,USR00096,TERM00261,单相智能表,2021-12-01
MTR000169,MP000169,USR00363,TERM00048,三相智能表,2025-06-06
MTR000170,MP000170,USR00095,TERM00275,单相智能表,2023-08-10
MTR000171,MP000171,USR00208,TERM00012,单相智能表,2025-04-23
MTR000172,MP000172,USR00213,TERM00075,单相智能表,2022-09-29
MTR000173,MP000173,USR00178,TERM00101,单相智能表,2021-08-16
MTR000174,MP000174,USR00225,TERM00281,单相智能表,2024-10-31
MTR000175,MP000175,USR00311,TERM00083,单相智能表,2024-07-16
MTR000176,MP000176,USR00037,TERM00277,单相智能表,2026-01-30
MTR000177,MP000177,USR00331,TERM00136,单相智能表,2022-10-24
MTR000178,MP000178,USR00391,TERM00080,单相智能表,2024-02-24
MTR000179,MP000179,USR00293,TERM00128,三相智能表,2023-04-23
MTR000180,MP000180,USR00016,TERM00213,单相智能表,2022-04-29
MTR000181,MP000181,USR00283,TERM00158,单相智能表,2025-10-20
MTR000182,MP000182,USR00042,TERM00108,单相智能表,2023-05-05
MTR000183,MP000183,USR00001,TERM00010,单相智能表,2026-02-05
MTR000184,MP000184,USR00050,TERM00202,单相智能表,2024-01-27
MTR000185,MP000185,USR00414,TERM00011,三相智能表,2025-06-09
MTR000186,MP000186,USR00174,TERM00011,单相智能表,2021-10-04
MTR000187,MP000187,USR00278,TERM00013,单相智能表,2021-09-27
MTR000188,MP000188,USR00455,TERM00177,三相智能表,2021-10-05
MTR000189,MP000189,USR00184,TERM00252,三相智能表,2026-04-01
MTR000190,MP000190,USR00470,TERM00129,三相智能表,2021-07-16
MTR000191,MP000191,USR00414,TERM00011,单相智能表,2021-07-15
MTR000192,MP000192,USR00279,TERM00249,三相智能表,2025-12-03
MTR000193,MP000193,USR00396,TERM00154,单相智能表,2023-04-17
MTR000194,MP000194,USR00210,TERM00236,单相智能表,2024-04-04
MTR000195,MP000195,USR00330,TERM00033,单相智能表,2025-07-21
MTR000196,MP000196,USR00075,TERM00261,单相智能表,2025-12-09
MTR000197,MP000197,USR00463,TERM00168,单相智能表,2022-02-19
MTR000198,MP000198,USR00309,TERM00170,单相智能表,2023-10-20
MTR000199,MP000199,USR00481,TERM00102,单相智能表,2021-07-17
MTR000200,MP000200,USR00463,TERM00168,单相智能表,2024-06-29
MTR000201,MP000201,USR00214,TERM00210,单相智能表,2025-03-24
MTR000202,MP000202,USR00496,TERM00260,单相智能表,2021-09-04
MTR000203,MP000203,USR00474,TERM00299,三相智能表,2025-04-01
MTR000204,MP000204,USR00207,TERM00034,三相智能表,2024-06-13
MTR000205,MP000205,USR00236,TERM00224,单相智能表,2025-02-13
MTR000206,MP000206,USR00473,TERM00007,单相智能表,2021-10-02
MTR000207,MP000207,USR00286,TERM00039,三相智能表,2022-11-26
MTR000208,MP000208,USR00081,TERM00024,单相智能表,2025-07-26
MTR000209,MP000209,USR00006,TERM00048,单相智能表,2022-12-29
MTR000210,MP000210,USR00476,TERM00195,单相智能表,2025-12-16
MTR000211,MP000211,USR00091,TERM00043,单相智能表,2022-08-08
MTR000212,MP000212,USR00105,TERM00116,三相智能表,2024-08-29
MTR000213,MP000213,USR00409,TERM00206,三相智能表,2023-10-02
MTR000214,MP000214,USR00339,TERM00113,三相智能表,2024-02-11
MTR000215,MP000215,USR00378,TERM00136,单相智能表,2023-02-09
MTR000216,MP000216,USR00135,TERM00156,单相智能表,2021-12-16
MTR000217,MP000217,USR00037,TERM00277,单相智能表,2025-08-11
MTR000218,MP000218,USR00072,TERM00152,单相智能表,2022-12-05
MTR000219,MP000219,USR00117,TERM00108,单相智能表,2024-11-24
MTR000220,MP000220,USR00288,TERM00199,单相智能表,2024-02-21
MTR000221,MP000221,USR00338,TERM00293,单相智能表,2023-09-29
MTR000222,MP000222,USR00102,TERM00193,单相智能表,2026-02-24
MTR000223,MP000223,USR00189,TERM00049,单相智能表,2024-06-21
MTR000224,MP000224,USR00222,TERM00257,单相智能表,2025-10-09
MTR000225,MP000225,USR00291,TERM00219,单相智能表,2025-02-01
MTR000226,MP000226,USR00044,TERM00289,三相智能表,2024-05-15
MTR000227,MP000227,USR00267,TERM00264,单相智能表,2024-06-13
MTR000228,MP000228,USR00088,TERM00283,单相智能表,2023-05-23
MTR000229,MP000229,USR00346,TERM00115,单相智能表,2023-10-11
MTR000230,MP000230,USR00099,TERM00057,单相智能表,2024-03-27
MTR000231,MP000231,USR00244,TERM00217,三相智能表,2022-06-17
MTR000232,MP000232,USR00110,TERM00155,单相智能表,2026-03-14
MTR000233,MP000233,USR00305,TERM00105,单相智能表,2022-07-21
MTR000234,MP000234,USR00153,TERM00201,单相智能表,2022-06-09
MTR000235,MP000235,USR00179,TERM00285,三相智能表,2021-09-28
MTR000236,MP000236,USR00271,TERM00027,单相智能表,2026-02-05
MTR000237,MP000237,USR00355,TERM00147,单相智能表,2023-08-15
MTR000238,MP000238,USR00494,TERM00211,三相智能表,2024-08-27
MTR000239,MP000239,USR00227,TERM00264,单相智能表,2026-03-24
MTR000240,MP000240,USR00229,TERM00043,单相智能表,2022-03-02
MTR000241,MP000241,USR00056,TERM00149,三相智能表,2023-12-13
MTR000242,MP000242,USR00081,TERM00024,单相智能表,2023-12-22
MTR000243,MP000243,USR00214,TERM00210,三相智能表,2026-01-20
MTR000244,MP000244,USR00156,TERM00198,单相智能表,2024-12-31
MTR000245,MP000245,USR00425,TERM00053,单相智能表,2025-11-11
MTR000246,MP000246,USR00075,TERM00261,单相智能表,2021-09-26
MTR000247,MP000247,USR00395,TERM00280,单相智能表,2021-07-14
MTR000248,MP000248,USR00188,TERM00272,三相智能表,2023-10-30
MTR000249,MP000249,USR00087,TERM00089,单相智能表,2024-02-08
MTR000250,MP000250,USR00054,TERM00088,单相智能表,2022-02-07
MTR000251,MP000251,USR00388,TERM00100,三相智能表,2023-09-13
MTR000252,MP000252,USR00146,TERM00151,单相智能表,2025-05-23
MTR000253,MP000253,USR00312,TERM00191,单相智能表,2026-02-26
MTR000254,MP000254,USR00190,TERM00255,单相智能表,2025-04-28
MTR000255,MP000255,USR00311,TERM00083,单相智能表,2025-06-01
MTR000256,MP000256,USR00185,TERM00208,单相智能表,2025-01-05
MTR000257,MP000257,USR00045,TERM00130,单相智能表,2024-08-04
MTR000258,MP000258,USR00083,TERM00178,单相智能表,2024-01-06
MTR000259,MP000259,USR00473,TERM00007,单相智能表,2022-02-12
MTR000260,MP000260,USR00432,TERM00254,三相智能表,2025-04-04
MTR000261,MP000261,USR00457,TERM00031,单相智能表,2024-08-15
MTR000262,MP000262,USR00398,TERM00190,单相智能表,2023-11-17
MTR000263,MP000263,USR00417,TERM00179,单相智能表,2025-02-18
MTR000264,MP000264,USR00069,TERM00094,三相智能表,2025-08-31
MTR000265,MP000265,USR00151,TERM00042,单相智能表,2021-09-14
MTR000266,MP000266,USR00476,TERM00195,单相智能表,2022-10-25
MTR000267,MP000267,USR00096,TERM00261,单相智能表,2021-06-05
MTR000268,MP000268,USR00165,TERM00218,单相智能表,2025-07-04
MTR000269,MP000269,USR00288,TERM00199,单相智能表,2023-09-08
MTR000270,MP000270,USR00472,TERM00019,单相智能表,2023-04-18
MTR000271,MP000271,USR00231,TERM00023,单相智能表,2021-09-30
MTR000272,MP000272,USR00321,TERM00237,单相智能表,2026-02-10
MTR000273,MP000273,USR00401,TERM00263,单相智能表,2025-02-15
MTR000274,MP000274,USR00031,TERM00100,单相智能表,2026-02-23
MTR000275,MP000275,USR00123,TERM00200,单相智能表,2025-05-11
MTR000276,MP000276,USR00499,TERM00073,单相智能表,2024-05-31
MTR000277,MP000277,USR00053,TERM00254,单相智能表,2024-09-11
MTR000278,MP000278,USR00377,TERM00291,单相智能表,2026-03-08
MTR000279,MP000279,USR00325,TERM00070,三相智能表,2022-08-03
MTR000280,MP000280,USR00207,TERM00034,单相智能表,2021-09-29
MTR000281,MP000281,USR00091,TERM00043,单相智能表,2023-09-11
MTR000282,MP000282,USR00200,TERM00072,三相智能表,2022-07-03
MTR000283,MP000283,USR00068,TERM00014,三相智能表,2022-02-27
MTR000284,MP000284,USR00418,TERM00057,三相智能表,2024-03-04
MTR000285,MP000285,USR00217,TERM00013,单相智能表,2022-05-06
MTR000286,MP000286,USR00144,TERM00109,单相智能表,2021-09-28
MTR000287,MP000287,USR00477,TERM00224,三相智能表,2021-06-03
MTR000288,MP000288,USR00096,TERM00261,单相智能表,2025-11-06
MTR000289,MP000289,USR00207,TERM00034,三相智能表,2026-02-20
MTR000290,MP000290,USR00484,TERM00059,单相智能表,2022-05-19
MTR000291,MP000291,USR00321,TERM00237,单相智能表,2022-02-04
MTR000292,MP000292,USR00422,TERM00085,单相智能表,2024-12-13
MTR000293,MP000293,USR00405,TERM00167,单相智能表,2026-02-05
MTR000294,MP000294,USR00244,TERM00217,单相智能表,2025-01-01
MTR000295,MP000295,USR00087,TERM00089,三相智能表,2024-03-20
MTR000296,MP000296,USR00328,TERM00013,三相智能表,2024-12-23
MTR000297,MP000297,USR00315,TERM00190,单相智能表,2024-03-19
MTR000298,MP000298,USR00110,TERM00155,单相智能表,2023-11-02
MTR000299,MP000299,USR00252,TERM00044,单相智能表,2025-01-16
MTR000300,MP000300,USR00391,TERM00080,单相智能表,2025-07-24
MTR000301,MP000301,USR00045,TERM00130,单相智能表,2023-07-12
MTR000302,MP000302,USR00336,TERM00297,单相智能表,2022-04-05
MTR000303,MP000303,USR00168,TERM00049,三相智能表,2021-07-17
MTR000304,MP000304,USR00395,TERM00280,三相智能表,2021-07-21
MTR000305,MP000305,USR00215,TERM00291,单相智能表,2025-08-10
MTR000306,MP000306,USR00388,TERM00100,三相智能表,2025-06-21
MTR000307,MP000307,USR00475,TERM00056,单相智能表,2023-06-09
MTR000308,MP000308,USR00378,TERM00136,单相智能表,2021-09-27
MTR000309,MP000309,USR00155,TERM00021,单相智能表,2023-07-15
MTR000310,MP000310,USR00312,TERM00191,单相智能表,2026-01-07
MTR000311,MP000311,USR00053,TERM00254,单相智能表,2022-04-19
MTR000312,MP000312,USR00376,TERM00222,单相智能表,2023-10-16
MTR000313,MP000313,USR00488,TERM00250,单相智能表,2023-01-19
MTR000314,MP000314,USR00396,TERM00154,三相智能表,2021-09-13
MTR000315,MP000315,USR00438,TERM00024,单相智能表,2025-05-24
MTR000316,MP000316,USR00367,TERM00289,单相智能表,2023-06-03
MTR000317,MP000317,USR00408,TERM00111,单相智能表,2024-02-18
MTR000318,MP000318,USR00206,TERM00288,三相智能表,2025-10-18
MTR000319,MP000319,USR00281,TERM00078,三相智能表,2024-01-26
MTR000320,MP000320,USR00462,TERM00281,三相智能表,2023-12-09
MTR000321,MP000321,USR00005,TERM00052,单相智能表,2025-11-16
MTR000322,MP000322,USR00173,TERM00160,三相智能表,2021-09-27
MTR000323,MP000323,USR00277,TERM00022,单相智能表,2024-10-05
MTR000324,MP000324,USR00391,TERM00080,单相智能表,2024-01-31
MTR000325,MP000325,USR00177,TERM00020,三相智能表,2025-05-16
MTR000326,MP000326,USR00273,TERM00029,单相智能表,2025-01-23
MTR000327,MP000327,USR00323,TERM00133,单相智能表,2025-12-23
MTR000328,MP000328,USR00496,TERM00260,单相智能表,2023-02-04
MTR000329,MP000329,USR00418,TERM00057,单相智能表,2023-02-01
MTR000330,MP000330,USR00484,TERM00059,单相智能表,2021-08-22
MTR000331,MP000331,USR00418,TERM00057,单相智能表,2022-01-01
MTR000332,MP000332,USR00461,TERM00176,单相智能表,2024-09-25
MTR000333,MP000333,USR00018,TERM00021,单相智能表,2023-09-01
MTR000334,MP000334,USR00178,TERM00101,单相智能表,2026-01-04
MTR000335,MP000335,USR00116,TERM00174,单相智能表,2025-01-21
MTR000336,MP000336,USR00160,TERM00011,单相智能表,2025-05-04
MTR000337,MP000337,USR00092,TERM00036,单相智能表,2023-03-24
MTR000338,MP000338,USR00090,TERM00101,单相智能表,2024-08-11
MTR000339,MP000339,USR00396,TERM00154,单相智能表,2022-07-07
MTR000340,MP000340,USR00135,TERM00156,三相智能表,2023-06-03
MTR000341,MP000341,USR00422,TERM00085,三相智能表,2023-09-29
MTR000342,MP000342,USR00098,TERM00127,单相智能表,2022-05-29
MTR000343,MP000343,USR00282,TERM00136,单相智能表,2024-03-13
MTR000344,MP000344,USR00437,TERM00031,单相智能表,2021-06-16
MTR000345,MP000345,USR00434,TERM00268,单相智能表,2025-11-07
MTR000346,MP000346,USR00393,TERM00080,三相智能表,2025-09-07
MTR000347,MP000347,USR00333,TERM00263,单相智能表,2023-10-24
MTR000348,MP000348,USR00066,TERM00256,单相智能表,2022-01-13
MTR000349,MP000349,USR00440,TERM00157,三相智能表,2023-04-19
MTR000350,MP000350,USR00328,TERM00013,三相智能表,2022-03-02
MTR000351,MP000351,USR00433,TERM00044,单相智能表,2026-02-16
MTR000352,MP000352,USR00070,TERM00164,三相智能表,2025-03-30
MTR000353,MP000353,USR00415,TERM00028,单相智能表,2023-02-14
MTR000354,MP000354,USR00361,TERM00120,单相智能表,2025-05-20
MTR000355,MP000355,USR00117,TERM00108,单相智能表,2022-11-06
MTR000356,MP000356,USR00396,TERM00154,三相智能表,2025-11-06
MTR000357,MP000357,USR00166,TERM00256,单相智能表,2022-07-21
MTR000358,MP000358,USR00233,TERM00023,三相智能表,2024-11-14
MTR000359,MP000359,USR00203,TERM00142,单相智能表,2022-10-29
MTR000360,MP000360,USR00295,TERM00080,单相智能表,2024-10-17
MTR000361,MP000361,USR00304,TERM00114,单相智能表,2026-02-11
MTR000362,MP000362,USR00215,TERM00291,单相智能表,2026-02-04
MTR000363,MP000363,USR00092,TERM00036,三相智能表,2022-09-21
MTR000364,MP000364,USR00160,TERM00011,单相智能表,2022-08-04
MTR000365,MP000365,USR00321,TERM00237,单相智能表,2023-12-02
MTR000366,MP000366,USR00414,TERM00011,单相智能表,2024-09-17
MTR000367,MP000367,USR00470,TERM00129,单相智能表,2024-03-10
MTR000368,MP000368,USR00140,TERM00136,三相智能表,2021-11-22
MTR000369,MP000369,USR00067,TERM00091,单相智能表,2025-12-02
MTR000370,MP000370,USR00068,TERM00014,单相智能表,2025-06-02
MTR000371,MP000371,USR00222,TERM00257,单相智能表,2024-11-22
MTR000372,MP000372,USR00235,TERM00286,单相智能表,2022-07-21
MTR000373,MP000373,USR00043,TERM00210,单相智能表,2021-10-15
MTR000374,MP000374,USR00431,TERM00190,单相智能表,2025-12-23
MTR000375,MP000375,USR00229,TERM00043,单相智能表,2025-11-29
MTR000376,MP000376,USR00312,TERM00191,单相智能表,2021-06-18
MTR000377,MP000377,USR00286,TERM00039,单相智能表,2025-05-02
MTR000378,MP000378,USR00387,TERM00132,单相智能表,2023-11-11
MTR000379,MP000379,USR00261,TERM00085,三相智能表,2024-06-15
MTR000380,MP000380,USR00313,TERM00055,单相智能表,2025-08-17
MTR000381,MP000381,USR00082,TERM00061,三相智能表,2022-12-01
MTR000382,MP000382,USR00443,TERM00205,单相智能表,2024-06-28
MTR000383,MP000383,USR00315,TERM00190,单相智能表,2025-12-19
MTR000384,MP000384,USR00178,TERM00101,单相智能表,2025-12-19
MTR000385,MP000385,USR00362,TERM00061,单相智能表,2024-11-21
MTR000386,MP000386,USR00396,TERM00154,三相智能表,2025-12-24
MTR000387,MP000387,USR00037,TERM00277,单相智能表,2022-03-15
MTR000388,MP000388,USR00050,TERM00202,单相智能表,2026-03-11
MTR000389,MP000389,USR00192,TERM00070,单相智能表,2022-02-10
MTR000390,MP000390,USR00408,TERM00111,单相智能表,2023-08-12
MTR000391,MP000391,USR00285,TERM00173,单相智能表,2022-05-26
MTR000392,MP000392,USR00282,TERM00136,三相智能表,2023-11-06
MTR000393,MP000393,USR00217,TERM00013,三相智能表,2025-07-27
MTR000394,MP000394,USR00290,TERM00167,单相智能表,2026-01-20
MTR000395,MP000395,USR00302,TERM00188,单相智能表,2021-12-14
MTR000396,MP000396,USR00143,TERM00125,单相智能表,2022-12-10
MTR000397,MP000397,USR00112,TERM00098,单相智能表,2024-04-01
MTR000398,MP000398,USR00112,TERM00098,单相智能表,2023-09-30
