user_id,tags
USR00287,光伏户
USR00288,普通户
USR00289,普通户
USR00290,普通户
USR00291,普通户
USR00292,普通户
USR00293,普通户
USR00294,普通户
USR00295,普通户
USR00296,普通户
USR00297,普通户
USR00298,普通户
USR00299,普通户
USR00300,普通户
USR00301,普通户
USR00302,普通户
USR00303,普通户
USR00304,普通户
USR00305,普通户
USR00306,普通户
USR00307,普通户
USR00308,普通户
USR00309,普通户
USR00310,普通户
USR00311,普通户
USR00312,普通户
USR00313,普通户
USR00314,普通户
USR00315,普通户
USR00316,普通户
USR00317,普通户
USR00318,普通户
USR00319,普通户
USR00320,普通户
USR00321,普通户
USR00322,普通户
USR00323,普通户
USR00324,普通户
USR00325,普通户
USR00326,普通户
USR00327,普通户
USR00328,普通户
USR00329,普通户
USR00330,光伏户
USR00331,普通户
USR00332,普通户
USR00333,普通户
USR00334,光伏户
USR00335,普通户
USR00336,普通户
USR00337,普通户
USR00338,普通户
USR00339,普通户
USR00340,普通户
USR00341,普通户
USR00342,普通户
USR00343,普通户
USR00344,普通户
USR00345,普通户
USR00346,普通户
USR00347,普通户
USR00348,普通户
USR00349,普通户
USR00350,普通户
USR00351,普通户
USR00352,普通户
USR00353,光伏户
USR00354,普通户
USR00355,普通户
USR00356,普通户
USR00357,用电异常重点关注
USR00358,普通户
USR00359,普通户
USR00360,普通户
USR00361,普通户
USR00362,普通户
USR00363,普通户
USR00364,普通户
USR00365,普通户
USR00366,普通户
USR00367,普通户
USR00368,普通户
USR00369,普通户
USR00370,普通户
USR00371,普通户
USR00372,普通户
USR00373,普通户
USR00374,普通户
USR00375,普通户
USR00376,普通户
USR00377,普通户
USR00378,负荷管理特护户
USR00379,普通户
USR00380,普通户
USR00381,普通户
USR00382,普通户
USR00383,普通户
USR00384,普通户
USR00385,普通户
USR00386,普通户
USR00387,普通户
USR00388,普通户
USR00389,光伏户
USR00390,普通户
USR00391,普通户
USR00392,普通户
USR00393,普通户
USR00394,普通户
USR00395,负荷管理特护户
USR00396,光伏户
USR00397,普通户
USR00398,普通户
USR00399,普通户
USR00400,普通户
USR00401,普通户
USR00402,普通户
USR00403,普通户
USR00404,普通户
USR00405,普通户
USR00406,普通户
USR00407,普通户
USR00408,普通户
USR00409,普通户
USR00410,普通户
USR00411,普通户
USR00412,普通户
USR00413,普通户
USR00414,普通户
USR00415,普通户
USR00416,普通户
USR00417,普通户
USR00418,普通户
USR00419,普通户
USR00420,普通户
USR00421,普通户
USR00422,普通户
USR00423,普通户
USR00424,普通户
USR00425,普通户
USR00426,普通户
USR00427,普通户
USR00428,普通户
USR00429,普通户
USR00430,普通户
USR00431,普通户
USR00432,普通户
USR00433,普通户
USR00434,普通户
USR00435,普通户
USR00436,普通户
USR00437,普通户
USR00438,普通户
USR00439,普通户
USR00440,普通户
USR00441,普通户
USR00442,普通户
USR00443,普通户
USR00444,普通户
USR00445,普通户
USR00446,普通户
USR00447,普通户
USR00448,光伏户
USR00449,普通户
USR00450,普通户
USR00451,负荷管理特护户
USR00452,普通户
USR00453,普通户
USR00454,普通户
USR00455,普通户
USR00456,普通户
USR00457,普通户
USR00458,普通户
USR00459,普通户
USR00460,光伏户
USR00461,普通户
USR00462,用电异常重点关注
USR00463,普通户
USR00464,普通户
USR00465,光伏户
USR00466,普通户
USR00467,普通户
USR00468,普通户
USR00469,普通户
USR00470,普通户
USR00471,普通户
USR00472,普通户
USR00473,普通户
USR00474,普通户
USR00475,普通户
USR00476,普通户
USR00477,普通户
USR00478,普通户
USR00479,普通户
USR00480,普通户
USR00481,普通户
USR00482,普通户
USR00483,普通户
USR00484,普通户
USR00485,普通户
USR00486,普通户
USR00487,普通户
USR00488,普通户
USR00489,普通户
USR00490,光伏户
USR00491,普通户
USR00492,光伏户
USR00493,普通户
USR00494,普通户
USR00495,普通户
USR00496,普通户
USR00497,普通户
USR00498,用电异常重点关注
USR00499,普通户
USR00500,普通户
