user_id,stat_date,kwh
USR00006,2026-05-06,432.7
USR00006,2026-05-05,458.81
USR00006,2026-05-04,450.87
USR00006,2026-05-03,433.95
USR00006,2026-05-02,376.9
USR00006,2026-05-01,379.53
USR00006,2026-04-30,419.31
USR00006,2026-04-29,444.94
USR00006,2026-04-28,418.23
USR00006,2026-04-27,473.15
USR00006,2026-04-26,432.88
USR00006,2026-04-25,402.34
USR00006,2026-04-24,432.93
USR00006,2026-04-23,455.37
USR00007,2026-05-22,47.52
USR00007,2026-05-21,37.33
USR00007,2026-05-20,39.71
USR00007,2026-05-19,41.71
USR00007,2026-05-18,39.91
USR00007,2026-05-17,38.01
USR00007,2026-05-16,33.81
USR00007,2026-05-15,37.96
USR00007,2026-05-14,35.71
USR00007,2026-05-13,33.1
USR00007,2026-05-12,36.83
USR00007,2026-05-11,35.82
USR00007,2026-05-10,42.34
USR00007,2026-05-09,42.41
USR00007,2026-05-08,36.39
USR00007,2026-05-07,38.97
USR00007,2026-05-06,32.57
USR00007,2026-05-05,38.03
USR00007,2026-05-04,41.6
USR00007,2026-05-03,43.31
USR00007,2026-05-02,37.16
USR00007,2026-05-01,44.22
USR00007,2026-04-30,33.94
USR00007,2026-04-29,35.02
USR00007,2026-04-28,42.85
USR00007,2026-04-27,46.69
USR00007,2026-04-26,41.98
USR00007,2026-04-25,39.85
USR00007,2026-04-24,31.23
USR00007,2026-04-23,31.92
USR00008,2026-05-22,104.24
USR00008,2026-05-21,96.16
USR00008,2026-05-20,108.82
USR00008,2026-05-19,109.36
USR00008,2026-05-18,118.32
USR00008,2026-05-17,109.59
USR00008,2026-05-16,121.39
USR00008,2026-05-15,108.2
USR00008,2026-05-14,106.86
USR00008,2026-05-13,119.62
USR00008,2026-05-12,97.53
USR00008,2026-05-11,138.54
USR00008,2026-05-10,112.17
USR00008,2026-05-09,112.23
USR00008,2026-05-08,113.79
USR00008,2026-05-07,128.41
USR00008,2026-05-06,116.68
USR00008,2026-05-05,90.76
USR00008,2026-05-04,123.28
USR00008,2026-05-03,104.43
USR00008,2026-05-02,109.27
USR00008,2026-05-01,94.28
USR00008,2026-04-30,113.8
USR00008,2026-04-29,101.07
USR00008,2026-04-28,109.19
USR00008,2026-04-27,105.04
USR00008,2026-04-26,128.92
USR00008,2026-04-25,129.54
USR00008,2026-04-24,108.61
USR00008,2026-04-23,108.8
USR00009,2026-05-22,25.27
USR00009,2026-05-21,22.0
USR00009,2026-05-20,21.79
USR00009,2026-05-19,24.98
USR00009,2026-05-18,21.53
USR00009,2026-05-17,22.67
USR00009,2026-05-16,19.15
USR00009,2026-05-15,24.35
USR00009,2026-05-14,27.17
USR00009,2026-05-13,24.39
USR00009,2026-05-12,26.08
USR00009,2026-05-11,20.83
USR00009,2026-05-10,23.29
USR00009,2026-05-09,20.61
USR00009,2026-05-08,22.23
USR00009,2026-05-07,24.51
USR00009,2026-05-06,22.98
USR00009,2026-05-05,19.54
USR00009,2026-05-04,19.76
USR00009,2026-05-03,19.61
USR00009,2026-05-02,23.87
USR00009,2026-05-01,27.45
USR00009,2026-04-30,25.85
USR00009,2026-04-29,18.44
USR00009,2026-04-28,25.98
USR00009,2026-04-27,24.88
USR00009,2026-04-26,19.24
USR00009,2026-04-25,22.06
USR00009,2026-04-24,25.24
USR00009,2026-04-23,24.0
USR00010,2026-05-22,27.5
USR00010,2026-05-21,20.38
USR00010,2026-05-20,25.34
USR00010,2026-05-19,28.87
USR00010,2026-05-18,25.97
USR00010,2026-05-17,24.62
USR00010,2026-05-16,28.22
USR00010,2026-05-15,28.44
USR00010,2026-05-14,29.31
USR00010,2026-05-13,28.18
USR00010,2026-05-12,28.72
USR00010,2026-05-11,27.82
USR00010,2026-05-10,26.61
USR00010,2026-05-09,26.15
USR00010,2026-05-08,25.3
USR00010,2026-05-07,22.78
USR00010,2026-05-06,23.44
USR00010,2026-05-05,25.19
USR00010,2026-05-04,26.54
USR00010,2026-05-03,29.65
USR00010,2026-05-02,25.81
USR00010,2026-05-01,28.52
USR00010,2026-04-30,28.71
USR00010,2026-04-29,25.32
USR00010,2026-04-28,27.46
USR00010,2026-04-27,25.29
USR00010,2026-04-26,29.34
USR00010,2026-04-25,27.57
USR00010,2026-04-24,22.83
USR00010,2026-04-23,26.34
USR00011,2026-05-22,263.04
USR00011,2026-05-21,279.89
USR00011,2026-05-20,282.52
USR00011,2026-05-19,240.13
USR00011,2026-05-18,281.58
USR00011,2026-05-17,230.56
USR00011,2026-05-16,251.14
USR00011,2026-05-15,296.71
USR00011,2026-05-14,277.45
USR00011,2026-05-13,259.74
USR00011,2026-05-12,279.86
USR00011,2026-05-11,266.29
USR00011,2026-05-10,268.23
USR00011,2026-05-09,285.49
USR00011,2026-05-08,248.41
USR00011,2026-05-07,268.98
USR00011,2026-05-06,259.53
USR00011,2026-05-05,225.42
USR00011,2026-05-04,243.24
USR00011,2026-05-03,309.91
USR00011,2026-05-02,278.2
USR00011,2026-05-01,232.44
USR00011,2026-04-30,226.63
USR00011,2026-04-29,264.89
USR00011,2026-04-28,309.72
USR00011,2026-04-27,262.89
USR00011,2026-04-26,302.91
USR00011,2026-04-25,277.32
USR00011,2026-04-24,280.52
USR00011,2026-04-23,232.11
USR00012,2026-05-22,30.78
USR00012,2026-05-21,34.6
USR00012,2026-05-20,29.25
USR00012,2026-05-19,32.41
USR00012,2026-05-18,32.97
USR00012,2026-05-17,31.36
USR00012,2026-05-16,33.14
USR00012,2026-05-15,31.0
USR00012,2026-05-14,29.78
USR00012,2026-05-13,36.96
USR00012,2026-05-12,35.19
USR00012,2026-05-11,29.42
USR00012,2026-05-10,33.66
USR00012,2026-05-09,29.48
USR00012,2026-05-08,28.07
USR00012,2026-05-07,35.14
USR00012,2026-05-06,26.42
USR00012,2026-05-05,34.8
USR00012,2026-05-04,31.04
USR00012,2026-05-03,31.17
USR00012,2026-05-02,33.15
USR00012,2026-05-01,33.7
USR00012,2026-04-30,29.22
USR00012,2026-04-29,34.13
USR00012,2026-04-28,32.21
USR00012,2026-04-27,27.85
USR00012,2026-04-26,31.31
USR00012,2026-04-25,36.25
USR00012,2026-04-24,37.19
USR00012,2026-04-23,34.13
USR00013,2026-05-22,12.68
USR00013,2026-05-21,13.12
USR00013,2026-05-20,12.97
USR00013,2026-05-19,13.04
USR00013,2026-05-18,12.53
USR00013,2026-05-17,12.0
USR00013,2026-05-16,11.35
USR00013,2026-05-15,9.79
USR00013,2026-05-14,12.5
USR00013,2026-05-13,12.31
USR00013,2026-05-12,12.76
USR00013,2026-05-11,10.47
USR00013,2026-05-10,12.87
USR00013,2026-05-09,14.57
USR00013,2026-05-08,12.18
USR00013,2026-05-07,12.01
USR00013,2026-05-06,12.46
USR00013,2026-05-05,14.55
USR00013,2026-05-04,10.85
USR00013,2026-05-03,12.33
USR00013,2026-05-02,11.12
USR00013,2026-05-01,11.43
USR00013,2026-04-30,12.03
USR00013,2026-04-29,13.72
USR00013,2026-04-28,14.27
USR00013,2026-04-27,12.63
USR00013,2026-04-26,11.63
USR00013,2026-04-25,15.1
USR00013,2026-04-24,11.57
USR00013,2026-04-23,11.4
USR00014,2026-05-22,306.75
USR00014,2026-05-21,295.23
USR00014,2026-05-20,334.25
USR00014,2026-05-19,231.77
USR00014,2026-05-18,308.42
USR00014,2026-05-17,271.06
USR00014,2026-05-16,290.87
USR00014,2026-05-15,224.82
USR00014,2026-05-14,308.69
USR00014,2026-05-13,290.34
USR00014,2026-05-12,268.12
USR00014,2026-05-11,286.54
USR00014,2026-05-10,248.57
USR00014,2026-05-09,253.57
USR00014,2026-05-08,256.7
USR00014,2026-05-07,219.3
USR00014,2026-05-06,292.37
USR00014,2026-05-05,301.24
USR00014,2026-05-04,250.29
USR00014,2026-05-03,278.54
USR00014,2026-05-02,262.02
USR00014,2026-05-01,278.01
USR00014,2026-04-30,252.28
USR00014,2026-04-29,245.39
USR00014,2026-04-28,297.49
USR00014,2026-04-27,267.45
USR00014,2026-04-26,323.6
USR00014,2026-04-25,270.42
USR00014,2026-04-24,244.24
USR00014,2026-04-23,302.2
USR00015,2026-05-22,406.14
USR00015,2026-05-21,423.7
USR00015,2026-05-20,353.9
USR00015,2026-05-19,373.8
USR00015,2026-05-18,372.13
USR00015,2026-05-17,329.75
USR00015,2026-05-16,368.64
USR00015,2026-05-15,429.22
USR00015,2026-05-14,387.61
USR00015,2026-05-13,327.66
USR00015,2026-05-12,319.71
USR00015,2026-05-11,441.65
USR00015,2026-05-10,375.2
USR00015,2026-05-09,354.11
USR00015,2026-05-08,368.25
USR00015,2026-05-07,322.69
USR00015,2026-05-06,432.5
USR00015,2026-05-05,363.74
USR00015,2026-05-04,430.39
USR00015,2026-05-03,380.58
USR00015,2026-05-02,432.74
USR00015,2026-05-01,388.34
USR00015,2026-04-30,410.92
USR00015,2026-04-29,405.85
USR00015,2026-04-28,402.22
USR00015,2026-04-27,391.79
USR00015,2026-04-26,369.8
USR00015,2026-04-25,451.14
USR00015,2026-04-24,344.28
USR00015,2026-04-23,378.78
USR00016,2026-05-22,45.84
USR00016,2026-05-21,42.17
USR00016,2026-05-20,45.45
USR00016,2026-05-19,43.32
USR00016,2026-05-18,37.1
USR00016,2026-05-17,44.11
USR00016,2026-05-16,39.22
USR00016,2026-05-15,36.42
USR00016,2026-05-14,44.67
USR00016,2026-05-13,46.22
USR00016,2026-05-12,46.39
USR00016,2026-05-11,46.57
USR00016,2026-05-10,35.55
USR00016,2026-05-09,38.07
USR00016,2026-05-08,52.76
USR00016,2026-05-07,39.45
USR00016,2026-05-06,46.76
USR00016,2026-05-05,41.04
USR00016,2026-05-04,44.42
USR00016,2026-05-03,41.28
USR00016,2026-05-02,46.54
USR00016,2026-05-01,44.67
USR00016,2026-04-30,42.09
USR00016,2026-04-29,39.44
USR00016,2026-04-28,45.25
USR00016,2026-04-27,38.72
USR00016,2026-04-26,45.95
USR00016,2026-04-25,55.64
USR00016,2026-04-24,50.02
USR00016,2026-04-23,47.23
USR00017,2026-05-22,30.94
USR00017,2026-05-21,33.31
USR00017,2026-05-20,43.31
USR00017,2026-05-19,35.35
USR00017,2026-05-18,35.7
USR00017,2026-05-17,37.75
USR00017,2026-05-16,34.31
USR00017,2026-05-15,33.68
USR00017,2026-05-14,38.19
USR00017,2026-05-13,34.96
USR00017,2026-05-12,35.54
USR00017,2026-05-11,35.39
USR00017,2026-05-10,40.39
USR00017,2026-05-09,37.49
USR00017,2026-05-08,37.7
USR00017,2026-05-07,40.68
USR00017,2026-05-06,37.84
USR00017,2026-05-05,37.32
USR00017,2026-05-04,40.19
USR00017,2026-05-03,40.95
USR00017,2026-05-02,37.82
USR00017,2026-05-01,38.69
USR00017,2026-04-30,35.38
USR00017,2026-04-29,35.08
USR00017,2026-04-28,41.34
USR00017,2026-04-27,40.09
USR00017,2026-04-26,40.13
USR00017,2026-04-25,39.46
USR00017,2026-04-24,38.56
USR00017,2026-04-23,41.06
USR00018,2026-05-22,43.99
USR00018,2026-05-21,39.91
USR00018,2026-05-20,45.9
USR00018,2026-05-19,41.23
USR00018,2026-05-18,42.86
USR00018,2026-05-17,41.45
USR00018,2026-05-16,41.31
USR00018,2026-05-15,37.35
USR00018,2026-05-14,43.14
USR00018,2026-05-13,51.78
USR00018,2026-05-12,38.8
USR00018,2026-05-11,40.6
USR00018,2026-05-10,38.51
USR00018,2026-05-09,38.34
USR00018,2026-05-08,46.54
USR00018,2026-05-07,37.6
USR00018,2026-05-06,38.4
USR00018,2026-05-05,33.91
USR00018,2026-05-04,37.26
USR00018,2026-05-03,33.43
USR00018,2026-05-02,42.86
USR00018,2026-05-01,51.6
USR00018,2026-04-30,38.83
USR00018,2026-04-29,33.59
USR00018,2026-04-28,43.94
USR00018,2026-04-27,37.38
USR00018,2026-04-26,45.55
USR00018,2026-04-25,39.18
USR00018,2026-04-24,37.77
USR00018,2026-04-23,39.59
USR00019,2026-05-22,349.03
USR00019,2026-05-21,339.41
USR00019,2026-05-20,350.05
USR00019,2026-05-19,311.73
USR00019,2026-05-18,371.33
USR00019,2026-05-17,293.34
USR00019,2026-05-16,341.29
USR00019,2026-05-15,384.27
USR00019,2026-05-14,367.98
USR00019,2026-05-13,378.24
USR00019,2026-05-12,354.83
USR00019,2026-05-11,398.93
USR00019,2026-05-10,390.18
USR00019,2026-05-09,373.09
USR00019,2026-05-08,390.28
USR00019,2026-05-07,383.95
USR00019,2026-05-06,341.46
USR00019,2026-05-05,309.15
USR00019,2026-05-04,372.17
USR00019,2026-05-03,376.66
USR00019,2026-05-02,396.1
USR00019,2026-05-01,323.71
USR00019,2026-04-30,324.78
USR00019,2026-04-29,373.58
USR00019,2026-04-28,354.61
USR00019,2026-04-27,289.8
USR00019,2026-04-26,370.55
USR00019,2026-04-25,290.99
USR00019,2026-04-24,323.39
USR00019,2026-04-23,405.43
USR00020,2026-05-22,6.81
USR00020,2026-05-21,7.5
USR00020,2026-05-20,7.79
USR00020,2026-05-19,9.14
USR00020,2026-05-18,7.37
USR00020,2026-05-17,7.38
USR00020,2026-05-16,8.96
USR00020,2026-05-15,7.46
USR00020,2026-05-14,8.31
USR00020,2026-05-13,6.61
USR00020,2026-05-12,7.62
USR00020,2026-05-11,6.47
USR00020,2026-05-10,6.94
USR00020,2026-05-09,8.4
USR00020,2026-05-08,7.72
USR00020,2026-05-07,7.51
USR00020,2026-05-06,7.17
USR00020,2026-05-05,7.58
USR00020,2026-05-04,7.99
USR00020,2026-05-03,8.52
USR00020,2026-05-02,5.72
USR00020,2026-05-01,7.11
USR00020,2026-04-30,7.88
USR00020,2026-04-29,7.68
USR00020,2026-04-28,8.07
USR00020,2026-04-27,7.96
USR00020,2026-04-26,7.52
USR00020,2026-04-25,7.35
USR00020,2026-04-24,7.56
USR00020,2026-04-23,8.64
USR00021,2026-05-22,413.2
USR00021,2026-05-21,423.43
USR00021,2026-05-20,480.69
USR00021,2026-05-19,403.32
USR00021,2026-05-18,455.68
USR00021,2026-05-17,467.03
USR00021,2026-05-16,413.16
USR00021,2026-05-15,407.05
USR00021,2026-05-14,402.13
USR00021,2026-05-13,405.17
USR00021,2026-05-12,451.33
USR00021,2026-05-11,425.41
USR00021,2026-05-10,425.59
USR00021,2026-05-09,369.02
USR00021,2026-05-08,375.58
USR00021,2026-05-07,504.93
USR00021,2026-05-06,408.41
USR00021,2026-05-05,383.59
USR00021,2026-05-04,475.31
USR00021,2026-05-03,427.53
USR00021,2026-05-02,439.85
USR00021,2026-05-01,410.07
USR00021,2026-04-30,402.56
USR00021,2026-04-29,408.76
USR00021,2026-04-28,358.31
USR00021,2026-04-27,412.15
USR00021,2026-04-26,428.12
USR00021,2026-04-25,492.75
USR00021,2026-04-24,419.38
USR00021,2026-04-23,318.75
USR00022,2026-05-22,435.81
USR00022,2026-05-21,371.73
USR00022,2026-05-20,314.36
USR00022,2026-05-19,362.32
USR00022,2026-05-18,316.71
USR00022,2026-05-17,295.78
USR00022,2026-05-16,330.18
USR00022,2026-05-15,345.23
USR00022,2026-05-14,278.05
USR00022,2026-05-13,302.78
USR00022,2026-05-12,342.45
USR00022,2026-05-11,328.13
USR00022,2026-05-10,355.6
USR00022,2026-05-09,300.54
USR00022,2026-05-08,366.53
USR00022,2026-05-07,301.6
USR00022,2026-05-06,398.29
USR00022,2026-05-05,283.4
USR00022,2026-05-04,304.72
USR00022,2026-05-03,356.37
USR00022,2026-05-02,399.03
USR00022,2026-05-01,352.87
USR00022,2026-04-30,361.35
USR00022,2026-04-29,342.7
USR00022,2026-04-28,306.98
USR00022,2026-04-27,325.33
USR00022,2026-04-26,300.64
USR00022,2026-04-25,298.35
USR00022,2026-04-24,355.84
USR00022,2026-04-23,303.67
USR00023,2026-05-22,7.72
USR00023,2026-05-21,9.14
USR00023,2026-05-20,8.45
USR00023,2026-05-19,10.13
USR00023,2026-05-18,9.17
USR00023,2026-05-17,9.98
USR00023,2026-05-16,8.21
USR00023,2026-05-15,8.93
USR00023,2026-05-14,8.01
USR00023,2026-05-13,8.51
USR00023,2026-05-12,8.65
USR00023,2026-05-11,8.24
USR00023,2026-05-10,7.8
USR00023,2026-05-09,7.63
USR00023,2026-05-08,6.8
USR00023,2026-05-07,7.94
USR00023,2026-05-06,9.44
USR00023,2026-05-05,7.46
USR00023,2026-05-04,7.67
USR00023,2026-05-03,10.47
USR00023,2026-05-02,8.32
USR00023,2026-05-01,9.17
USR00023,2026-04-30,9.45
USR00023,2026-04-29,9.47
USR00023,2026-04-28,7.53
USR00023,2026-04-27,8.68
USR00023,2026-04-26,7.44
USR00023,2026-04-25,11.05
USR00023,2026-04-24,7.46
USR00023,2026-04-23,7.95
USR00024,2026-05-22,316.53
USR00024,2026-05-21,422.59
USR00024,2026-05-20,462.42
USR00024,2026-05-19,354.54
USR00024,2026-05-18,323.09
USR00024,2026-05-17,288.98
USR00024,2026-05-16,363.16
USR00024,2026-05-15,360.47
USR00024,2026-05-14,348.0
USR00024,2026-05-13,380.49
USR00024,2026-05-12,386.96
USR00024,2026-05-11,384.27
USR00024,2026-05-10,360.48
USR00024,2026-05-09,331.24
USR00024,2026-05-08,397.03
USR00024,2026-05-07,372.71
USR00024,2026-05-06,405.31
USR00024,2026-05-05,401.66
USR00024,2026-05-04,319.32
USR00024,2026-05-03,318.86
USR00024,2026-05-02,344.12
USR00024,2026-05-01,332.93
USR00024,2026-04-30,400.36
USR00024,2026-04-29,385.32
USR00024,2026-04-28,413.16
USR00024,2026-04-27,387.0
USR00024,2026-04-26,380.01
USR00024,2026-04-25,416.9
USR00024,2026-04-24,389.73
USR00024,2026-04-23,374.78
USR00025,2026-05-22,212.19
USR00025,2026-05-21,203.39
USR00025,2026-05-20,192.2
USR00025,2026-05-19,224.52
USR00025,2026-05-18,235.73
USR00025,2026-05-17,208.72
USR00025,2026-05-16,237.21
USR00025,2026-05-15,168.45
USR00025,2026-05-14,208.61
USR00025,2026-05-13,208.94
USR00025,2026-05-12,194.53
USR00025,2026-05-11,259.78
USR00025,2026-05-10,208.39
USR00025,2026-05-09,201.22
USR00025,2026-05-08,210.32
USR00025,2026-05-07,167.76
USR00025,2026-05-06,193.84
USR00025,2026-05-05,230.4
USR00025,2026-05-04,196.58
USR00025,2026-05-03,192.39
USR00025,2026-05-02,237.25
USR00025,2026-05-01,237.89
USR00025,2026-04-30,220.62
USR00025,2026-04-29,200.23
USR00025,2026-04-28,204.75
USR00025,2026-04-27,192.91
USR00025,2026-04-26,188.91
USR00025,2026-04-25,187.87
USR00025,2026-04-24,196.81
USR00025,2026-04-23,188.07
USR00026,2026-05-22,7.87
USR00026,2026-05-21,7.88
USR00026,2026-05-20,9.01
USR00026,2026-05-19,7.19
USR00026,2026-05-18,7.93
USR00026,2026-05-17,7.94
USR00026,2026-05-16,7.51
USR00026,2026-05-15,8.27
USR00026,2026-05-14,8.3
USR00026,2026-05-13,7.95
USR00026,2026-05-12,7.5
USR00026,2026-05-11,7.43
USR00026,2026-05-10,6.65
USR00026,2026-05-09,7.08
USR00026,2026-05-08,7.22
USR00026,2026-05-07,6.84
USR00026,2026-05-06,8.04
USR00026,2026-05-05,8.62
USR00026,2026-05-04,7.0
USR00026,2026-05-03,7.92
USR00026,2026-05-02,6.9
USR00026,2026-05-01,7.47
USR00026,2026-04-30,7.17
USR00026,2026-04-29,8.16
USR00026,2026-04-28,7.18
USR00026,2026-04-27,8.48
USR00026,2026-04-26,7.51
USR00026,2026-04-25,7.2
USR00026,2026-04-24,6.74
USR00026,2026-04-23,7.9
USR00027,2026-05-22,200.79
USR00027,2026-05-21,239.2
USR00027,2026-05-20,223.39
USR00027,2026-05-19,189.43
USR00027,2026-05-18,189.23
USR00027,2026-05-17,204.62
USR00027,2026-05-16,179.06
USR00027,2026-05-15,218.24
USR00027,2026-05-14,202.51
USR00027,2026-05-13,200.46
USR00027,2026-05-12,208.87
USR00027,2026-05-11,229.11
USR00027,2026-05-10,198.78
USR00027,2026-05-09,193.23
USR00027,2026-05-08,224.93
USR00027,2026-05-07,214.35
USR00027,2026-05-06,189.17
USR00027,2026-05-05,195.54
USR00027,2026-05-04,199.26
USR00027,2026-05-03,202.51
USR00027,2026-05-02,168.93
USR00027,2026-05-01,165.3
USR00027,2026-04-30,178.1
USR00027,2026-04-29,176.59
USR00027,2026-04-28,182.86
USR00027,2026-04-27,207.85
USR00027,2026-04-26,192.14
USR00027,2026-04-25,199.28
USR00027,2026-04-24,171.52
USR00027,2026-04-23,186.42
USR00028,2026-05-22,300.31
USR00028,2026-05-21,262.91
USR00028,2026-05-20,288.03
USR00028,2026-05-19,345.77
USR00028,2026-05-18,282.95
USR00028,2026-05-17,263.8
USR00028,2026-05-16,278.52
USR00028,2026-05-15,286.06
USR00028,2026-05-14,279.16
USR00028,2026-05-13,282.56
USR00028,2026-05-12,242.53
USR00028,2026-05-11,256.16
USR00028,2026-05-10,279.21
USR00028,2026-05-09,278.76
USR00028,2026-05-08,267.4
USR00028,2026-05-07,278.43
USR00028,2026-05-06,285.18
USR00028,2026-05-05,308.66
USR00028,2026-05-04,280.63
USR00028,2026-05-03,294.76
USR00028,2026-05-02,268.1
USR00028,2026-05-01,299.66
USR00028,2026-04-30,294.1
USR00028,2026-04-29,307.99
USR00028,2026-04-28,303.67
USR00028,2026-04-27,300.13
USR00028,2026-04-26,280.66
USR00028,2026-04-25,290.39
USR00028,2026-04-24,313.59
USR00028,2026-04-23,264.96
USR00029,2026-05-22,12.17
USR00029,2026-05-21,12.45
USR00029,2026-05-20,10.97
USR00029,2026-05-19,11.86
USR00029,2026-05-18,11.84
USR00029,2026-05-17,9.31
USR00029,2026-05-16,11.69
USR00029,2026-05-15,11.77
USR00029,2026-05-14,11.76
USR00029,2026-05-13,13.65
USR00029,2026-05-12,10.5
USR00029,2026-05-11,10.97
USR00029,2026-05-10,8.83
USR00029,2026-05-09,11.38
USR00029,2026-05-08,11.48
USR00029,2026-05-07,11.34
USR00029,2026-05-06,13.28
USR00029,2026-05-05,12.98
USR00029,2026-05-04,12.05
USR00029,2026-05-03,11.51
USR00029,2026-05-02,13.18
USR00029,2026-05-01,11.93
USR00029,2026-04-30,10.98
USR00029,2026-04-29,9.9
USR00029,2026-04-28,11.43
USR00029,2026-04-27,12.86
USR00029,2026-04-26,14.68
USR00029,2026-04-25,12.03
USR00029,2026-04-24,11.04
USR00029,2026-04-23,10.54
USR00030,2026-05-22,4.84
USR00030,2026-05-21,6.2
USR00030,2026-05-20,6.36
