user_id,event_type,report_mode,task_id
USR00048,掉电,实时,EVT000048
USR00048,开盖,实时,EVT100048
USR00049,掉电,实时,EVT000049
USR00049,开盖,实时,EVT100049
USR00050,掉电,实时,EVT000050
USR00050,开盖,实时,EVT100050
USR00051,掉电,实时,EVT000051
USR00051,开盖,实时,EVT100051
USR00052,掉电,实时,EVT000052
USR00052,开盖,实时,EVT100052
USR00053,掉电,实时,EVT000053
USR00053,开盖,实时,EVT100053
USR00054,掉电,实时,EVT000054
USR00054,开盖,实时,EVT100054
USR00055,掉电,实时,EVT000055
USR00055,开盖,实时,EVT100055
USR00056,掉电,实时,EVT000056
USR00056,开盖,实时,EVT100056
USR00057,掉电,实时,EVT000057
USR00057,开盖,实时,EVT100057
USR00058,掉电,实时,EVT000058
USR00058,开盖,实时,EVT100058
USR00059,掉电,实时,EVT000059
USR00059,开盖,实时,EVT100059
USR00060,掉电,实时,EVT000060
USR00060,开盖,实时,EVT100060
USR00061,掉电,实时,EVT000061
USR00061,开盖,实时,EVT100061
USR00062,掉电,实时,EVT000062
USR00062,开盖,实时,EVT100062
USR00063,掉电,实时,EVT000063
USR00063,开盖,实时,EVT100063
USR00064,掉电,实时,EVT000064
USR00064,开盖,实时,EVT100064
USR00065,掉电,实时,EVT000065
USR00065,开盖,实时,EVT100065
USR00066,掉电,实时,EVT000066
USR00066,开盖,实时,EVT100066
USR00067,掉电,实时,EVT000067
USR00067,开盖,实时,EVT100067
USR00068,掉电,实时,EVT000068
USR00068,开盖,实时,EVT100068
USR00069,掉电,实时,EVT000069
USR00069,开盖,实时,EVT100069
USR00070,掉电,实时,EVT000070
USR00070,开盖,实时,EVT100070
USR00071,掉电,实时,EVT000071
USR00071,开盖,实时,EVT100071
USR00072,掉电,实时,EVT000072
USR00072,开盖,实时,EVT100072
USR00073,掉电,实时,EVT000073
USR00073,开盖,实时,EVT100073
USR00074,掉电,实时,EVT000074
USR00074,开盖,实时,EVT100074
USR00075,掉电,实时,EVT000075
USR00075,开盖,实时,EVT100075
USR00076,掉电,实时,EVT000076
USR00076,开盖,实时,EVT100076
USR00077,掉电,实时,EVT000077
USR00077,开盖,实时,EVT100077
USR00078,掉电,实时,EVT000078
USR00078,开盖,实时,EVT100078
USR00079,掉电,实时,EVT000079
USR00079,开盖,实时,EVT100079
USR00080,掉电,实时,EVT000080
USR00080,开盖,实时,EVT100080
USR00081,掉电,实时,EVT000081
USR00081,开盖,实时,EVT100081
USR00082,掉电,实时,EVT000082
USR00082,开盖,实时,EVT100082
USR00083,掉电,实时,EVT000083
USR00083,开盖,实时,EVT100083
USR00084,掉电,实时,EVT000084
USR00084,开盖,实时,EVT100084
USR00085,掉电,实时,EVT000085
USR00085,开盖,实时,EVT100085
USR00086,掉电,实时,EVT000086
USR00086,开盖,实时,EVT100086
USR00087,掉电,实时,EVT000087
USR00087,开盖,实时,EVT100087
USR00088,掉电,实时,EVT000088
USR00088,开盖,实时,EVT100088
USR00089,掉电,实时,EVT000089
USR00089,开盖,实时,EVT100089
USR00090,掉电,实时,EVT000090
USR00090,开盖,实时,EVT100090
USR00091,掉电,实时,EVT000091
USR00091,开盖,实时,EVT100091
USR00092,掉电,实时,EVT000092
USR00092,开盖,实时,EVT100092
USR00093,掉电,实时,EVT000093
USR00093,开盖,实时,EVT100093
USR00094,掉电,实时,EVT000094
USR00094,开盖,实时,EVT100094
USR00095,掉电,实时,EVT000095
USR00095,开盖,实时,EVT100095
USR00096,掉电,实时,EVT000096
USR00096,开盖,实时,EVT100096
USR00097,掉电,实时,EVT000097
USR00097,开盖,实时,EVT100097
USR00098,掉电,实时,EVT000098
USR00098,开盖,实时,EVT100098
USR00099,掉电,实时,EVT000099
USR00099,开盖,实时,EVT100099
USR00100,掉电,实时,EVT000100
USR00100,开盖,实时,EVT100100
USR00101,掉电,实时,EVT000101
USR00101,开盖,实时,EVT100101
USR00103,掉电,实时,EVT000103
USR00103,开盖,实时,EVT100103
USR00104,掉电,实时,EVT000104
USR00104,开盖,实时,EVT100104
USR00105,掉电,实时,EVT000105
USR00105,开盖,实时,EVT100105
USR00106,掉电,实时,EVT000106
USR00106,开盖,实时,EVT100106
USR00107,掉电,实时,EVT000107
USR00107,开盖,实时,EVT100107
USR00108,掉电,实时,EVT000108
USR00108,开盖,实时,EVT100108
USR00109,掉电,实时,EVT000109
USR00109,开盖,实时,EVT100109
USR00110,掉电,实时,EVT000110
USR00110,开盖,实时,EVT100110
USR00111,掉电,实时,EVT000111
USR00111,开盖,实时,EVT100111
USR00112,掉电,实时,EVT000112
USR00112,开盖,实时,EVT100112
USR00113,掉电,实时,EVT000113
USR00113,开盖,实时,EVT100113
USR00114,掉电,实时,EVT000114
USR00114,开盖,实时,EVT100114
USR00115,掉电,实时,EVT000115
USR00115,开盖,实时,EVT100115
USR00116,掉电,实时,EVT000116
USR00116,开盖,实时,EVT100116
USR00117,掉电,实时,EVT000117
USR00117,开盖,实时,EVT100117
USR00118,掉电,实时,EVT000118
USR00118,开盖,实时,EVT100118
USR00119,掉电,实时,EVT000119
USR00119,开盖,实时,EVT100119
USR00120,掉电,实时,EVT000120
USR00120,开盖,实时,EVT100120
USR00121,掉电,实时,EVT000121
USR00121,开盖,实时,EVT100121
USR00122,掉电,实时,EVT000122
USR00122,开盖,实时,EVT100122
USR00123,掉电,实时,EVT000123
USR00123,开盖,实时,EVT100123
USR00124,掉电,实时,EVT000124
USR00124,开盖,实时,EVT100124
USR00125,掉电,实时,EVT000125
USR00125,开盖,实时,EVT100125
USR00126,掉电,实时,EVT000126
USR00126,开盖,实时,EVT100126
USR00127,掉电,实时,EVT000127
USR00127,开盖,实时,EVT100127
USR00128,掉电,实时,EVT000128
USR00128,开盖,实时,EVT100128
USR00129,掉电,实时,EVT000129
USR00129,开盖,实时,EVT100129
USR00130,掉电,实时,EVT000130
USR00130,开盖,实时,EVT100130
USR00131,掉电,实时,EVT000131
USR00131,开盖,实时,EVT100131
USR00132,掉电,实时,EVT000132
USR00132,开盖,实时,EVT100132
USR00133,掉电,实时,EVT000133
USR00133,开盖,实时,EVT100133
USR00134,掉电,实时,EVT000134
USR00134,开盖,实时,EVT100134
USR00135,掉电,实时,EVT000135
USR00135,开盖,实时,EVT100135
USR00136,掉电,实时,EVT000136
USR00136,开盖,实时,EVT100136
USR00137,掉电,实时,EVT000137
USR00137,开盖,实时,EVT100137
USR00138,掉电,实时,EVT000138
USR00138,开盖,实时,EVT100138
USR00139,掉电,实时,EVT000139
USR00139,开盖,实时,EVT100139
USR00140,掉电,实时,EVT000140
USR00140,开盖,实时,EVT100140
USR00141,掉电,实时,EVT000141
USR00141,开盖,实时,EVT100141
USR00142,掉电,实时,EVT000142
USR00142,开盖,实时,EVT100142
USR00143,掉电,实时,EVT000143
USR00143,开盖,实时,EVT100143
USR00144,掉电,实时,EVT000144
USR00144,开盖,实时,EVT100144
USR00145,掉电,实时,EVT000145
USR00145,开盖,实时,EVT100145
USR00146,掉电,实时,EVT000146
USR00146,开盖,实时,EVT100146
USR00147,掉电,实时,EVT000147
USR00147,开盖,实时,EVT100147
USR00148,掉电,实时,EVT000148
USR00148,开盖,实时,EVT100148
USR00149,掉电,实时,EVT000149
USR00149,开盖,实时,EVT100149
USR00150,掉电,实时,EVT000150
USR00150,开盖,实时,EVT100150
USR00151,掉电,实时,EVT000151
USR00151,开盖,实时,EVT100151
USR00152,掉电,实时,EVT000152
USR00152,开盖,实时,EVT100152
USR00153,掉电,实时,EVT000153
USR00153,开盖,实时,EVT100153
USR00154,掉电,实时,EVT000154
USR00154,开盖,实时,EVT100154
USR00155,掉电,实时,EVT000155
USR00155,开盖,实时,EVT100155
USR00156,掉电,实时,EVT000156
USR00156,开盖,实时,EVT100156
USR00157,掉电,实时,EVT000157
USR00157,开盖,实时,EVT100157
USR00158,掉电,实时,EVT000158
USR00158,开盖,实时,EVT100158
USR00159,掉电,实时,EVT000159
USR00159,开盖,实时,EVT100159
USR00160,掉电,实时,EVT000160
USR00160,开盖,实时,EVT100160
USR00161,掉电,实时,EVT000161
USR00161,开盖,实时,EVT100161
USR00162,掉电,实时,EVT000162
USR00162,开盖,实时,EVT100162
USR00163,掉电,实时,EVT000163
USR00163,开盖,实时,EVT100163
USR00164,掉电,实时,EVT000164
USR00164,开盖,实时,EVT100164
USR00165,掉电,实时,EVT000165
USR00165,开盖,实时,EVT100165
USR00166,掉电,实时,EVT000166
USR00166,开盖,实时,EVT100166
USR00167,掉电,实时,EVT000167
USR00167,开盖,实时,EVT100167
USR00168,掉电,实时,EVT000168
USR00168,开盖,实时,EVT100168
USR00169,掉电,实时,EVT000169
USR00169,开盖,实时,EVT100169
USR00170,掉电,实时,EVT000170
USR00170,开盖,实时,EVT100170
USR00171,掉电,实时,EVT000171
USR00171,开盖,实时,EVT100171
USR00172,掉电,实时,EVT000172
USR00172,开盖,实时,EVT100172
USR00173,掉电,实时,EVT000173
USR00173,开盖,实时,EVT100173
USR00175,掉电,实时,EVT000175
USR00175,开盖,实时,EVT100175
USR00176,掉电,实时,EVT000176
USR00176,开盖,实时,EVT100176
USR00177,掉电,实时,EVT000177
USR00177,开盖,实时,EVT100177
USR00178,掉电,实时,EVT000178
USR00178,开盖,实时,EVT100178
USR00179,掉电,实时,EVT000179
USR00179,开盖,实时,EVT100179
USR00180,掉电,实时,EVT000180
USR00180,开盖,实时,EVT100180
USR00181,掉电,实时,EVT000181
USR00181,开盖,实时,EVT100181
USR00182,掉电,实时,EVT000182
USR00182,开盖,实时,EVT100182
USR00183,掉电,实时,EVT000183
USR00183,开盖,实时,EVT100183
USR00184,掉电,实时,EVT000184
USR00184,开盖,实时,EVT100184
USR00185,掉电,实时,EVT000185
USR00185,开盖,实时,EVT100185
USR00186,掉电,实时,EVT000186
USR00186,开盖,实时,EVT100186
USR00187,掉电,实时,EVT000187
USR00187,开盖,实时,EVT100187
USR00188,掉电,实时,EVT000188
USR00188,开盖,实时,EVT100188
USR00189,掉电,实时,EVT000189
USR00189,开盖,实时,EVT100189
USR00190,掉电,实时,EVT000190
USR00190,开盖,实时,EVT100190
USR00191,掉电,实时,EVT000191
USR00191,开盖,实时,EVT100191
USR00192,掉电,实时,EVT000192
USR00192,开盖,实时,EVT100192
USR00193,掉电,实时,EVT000193
USR00193,开盖,实时,EVT100193
USR00194,掉电,实时,EVT000194
USR00194,开盖,实时,EVT100194
USR00195,掉电,实时,EVT000195
USR00195,开盖,实时,EVT100195
USR00196,掉电,实时,EVT000196
USR00196,开盖,实时,EVT100196
USR00197,掉电,实时,EVT000197
USR00197,开盖,实时,EVT100197
USR00198,掉电,实时,EVT000198
USR00198,开盖,实时,EVT100198
USR00199,掉电,实时,EVT000199
USR00199,开盖,实时,EVT100199
USR00200,掉电,实时,EVT000200
USR00200,开盖,实时,EVT100200
USR00201,掉电,实时,EVT000201
USR00201,开盖,实时,EVT100201
USR00202,掉电,实时,EVT000202
USR00202,开盖,实时,EVT100202
USR00203,掉电,实时,EVT000203
USR00203,开盖,实时,EVT100203
USR00204,掉电,实时,EVT000204
USR00204,开盖,实时,EVT100204
USR00205,掉电,实时,EVT000205
USR00205,开盖,实时,EVT100205
USR00206,掉电,实时,EVT000206
USR00206,开盖,实时,EVT100206
USR00207,掉电,实时,EVT000207
USR00207,开盖,实时,EVT100207
USR00208,掉电,实时,EVT000208
USR00208,开盖,实时,EVT100208
USR00209,掉电,实时,EVT000209
USR00209,开盖,实时,EVT100209
USR00210,掉电,实时,EVT000210
USR00210,开盖,实时,EVT100210
USR00211,掉电,实时,EVT000211
USR00211,开盖,实时,EVT100211
USR00212,掉电,实时,EVT000212
USR00212,开盖,实时,EVT100212
USR00213,掉电,实时,EVT000213
USR00213,开盖,实时,EVT100213
USR00214,掉电,实时,EVT000214
USR00214,开盖,实时,EVT100214
USR00215,掉电,实时,EVT000215
USR00215,开盖,实时,EVT100215
USR00216,掉电,实时,EVT000216
USR00216,开盖,实时,EVT100216
USR00217,掉电,实时,EVT000217
USR00217,开盖,实时,EVT100217
USR00218,掉电,实时,EVT000218
USR00218,开盖,实时,EVT100218
USR00219,掉电,实时,EVT000219
USR00219,开盖,实时,EVT100219
USR00220,掉电,实时,EVT000220
USR00220,开盖,实时,EVT100220
USR00221,掉电,实时,EVT000221
USR00221,开盖,实时,EVT100221
USR00222,掉电,实时,EVT000222
USR00222,开盖,实时,EVT100222
USR00223,掉电,实时,EVT000223
USR00223,开盖,实时,EVT100223
USR00224,掉电,实时,EVT000224
USR00224,开盖,实时,EVT100224
USR00225,掉电,实时,EVT000225
USR00225,开盖,实时,EVT100225
USR00226,掉电,实时,EVT000226
USR00226,开盖,实时,EVT100226
USR00227,掉电,实时,EVT000227
USR00227,开盖,实时,EVT100227
USR00228,掉电,实时,EVT000228
USR00228,开盖,实时,EVT100228
USR00229,掉电,实时,EVT000229
USR00229,开盖,实时,EVT100229
USR00230,掉电,实时,EVT000230
USR00230,开盖,实时,EVT100230
USR00231,掉电,实时,EVT000231
USR00231,开盖,实时,EVT100231
USR00232,掉电,实时,EVT000232
USR00232,开盖,实时,EVT100232
USR00233,掉电,实时,EVT000233
USR00233,开盖,实时,EVT100233
USR00234,掉电,实时,EVT000234
USR00234,开盖,实时,EVT100234
USR00235,掉电,实时,EVT000235
USR00235,开盖,实时,EVT100235
USR00236,掉电,实时,EVT000236
USR00236,开盖,实时,EVT100236
USR00237,掉电,实时,EVT000237
USR00237,开盖,实时,EVT100237
USR00238,掉电,实时,EVT000238
USR00238,开盖,实时,EVT100238
USR00239,掉电,实时,EVT000239
USR00239,开盖,实时,EVT100239
USR00240,掉电,实时,EVT000240
USR00240,开盖,实时,EVT100240
USR00241,掉电,实时,EVT000241
USR00241,开盖,实时,EVT100241
USR00242,掉电,实时,EVT000242
USR00242,开盖,实时,EVT100242
USR00243,掉电,实时,EVT000243
USR00243,开盖,实时,EVT100243
USR00244,掉电,实时,EVT000244
USR00244,开盖,实时,EVT100244
USR00245,掉电,实时,EVT000245
USR00245,开盖,实时,EVT100245
USR00246,掉电,实时,EVT000246
USR00246,开盖,实时,EVT100246
USR00247,掉电,实时,EVT000247
USR00247,开盖,实时,EVT100247
USR00248,掉电,实时,EVT000248
USR00248,开盖,实时,EVT100248
USR00249,掉电,实时,EVT000249
USR00249,开盖,实时,EVT100249
USR00250,掉电,实时,EVT000250
USR00250,开盖,实时,EVT100250
USR00251,掉电,实时,EVT000251
USR00251,开盖,实时,EVT100251
USR00252,掉电,实时,EVT000252
USR00252,开盖,实时,EVT100252
USR00253,掉电,实时,EVT000253
USR00253,开盖,实时,EVT100253
USR00254,掉电,实时,EVT000254
USR00254,开盖,实时,EVT100254
USR00255,掉电,实时,EVT000255
USR00255,开盖,实时,EVT100255
USR00256,掉电,实时,EVT000256
USR00256,开盖,实时,EVT100256
USR00257,掉电,实时,EVT000257
USR00257,开盖,实时,EVT100257
USR00258,掉电,实时,EVT000258
USR00258,开盖,实时,EVT100258
USR00259,掉电,实时,EVT000259
USR00259,开盖,实时,EVT100259
USR00260,掉电,实时,EVT000260
USR00260,开盖,实时,EVT100260
USR00261,掉电,实时,EVT000261
USR00261,开盖,实时,EVT100261
USR00262,掉电,实时,EVT000262
USR00262,开盖,实时,EVT100262
USR00263,掉电,实时,EVT000263
USR00263,开盖,实时,EVT100263
USR00264,掉电,实时,EVT000264
USR00264,开盖,实时,EVT100264
USR00265,掉电,实时,EVT000265
USR00265,开盖,实时,EVT100265
USR00266,掉电,实时,EVT000266
USR00266,开盖,实时,EVT100266
USR00267,掉电,实时,EVT000267
USR00267,开盖,实时,EVT100267
USR00268,掉电,实时,EVT000268
USR00268,开盖,实时,EVT100268
USR00269,掉电,实时,EVT000269
USR00269,开盖,实时,EVT100269
USR00270,掉电,实时,EVT000270
USR00270,开盖,实时,EVT100270
USR00271,掉电,实时,EVT000271
USR00271,开盖,实时,EVT100271
USR00272,掉电,实时,EVT000272
USR00272,开盖,实时,EVT100272
USR00273,掉电,实时,EVT000273
USR00273,开盖,实时,EVT100273
USR00274,掉电,实时,EVT000274
USR00274,开盖,实时,EVT100274
USR00275,掉电,实时,EVT000275
USR00275,开盖,实时,EVT100275
USR00276,掉电,实时,EVT000276
USR00276,开盖,实时,EVT100276
USR00277,掉电,实时,EVT000277
USR00277,开盖,实时,EVT100277
USR00278,掉电,实时,EVT000278
USR00278,开盖,实时,EVT100278
USR00279,掉电,实时,EVT000279
USR00279,开盖,实时,EVT100279
USR00280,掉电,实时,EVT000280
USR00280,开盖,实时,EVT100280
USR00281,掉电,实时,EVT000281
USR00281,开盖,实时,EVT100281
USR00282,掉电,实时,EVT000282
USR00282,开盖,实时,EVT100282
USR00283,掉电,实时,EVT000283
USR00283,开盖,实时,EVT100283
USR00284,掉电,实时,EVT000284
USR00284,开盖,实时,EVT100284
USR00285,掉电,实时,EVT000285
USR00285,开盖,实时,EVT100285
USR00286,掉电,实时,EVT000286
USR00286,开盖,实时,EVT100286
USR00287,掉电,实时,EVT000287
USR00287,开盖,实时,EVT100287
USR00288,掉电,实时,EVT000288
USR00288,开盖,实时,EVT100288
USR00289,掉电,实时,EVT000289
USR00289,开盖,实时,EVT100289
USR00290,掉电,实时,EVT000290
USR00290,开盖,实时,EVT100290
USR00291,掉电,实时,EVT000291
USR00291,开盖,实时,EVT100291
USR00292,掉电,实时,EVT000292
USR00292,开盖,实时,EVT100292
USR00293,掉电,实时,EVT000293
USR00293,开盖,实时,EVT100293
USR00294,掉电,实时,EVT000294
USR00294,开盖,实时,EVT100294
USR00295,掉电,实时,EVT000295
USR00295,开盖,实时,EVT100295
USR00296,掉电,实时,EVT000296
USR00296,开盖,实时,EVT100296
USR00297,掉电,实时,EVT000297
USR00297,开盖,实时,EVT100297
USR00298,掉电,实时,EVT000298
USR00298,开盖,实时,EVT100298
USR00299,掉电,实时,EVT000299
USR00299,开盖,实时,EVT100299
USR00300,掉电,实时,EVT000300
USR00300,开盖,实时,EVT100300
USR00301,掉电,实时,EVT000301
USR00301,开盖,实时,EVT100301
USR00302,掉电,实时,EVT000302
USR00302,开盖,实时,EVT100302
USR00303,掉电,实时,EVT000303
USR00303,开盖,实时,EVT100303
USR00304,掉电,实时,EVT000304
USR00304,开盖,实时,EVT100304
USR00305,掉电,实时,EVT000305
USR00305,开盖,实时,EVT100305
USR00306,掉电,实时,EVT000306
USR00306,开盖,实时,EVT100306
USR00307,掉电,实时,EVT000307
USR00307,开盖,实时,EVT100307
USR00308,掉电,实时,EVT000308
USR00308,开盖,实时,EVT100308
USR00309,掉电,实时,EVT000309
USR00309,开盖,实时,EVT100309
USR00310,掉电,实时,EVT000310
USR00310,开盖,实时,EVT100310
USR00311,掉电,实时,EVT000311
USR00311,开盖,实时,EVT100311
USR00312,掉电,实时,EVT000312
USR00312,开盖,实时,EVT100312
USR00313,掉电,实时,EVT000313
USR00313,开盖,实时,EVT100313
USR00314,掉电,实时,EVT000314
USR00314,开盖,实时,EVT100314
USR00315,掉电,实时,EVT000315
USR00315,开盖,实时,EVT100315
USR00316,掉电,实时,EVT000316
USR00316,开盖,实时,EVT100316
USR00317,掉电,实时,EVT000317
USR00317,开盖,实时,EVT100317
USR00318,掉电,实时,EVT000318
USR00318,开盖,实时,EVT100318
USR00319,掉电,实时,EVT000319
USR00319,开盖,实时,EVT100319
USR00320,掉电,实时,EVT000320
USR00320,开盖,实时,EVT100320
USR00321,掉电,实时,EVT000321
USR00321,开盖,实时,EVT100321
USR00322,掉电,实时,EVT000322
USR00322,开盖,实时,EVT100322
USR00323,掉电,实时,EVT000323
USR00323,开盖,实时,EVT100323
USR00324,掉电,实时,EVT000324
USR00324,开盖,实时,EVT100324
USR00325,掉电,实时,EVT000325
USR00325,开盖,实时,EVT100325
USR00326,掉电,实时,EVT000326
USR00326,开盖,实时,EVT100326
USR00327,掉电,实时,EVT000327
USR00327,开盖,实时,EVT100327
USR00328,掉电,实时,EVT000328
USR00328,开盖,实时,EVT100328
USR00329,掉电,实时,EVT000329
USR00329,开盖,实时,EVT100329
USR00330,掉电,实时,EVT000330
USR00330,开盖,实时,EVT100330
USR00331,掉电,实时,EVT000331
USR00331,开盖,实时,EVT100331
USR00332,掉电,实时,EVT000332
USR00332,开盖,实时,EVT100332
USR00333,掉电,实时,EVT000333
USR00333,开盖,实时,EVT100333
USR00336,掉电,实时,EVT000336
USR00336,开盖,实时,EVT100336
USR00338,掉电,实时,EVT000338
USR00338,开盖,实时,EVT100338
USR00339,掉电,实时,EVT000339
USR00339,开盖,实时,EVT100339
USR00340,掉电,实时,EVT000340
USR00340,开盖,实时,EVT100340
USR00341,掉电,实时,EVT000341
USR00341,开盖,实时,EVT100341
USR00342,掉电,实时,EVT000342
USR00342,开盖,实时,EVT100342
USR00343,掉电,实时,EVT000343
USR00343,开盖,实时,EVT100343
USR00344,掉电,实时,EVT000344
USR00344,开盖,实时,EVT100344
USR00345,掉电,实时,EVT000345
USR00345,开盖,实时,EVT100345
USR00346,掉电,实时,EVT000346
USR00346,开盖,实时,EVT100346
USR00347,掉电,实时,EVT000347
USR00347,开盖,实时,EVT100347
USR00348,掉电,实时,EVT000348
USR00348,开盖,实时,EVT100348
USR00349,掉电,实时,EVT000349
USR00349,开盖,实时,EVT100349
USR00350,掉电,实时,EVT000350
USR00350,开盖,实时,EVT100350
USR00351,掉电,实时,EVT000351
USR00351,开盖,实时,EVT100351
USR00352,掉电,实时,EVT000352
USR00352,开盖,实时,EVT100352
USR00353,掉电,实时,EVT000353
USR00353,开盖,实时,EVT100353
USR00354,掉电,实时,EVT000354
USR00354,开盖,实时,EVT100354
USR00355,掉电,实时,EVT000355
USR00355,开盖,实时,EVT100355
USR00356,掉电,实时,EVT000356
USR00356,开盖,实时,EVT100356
USR00357,掉电,实时,EVT000357
USR00357,开盖,实时,EVT100357
USR00358,掉电,实时,EVT000358
USR00358,开盖,实时,EVT100358
USR00359,掉电,实时,EVT000359
USR00359,开盖,实时,EVT100359
USR00360,掉电,实时,EVT000360
USR00360,开盖,实时,EVT100360
USR00361,掉电,实时,EVT000361
USR00361,开盖,实时,EVT100361
USR00362,掉电,实时,EVT000362
USR00362,开盖,实时,EVT100362
USR00363,掉电,实时,EVT000363
USR00363,开盖,实时,EVT100363
USR00364,掉电,实时,EVT000364
USR00364,开盖,实时,EVT100364
USR00365,掉电,实时,EVT000365
USR00365,开盖,实时,EVT100365
USR00366,掉电,实时,EVT000366
USR00366,开盖,实时,EVT100366
USR00367,掉电,实时,EVT000367
USR00367,开盖,实时,EVT100367
USR00368,掉电,实时,EVT000368
USR00368,开盖,实时,EVT100368
USR00369,掉电,实时,EVT000369
USR00369,开盖,实时,EVT100369
USR00370,掉电,实时,EVT000370
USR00370,开盖,实时,EVT100370
USR00371,掉电,实时,EVT000371
USR00371,开盖,实时,EVT100371
USR00372,掉电,实时,EVT000372
USR00372,开盖,实时,EVT100372
USR00373,掉电,实时,EVT000373
USR00373,开盖,实时,EVT100373
USR00374,掉电,实时,EVT000374
USR00374,开盖,实时,EVT100374
USR00375,掉电,实时,EVT000375
USR00375,开盖,实时,EVT100375
USR00376,掉电,实时,EVT000376
USR00376,开盖,实时,EVT100376
USR00377,掉电,实时,EVT000377
USR00377,开盖,实时,EVT100377
USR00378,掉电,实时,EVT000378
USR00378,开盖,实时,EVT100378
USR00379,掉电,实时,EVT000379
USR00379,开盖,实时,EVT100379
USR00380,掉电,实时,EVT000380
USR00380,开盖,实时,EVT100380
USR00381,掉电,实时,EVT000381
USR00381,开盖,实时,EVT100381
USR00382,掉电,实时,EVT000382
USR00382,开盖,实时,EVT100382
USR00383,掉电,实时,EVT000383
USR00383,开盖,实时,EVT100383
USR00384,掉电,实时,EVT000384
USR00384,开盖,实时,EVT100384
USR00385,掉电,实时,EVT000385
USR00385,开盖,实时,EVT100385
USR00386,掉电,实时,EVT000386
USR00386,开盖,实时,EVT100386
USR00387,掉电,实时,EVT000387
USR00387,开盖,实时,EVT100387
USR00388,掉电,实时,EVT000388
USR00388,开盖,实时,EVT100388
USR00389,掉电,实时,EVT000389
USR00389,开盖,实时,EVT100389
USR00390,掉电,实时,EVT000390
USR00390,开盖,实时,EVT100390
USR00391,掉电,实时,EVT000391
USR00391,开盖,实时,EVT100391
USR00392,掉电,实时,EVT000392
USR00392,开盖,实时,EVT100392
USR00393,掉电,实时,EVT000393
