terminal_id,terminal_addr,area_id,term_type,channel,install_date,scenario_seed
TERM00046,ADDR1046,AREA0022,II型集中器,GPRS,2025-11-04,
TERM00047,ADDR1047,AREA0007,专变终端,GPRS,2026-02-24,
TERM00048,ADDR1048,AREA0006,II型集中器,GPRS,2025-09-14,
TERM00049,ADDR1049,AREA0025,I型集中器,4G,2022-10-08,
TERM00050,ADDR1050,AREA0007,I型集中器,4G,2022-01-04,
TERM00051,ADDR1051,AREA0023,II型集中器,光纤,2023-11-08,
TERM00052,ADDR1052,AREA0023,I型集中器,GPRS,2023-11-06,
TERM00053,ADDR1053,AREA0039,I型集中器,GPRS,2026-03-21,
TERM00054,ADDR1054,AREA0017,I型集中器,4G,2022-12-23,
TERM00055,ADDR1055,AREA0003,I型集中器,4G,2024-04-04,
TERM00056,ADDR1056,AREA0047,II型集中器,4G,2025-04-29,
TERM00057,ADDR1057,AREA0030,II型集中器,GPRS,2024-03-05,
TERM00058,ADDR1058,AREA0035,专变终端,4G,2025-09-12,
TERM00059,ADDR1059,AREA0008,I型集中器,4G,2023-10-23,
TERM00060,ADDR1060,AREA0025,专变终端,GPRS,2023-01-19,
TERM00061,ADDR1061,AREA0006,专变终端,GPRS,2023-05-17,
TERM00062,ADDR1062,AREA0036,I型集中器,GPRS,2023-07-31,
TERM00063,ADDR1063,AREA0019,I型集中器,4G,2026-04-11,
TERM00064,ADDR1064,AREA0041,I型集中器,光纤,2021-07-23,
TERM00065,ADDR1065,AREA0040,II型集中器,4G,2023-03-11,
TERM00066,ADDR1066,AREA0024,I型集中器,GPRS,2022-06-14,
TERM00067,ADDR1067,AREA0037,II型集中器,4G,2024-01-12,
TERM00068,ADDR1068,AREA0013,I型集中器,4G,2025-03-01,
TERM00069,ADDR1069,AREA0046,II型集中器,4G,2024-11-18,
TERM00070,ADDR1070,AREA0005,I型集中器,4G,2024-04-12,
TERM00071,ADDR1071,AREA0003,I型集中器,4G,2024-12-17,
TERM00072,ADDR1072,AREA0043,I型集中器,GPRS,2024-01-29,
TERM00073,ADDR1073,AREA0015,II型集中器,4G,2021-08-05,
TERM00074,ADDR1074,AREA0050,I型集中器,4G,2025-10-16,
TERM00075,ADDR1075,AREA0019,I型集中器,4G,2024-09-27,
TERM00076,ADDR1076,AREA0006,I型集中器,光纤,2024-10-12,
TERM00077,ADDR1077,AREA0015,I型集中器,GPRS,2023-06-21,
TERM00078,ADDR1078,AREA0007,I型集中器,GPRS,2025-07-21,
TERM00079,ADDR1079,AREA0025,I型集中器,GPRS,2022-03-23,
TERM00080,ADDR1080,AREA0018,I型集中器,4G,2026-01-17,
TERM00081,ADDR1081,AREA0030,I型集中器,4G,2021-06-20,
TERM00082,ADDR1082,AREA0041,II型集中器,4G,2023-10-30,
TERM00083,ADDR1083,AREA0024,I型集中器,GPRS,2021-12-09,
TERM00084,ADDR1084,AREA0011,I型集中器,4G,2025-02-22,
TERM00085,ADDR1085,AREA0024,I型集中器,GPRS,2026-04-10,
TERM00086,ADDR1086,AREA0023,I型集中器,GPRS,2024-06-21,
TERM00087,ADDR1087,AREA0014,II型集中器,GPRS,2024-04-27,
TERM00088,ADDR1088,AREA0043,I型集中器,4G,2021-10-05,
TERM00089,ADDR1089,AREA0018,专变终端,光纤,2024-09-24,
TERM00090,ADDR1090,AREA0045,II型集中器,4G,2022-05-14,
TERM00091,ADDR1091,AREA0044,II型集中器,GPRS,2022-04-01,
TERM00092,ADDR1092,AREA0042,I型集中器,4G,2023-09-03,
TERM00093,ADDR1093,AREA0005,I型集中器,4G,2022-12-08,
TERM00094,ADDR1094,AREA0039,I型集中器,GPRS,2023-03-01,
TERM00095,ADDR1095,AREA0041,I型集中器,4G,2023-05-04,
TERM00096,ADDR1096,AREA0011,I型集中器,4G,2025-03-01,
TERM00097,ADDR1097,AREA0035,I型集中器,4G,2025-05-29,
TERM00098,ADDR1098,AREA0047,I型集中器,光纤,2022-12-09,
TERM00099,ADDR1099,AREA0016,专变终端,4G,2022-07-10,
TERM00100,ADDR1100,AREA0011,I型集中器,4G,2024-09-10,
TERM00101,ADDR1101,AREA0030,I型集中器,4G,2023-08-04,
TERM00102,ADDR1102,AREA0025,I型集中器,GPRS,2023-09-09,
TERM00103,ADDR1103,AREA0018,II型集中器,GPRS,2023-05-16,
TERM00104,ADDR1104,AREA0041,II型集中器,GPRS,2022-11-22,
TERM00105,ADDR1105,AREA0045,I型集中器,GPRS,2023-04-02,
TERM00106,ADDR1106,AREA0036,I型集中器,光纤,2022-09-28,
TERM00107,ADDR1107,AREA0015,I型集中器,光纤,2025-06-22,
TERM00108,ADDR1108,AREA0044,I型集中器,4G,2022-05-16,
TERM00109,ADDR1109,AREA0021,II型集中器,光纤,2025-11-12,
TERM00110,ADDR1110,AREA0050,I型集中器,GPRS,2025-01-23,
TERM00111,ADDR1111,AREA0050,I型集中器,GPRS,2025-09-02,
TERM00112,ADDR1112,AREA0004,I型集中器,4G,2023-07-13,
TERM00113,ADDR1113,AREA0015,I型集中器,4G,2021-10-14,
TERM00114,ADDR1114,AREA0003,I型集中器,4G,2022-05-19,
TERM00115,ADDR1115,AREA0021,专变终端,GPRS,2022-06-12,
TERM00116,ADDR1116,AREA0026,I型集中器,4G,2025-09-24,
TERM00117,ADDR1117,AREA0018,I型集中器,4G,2025-04-14,
TERM00118,ADDR1118,AREA0005,I型集中器,4G,2023-01-04,
TERM00119,ADDR1119,AREA0014,II型集中器,GPRS,2022-05-26,
TERM00120,ADDR1120,AREA0037,I型集中器,GPRS,2024-07-08,
TERM00121,ADDR1121,AREA0046,I型集中器,光纤,2023-07-31,
TERM00122,ADDR1122,AREA0021,I型集中器,4G,2024-02-26,
TERM00123,ADDR1123,AREA0014,I型集中器,光纤,2024-07-14,
TERM00124,ADDR1124,AREA0042,I型集中器,4G,2022-06-22,
TERM00125,ADDR1125,AREA0032,专变终端,4G,2022-02-23,
TERM00126,ADDR1126,AREA0026,I型集中器,4G,2021-08-19,
TERM00127,ADDR1127,AREA0042,I型集中器,GPRS,2023-12-16,
TERM00128,ADDR1128,AREA0030,I型集中器,GPRS,2023-06-02,
TERM00129,ADDR1129,AREA0010,I型集中器,4G,2024-03-09,
TERM00130,ADDR1130,AREA0017,I型集中器,4G,2024-11-08,
TERM00131,ADDR1131,AREA0009,I型集中器,光纤,2022-09-05,
TERM00132,ADDR1132,AREA0016,I型集中器,光纤,2022-06-20,
TERM00133,ADDR1133,AREA0048,II型集中器,GPRS,2022-06-26,
TERM00134,ADDR1134,AREA0036,I型集中器,光纤,2022-03-12,
TERM00135,ADDR1135,AREA0035,I型集中器,4G,2023-03-31,
TERM00136,ADDR1136,AREA0017,II型集中器,GPRS,2025-11-11,
TERM00137,ADDR1137,AREA0048,I型集中器,GPRS,2022-02-09,
TERM00138,ADDR1138,AREA0038,I型集中器,光纤,2022-06-28,
TERM00139,ADDR1139,AREA0028,I型集中器,GPRS,2026-04-13,
TERM00140,ADDR1140,AREA0038,I型集中器,4G,2026-04-13,
TERM00141,ADDR1141,AREA0026,II型集中器,GPRS,2024-11-22,
TERM00142,ADDR1142,AREA0024,I型集中器,4G,2022-02-18,
TERM00143,ADDR1143,AREA0015,专变终端,4G,2022-02-24,
TERM00144,ADDR1144,AREA0009,II型集中器,GPRS,2022-11-16,
TERM00145,ADDR1145,AREA0033,I型集中器,GPRS,2022-11-18,
TERM00146,ADDR1146,AREA0032,II型集中器,4G,2023-10-30,
TERM00147,ADDR1147,AREA0006,II型集中器,GPRS,2022-04-24,
TERM00148,ADDR1148,AREA0049,I型集中器,GPRS,2022-09-12,
TERM00149,ADDR1149,AREA0004,II型集中器,光纤,2022-08-16,
TERM00150,ADDR1150,AREA0008,I型集中器,4G,2023-04-21,
TERM00151,ADDR1151,AREA0010,I型集中器,4G,2024-01-20,
TERM00152,ADDR1152,AREA0041,I型集中器,GPRS,2022-10-27,
TERM00153,ADDR1153,AREA0011,I型集中器,光纤,2023-05-26,SC-07
TERM00154,ADDR1154,AREA0044,II型集中器,4G,2024-01-20,
TERM00155,ADDR1155,AREA0028,I型集中器,GPRS,2025-02-01,
TERM00156,ADDR1156,AREA0039,I型集中器,4G,2021-08-28,
TERM00157,ADDR1157,AREA0005,I型集中器,4G,2024-02-18,
TERM00158,ADDR1158,AREA0025,I型集中器,4G,2021-09-07,
TERM00159,ADDR1159,AREA0025,I型集中器,4G,2025-09-02,
TERM00160,ADDR1160,AREA0039,I型集中器,GPRS,2025-09-21,
TERM00161,ADDR1161,AREA0030,I型集中器,4G,2022-06-12,
TERM00162,ADDR1162,AREA0034,I型集中器,4G,2023-04-22,
TERM00163,ADDR1163,AREA0017,I型集中器,GPRS,2021-08-23,
TERM00164,ADDR1164,AREA0036,I型集中器,GPRS,2023-06-01,
TERM00165,ADDR1165,AREA0001,I型集中器,4G,2025-07-31,
TERM00166,ADDR1166,AREA0044,I型集中器,4G,2025-03-14,
TERM00167,ADDR1167,AREA0047,II型集中器,4G,2023-06-04,
TERM00168,ADDR1168,AREA0008,I型集中器,4G,2023-02-06,
TERM00169,ADDR1169,AREA0044,I型集中器,4G,2023-09-15,
TERM00170,ADDR1170,AREA0035,I型集中器,4G,2023-03-26,
TERM00171,ADDR1171,AREA0049,II型集中器,4G,2025-09-04,
TERM00172,ADDR1172,AREA0018,I型集中器,4G,2021-10-12,
TERM00173,ADDR1173,AREA0050,II型集中器,4G,2023-10-03,
TERM00174,ADDR1174,AREA0042,I型集中器,GPRS,2022-03-11,
TERM00175,ADDR1175,AREA0022,I型集中器,4G,2022-04-08,
TERM00176,ADDR1176,AREA0008,I型集中器,4G,2026-01-13,
TERM00177,ADDR1177,AREA0019,I型集中器,4G,2025-12-24,
TERM00178,ADDR1178,AREA0028,I型集中器,4G,2022-08-28,
TERM00179,ADDR1179,AREA0011,II型集中器,4G,2022-10-28,
TERM00180,ADDR1180,AREA0030,I型集中器,GPRS,2025-07-21,
TERM00181,ADDR1181,AREA0001,I型集中器,光纤,2025-12-06,
TERM00182,ADDR1182,AREA0047,II型集中器,4G,2021-06-01,
TERM00183,ADDR1183,AREA0047,I型集中器,4G,2022-08-10,
TERM00184,ADDR1184,AREA0017,I型集中器,GPRS,2024-05-26,
TERM00185,ADDR1185,AREA0033,I型集中器,4G,2024-01-06,
TERM00186,ADDR1186,AREA0049,I型集中器,4G,2025-07-03,
TERM00187,ADDR1187,AREA0012,专变终端,4G,2025-04-28,
TERM00188,ADDR1188,AREA0033,专变终端,GPRS,2022-03-08,
TERM00189,ADDR1189,AREA0007,I型集中器,4G,2024-09-10,
TERM00190,ADDR1190,AREA0041,II型集中器,4G,2025-11-30,
TERM00191,ADDR1191,AREA0020,I型集中器,GPRS,2024-10-20,
TERM00192,ADDR1192,AREA0041,专变终端,GPRS,2025-06-02,
TERM00193,ADDR1193,AREA0033,I型集中器,GPRS,2025-05-09,
TERM00194,ADDR1194,AREA0039,I型集中器,4G,2023-11-25,
TERM00195,ADDR1195,AREA0013,I型集中器,GPRS,2022-03-06,
TERM00196,ADDR1196,AREA0010,I型集中器,4G,2022-02-28,
TERM00197,ADDR1197,AREA0024,I型集中器,4G,2023-04-17,SC-08
TERM00198,ADDR1198,AREA0049,I型集中器,4G,2026-01-08,
TERM00199,ADDR1199,AREA0011,I型集中器,4G,2024-09-05,
TERM00200,ADDR1200,AREA0035,II型集中器,4G,2023-12-08,
TERM00201,ADDR1201,AREA0050,I型集中器,光纤,2024-10-22,
TERM00202,ADDR1202,AREA0034,II型集中器,4G,2023-06-04,
TERM00203,ADDR1203,AREA0001,I型集中器,4G,2023-10-07,
TERM00204,ADDR1204,AREA0039,I型集中器,光纤,2025-10-16,SC-07
TERM00205,ADDR1205,AREA0021,I型集中器,GPRS,2026-04-07,
TERM00206,ADDR1206,AREA0032,I型集中器,GPRS,2024-08-22,
TERM00207,ADDR1207,AREA0002,专变终端,4G,2024-03-29,
TERM00208,ADDR1208,AREA0008,I型集中器,GPRS,2024-10-17,
TERM00209,ADDR1209,AREA0024,I型集中器,4G,2023-09-22,
TERM00210,ADDR1210,AREA0020,专变终端,4G,2023-03-12,
TERM00211,ADDR1211,AREA0016,I型集中器,4G,2023-02-09,
TERM00212,ADDR1212,AREA0004,II型集中器,光纤,2021-11-13,
TERM00213,ADDR1213,AREA0016,II型集中器,4G,2025-12-10,
TERM00214,ADDR1214,AREA0037,II型集中器,4G,2025-09-30,
TERM00215,ADDR1215,AREA0006,I型集中器,4G,2024-04-04,
TERM00216,ADDR1216,AREA0006,专变终端,GPRS,2021-07-17,
TERM00217,ADDR1217,AREA0047,II型集中器,4G,2023-03-06,
TERM00218,ADDR1218,AREA0032,I型集中器,GPRS,2024-08-09,
TERM00219,ADDR1219,AREA0005,II型集中器,4G,2022-01-03,
TERM00220,ADDR1220,AREA0049,I型集中器,光纤,2021-06-18,
TERM00221,ADDR1221,AREA0035,I型集中器,4G,2023-02-11,
TERM00222,ADDR1222,AREA0050,I型集中器,4G,2025-11-21,
TERM00223,ADDR1223,AREA0009,专变终端,4G,2025-02-19,
TERM00224,ADDR1224,AREA0009,I型集中器,GPRS,2026-02-15,
TERM00225,ADDR1225,AREA0043,I型集中器,4G,2022-07-23,
TERM00226,ADDR1226,AREA0031,II型集中器,4G,2022-10-20,
TERM00227,ADDR1227,AREA0036,II型集中器,4G,2024-06-06,SC-08
TERM00228,ADDR1228,AREA0011,I型集中器,4G,2026-01-25,
TERM00229,ADDR1229,AREA0017,II型集中器,GPRS,2021-08-18,
TERM00230,ADDR1230,AREA0034,I型集中器,GPRS,2023-10-12,
TERM00231,ADDR1231,AREA0039,I型集中器,4G,2023-04-22,
TERM00232,ADDR1232,AREA0028,I型集中器,4G,2023-01-03,
TERM00233,ADDR1233,AREA0014,I型集中器,4G,2021-11-14,
TERM00234,ADDR1234,AREA0035,I型集中器,4G,2024-11-02,SC-08
TERM00235,ADDR1235,AREA0049,I型集中器,4G,2022-01-18,
TERM00236,ADDR1236,AREA0047,I型集中器,4G,2025-05-21,
TERM00237,ADDR1237,AREA0045,II型集中器,4G,2023-09-08,
TERM00238,ADDR1238,AREA0013,I型集中器,4G,2021-05-26,
TERM00239,ADDR1239,AREA0046,I型集中器,4G,2025-05-22,
TERM00240,ADDR1240,AREA0020,II型集中器,4G,2021-05-28,
TERM00241,ADDR1241,AREA0026,I型集中器,光纤,2025-03-25,
TERM00242,ADDR1242,AREA0043,I型集中器,4G,2023-11-13,
TERM00243,ADDR1243,AREA0042,I型集中器,GPRS,2023-08-01,
TERM00244,ADDR1244,AREA0024,I型集中器,4G,2026-03-22,
TERM00245,ADDR1245,AREA0029,I型集中器,4G,2021-12-12,
TERM00246,ADDR1246,AREA0034,II型集中器,4G,2021-08-05,
TERM00247,ADDR1247,AREA0029,I型集中器,4G,2024-05-29,
TERM00248,ADDR1248,AREA0008,I型集中器,光纤,2025-02-25,
TERM00249,ADDR1249,AREA0016,I型集中器,4G,2025-03-31,
TERM00250,ADDR1250,AREA0015,I型集中器,GPRS,2023-05-28,
TERM00251,ADDR1251,AREA0005,I型集中器,4G,2025-06-08,
TERM00252,ADDR1252,AREA0022,II型集中器,GPRS,2025-07-17,
TERM00253,ADDR1253,AREA0002,I型集中器,4G,2023-06-07,
TERM00254,ADDR1254,AREA0038,I型集中器,4G,2022-06-16,
TERM00255,ADDR1255,AREA0036,专变终端,4G,2025-01-19,
TERM00256,ADDR1256,AREA0015,专变终端,4G,2022-04-21,
TERM00257,ADDR1257,AREA0038,I型集中器,4G,2024-09-26,
TERM00258,ADDR1258,AREA0015,I型集中器,光纤,2025-10-22,
TERM00259,ADDR1259,AREA0001,I型集中器,4G,2025-08-15,
TERM00260,ADDR1260,AREA0005,专变终端,GPRS,2026-02-17,
TERM00261,ADDR1261,AREA0046,I型集中器,GPRS,2023-07-01,
TERM00262,ADDR1262,AREA0041,I型集中器,4G,2025-12-26,
TERM00263,ADDR1263,AREA0004,I型集中器,GPRS,2022-02-13,
TERM00264,ADDR1264,AREA0015,I型集中器,GPRS,2025-10-04,
TERM00265,ADDR1265,AREA0005,I型集中器,GPRS,2021-07-04,
TERM00266,ADDR1266,AREA0003,I型集中器,4G,2024-10-27,
TERM00267,ADDR1267,AREA0022,I型集中器,GPRS,2024-04-08,SC-07
TERM00268,ADDR1268,AREA0005,I型集中器,4G,2022-01-25,
TERM00269,ADDR1269,AREA0033,I型集中器,4G,2024-04-16,
TERM00270,ADDR1270,AREA0016,II型集中器,4G,2024-03-09,
TERM00271,ADDR1271,AREA0018,I型集中器,4G,2023-05-16,
TERM00272,ADDR1272,AREA0043,I型集中器,4G,2025-02-11,
TERM00273,ADDR1273,AREA0032,I型集中器,4G,2025-02-03,
TERM00274,ADDR1274,AREA0014,I型集中器,4G,2021-09-25,
TERM00275,ADDR1275,AREA0035,II型集中器,GPRS,2023-05-05,
TERM00276,ADDR1276,AREA0009,I型集中器,光纤,2026-01-27,
TERM00277,ADDR1277,AREA0047,I型集中器,GPRS,2022-04-18,
TERM00278,ADDR1278,AREA0037,I型集中器,4G,2026-02-25,
TERM00279,ADDR1279,AREA0037,I型集中器,4G,2025-03-04,
TERM00280,ADDR1280,AREA0031,II型集中器,GPRS,2023-05-29,
TERM00281,ADDR1281,AREA0016,II型集中器,4G,2024-01-22,
TERM00282,ADDR1282,AREA0031,II型集中器,4G,2025-07-04,
TERM00283,ADDR1283,AREA0027,I型集中器,光纤,2023-07-28,
TERM00284,ADDR1284,AREA0013,I型集中器,光纤,2024-01-28,
TERM00285,ADDR1285,AREA0007,I型集中器,4G,2025-07-30,
TERM00286,ADDR1286,AREA0007,II型集中器,4G,2024-09-28,
TERM00287,ADDR1287,AREA0043,I型集中器,4G,2023-03-08,
TERM00288,ADDR1288,AREA0028,I型集中器,GPRS,2024-09-29,
TERM00289,ADDR1289,AREA0023,I型集中器,GPRS,2022-11-09,
TERM00290,ADDR1290,AREA0028,II型集中器,4G,2025-06-29,
TERM00291,ADDR1291,AREA0027,II型集中器,4G,2025-09-12,
TERM00292,ADDR1292,AREA0030,I型集中器,GPRS,2021-12-07,
TERM00293,ADDR1293,AREA0047,I型集中器,4G,2026-01-04,
TERM00294,ADDR1294,AREA0004,I型集中器,光纤,2025-06-16,
TERM00295,ADDR1295,AREA0044,I型集中器,GPRS,2023-08-03,
TERM00296,ADDR1296,AREA0042,I型集中器,GPRS,2021-06-05,
TERM00297,ADDR1297,AREA0042,II型集中器,4G,2024-04-07,
TERM00298,ADDR1298,AREA0007,I型集中器,GPRS,2023-09-03,
TERM00299,ADDR1299,AREA0004,I型集中器,4G,2025-08-29,
TERM00300,ADDR1300,AREA0026,I型集中器,4G,2024-11-09,
