user_id,user_name,user_type,terminal_id,area_id,scenario_seed
USR00188,模拟用户188,居民,TERM00272,AREA0043,
USR00189,模拟用户189,三相工业,TERM00049,AREA0025,
USR00190,模拟用户190,居民,TERM00255,AREA0036,
USR00191,模拟用户191,居民,TERM00237,AREA0045,
USR00192,模拟用户192,工商业,TERM00070,AREA0005,
USR00193,模拟用户193,三相工业,TERM00188,AREA0033,
USR00194,模拟用户194,居民,TERM00053,AREA0039,
USR00195,模拟用户195,工商业,TERM00134,AREA0036,SC-05
USR00196,模拟用户196,居民,TERM00172,AREA0018,
USR00197,模拟用户197,工商业,TERM00265,AREA0005,
USR00198,模拟用户198,居民,TERM00199,AREA0011,
USR00199,模拟用户199,居民,TERM00068,AREA0013,
USR00200,模拟用户200,居民,TERM00072,AREA0043,
USR00201,模拟用户201,居民,TERM00208,AREA0008,
USR00202,模拟用户202,工商业,TERM00170,AREA0035,
USR00203,模拟用户203,三相工业,TERM00142,AREA0024,
USR00204,模拟用户204,三相工业,TERM00181,AREA0001,
USR00205,模拟用户205,居民,TERM00107,AREA0015,
USR00206,模拟用户206,工商业,TERM00288,AREA0028,
USR00207,模拟用户207,居民,TERM00034,AREA0038,
USR00208,模拟用户208,居民,TERM00012,AREA0048,
USR00209,模拟用户209,居民,TERM00105,AREA0045,
USR00210,模拟用户210,工商业,TERM00236,AREA0047,SC-14
USR00211,模拟用户211,工商业,TERM00258,AREA0015,
USR00212,模拟用户212,工商业,TERM00262,AREA0041,SC-12
USR00213,模拟用户213,居民,TERM00075,AREA0019,
USR00214,模拟用户214,居民,TERM00210,AREA0020,
USR00215,模拟用户215,工商业,TERM00291,AREA0027,
USR00216,模拟用户216,居民,TERM00126,AREA0026,
USR00217,模拟用户217,居民,TERM00013,AREA0035,
USR00218,模拟用户218,光伏,TERM00082,AREA0041,
USR00219,模拟用户219,居民,TERM00262,AREA0041,
USR00220,模拟用户220,居民,TERM00014,AREA0006,
USR00221,模拟用户221,居民,TERM00216,AREA0006,
USR00222,模拟用户222,居民,TERM00257,AREA0038,
USR00223,模拟用户223,工商业,TERM00098,AREA0047,
USR00224,模拟用户224,居民,TERM00078,AREA0007,
USR00225,模拟用户225,工商业,TERM00281,AREA0016,
USR00226,模拟用户226,居民,TERM00294,AREA0004,
USR00227,模拟用户227,光伏,TERM00264,AREA0015,
USR00228,模拟用户228,工商业,TERM00192,AREA0041,
USR00229,模拟用户229,工商业,TERM00043,AREA0010,
USR00230,模拟用户230,居民,TERM00143,AREA0015,
USR00231,模拟用户231,工商业,TERM00023,AREA0039,
USR00232,模拟用户232,居民,TERM00022,AREA0033,
USR00233,模拟用户233,居民,TERM00023,AREA0039,
USR00234,模拟用户234,工商业,TERM00257,AREA0038,
USR00235,模拟用户235,居民,TERM00286,AREA0007,
USR00236,模拟用户236,居民,TERM00224,AREA0009,
USR00237,模拟用户237,工商业,TERM00155,AREA0028,
USR00238,模拟用户238,居民,TERM00283,AREA0027,
USR00239,模拟用户239,居民,TERM00081,AREA0030,
USR00240,模拟用户240,居民,TERM00282,AREA0031,
USR00241,模拟用户241,居民,TERM00112,AREA0004,
USR00242,模拟用户242,三相工业,TERM00257,AREA0038,
USR00243,模拟用户243,工商业,TERM00164,AREA0036,
USR00244,模拟用户244,居民,TERM00217,AREA0047,
USR00245,模拟用户245,光伏,TERM00090,AREA0045,
USR00246,模拟用户246,三相工业,TERM00173,AREA0050,
USR00247,模拟用户247,居民,TERM00278,AREA0037,
USR00248,模拟用户248,居民,TERM00079,AREA0025,
USR00249,模拟用户249,居民,TERM00145,AREA0033,
USR00250,模拟用户250,工商业,TERM00088,AREA0043,
USR00251,模拟用户251,居民,TERM00019,AREA0006,
USR00252,模拟用户252,工商业,TERM00044,AREA0014,
USR00253,模拟用户253,居民,TERM00258,AREA0015,
USR00254,模拟用户254,居民,TERM00048,AREA0006,
USR00255,模拟用户255,居民,TERM00173,AREA0050,
USR00256,模拟用户256,居民,TERM00219,AREA0005,
USR00257,模拟用户257,工商业,TERM00071,AREA0003,
USR00258,模拟用户258,工商业,TERM00183,AREA0047,
USR00259,模拟用户259,居民,TERM00034,AREA0038,
USR00260,模拟用户260,居民,TERM00268,AREA0005,
USR00261,模拟用户261,居民,TERM00085,AREA0024,
USR00262,模拟用户262,居民,TERM00156,AREA0039,
USR00263,模拟用户263,居民,TERM00278,AREA0037,
USR00264,模拟用户264,居民,TERM00177,AREA0019,
USR00265,模拟用户265,光伏,TERM00174,AREA0042,
USR00266,模拟用户266,工商业,TERM00055,AREA0003,
USR00267,模拟用户267,光伏,TERM00264,AREA0015,
USR00268,模拟用户268,居民,TERM00076,AREA0006,
USR00269,模拟用户269,三相工业,TERM00192,AREA0041,
USR00270,模拟用户270,居民,TERM00129,AREA0010,
USR00271,模拟用户271,居民,TERM00027,AREA0046,
USR00272,模拟用户272,居民,TERM00105,AREA0045,
USR00273,模拟用户273,居民,TERM00029,AREA0045,
USR00274,模拟用户274,居民,TERM00060,AREA0025,
USR00275,模拟用户275,居民,TERM00241,AREA0026,
USR00276,模拟用户276,居民,TERM00209,AREA0024,
USR00277,模拟用户277,光伏,TERM00022,AREA0033,
USR00278,模拟用户278,居民,TERM00013,AREA0035,
USR00279,模拟用户279,居民,TERM00249,AREA0016,
USR00280,模拟用户280,居民,TERM00243,AREA0042,
USR00281,模拟用户281,工商业,TERM00078,AREA0007,SC-11
USR00282,模拟用户282,居民,TERM00136,AREA0017,
USR00283,模拟用户283,三相工业,TERM00158,AREA0025,
USR00284,模拟用户284,居民,TERM00055,AREA0003,
USR00285,模拟用户285,居民,TERM00173,AREA0050,
USR00286,模拟用户286,工商业,TERM00039,AREA0045,
USR00287,模拟用户287,光伏,TERM00147,AREA0006,
USR00288,模拟用户288,工商业,TERM00199,AREA0011,
USR00289,模拟用户289,居民,TERM00021,AREA0015,
USR00290,模拟用户290,三相工业,TERM00167,AREA0047,
USR00291,模拟用户291,居民,TERM00219,AREA0005,
USR00292,模拟用户292,居民,TERM00113,AREA0015,
USR00293,模拟用户293,居民,TERM00128,AREA0030,
USR00294,模拟用户294,工商业,TERM00271,AREA0018,
USR00295,模拟用户295,三相工业,TERM00080,AREA0018,
USR00296,模拟用户296,居民,TERM00294,AREA0004,
USR00297,模拟用户297,三相工业,TERM00289,AREA0023,
USR00298,模拟用户298,居民,TERM00263,AREA0004,
USR00299,模拟用户299,居民,TERM00194,AREA0039,
USR00300,模拟用户300,居民,TERM00093,AREA0005,
USR00301,模拟用户301,居民,TERM00204,AREA0039,
USR00302,模拟用户302,居民,TERM00188,AREA0033,
USR00303,模拟用户303,居民,TERM00096,AREA0011,
USR00304,模拟用户304,居民,TERM00114,AREA0003,
USR00305,模拟用户305,居民,TERM00105,AREA0045,
USR00306,模拟用户306,工商业,TERM00003,AREA0002,
USR00307,模拟用户307,三相工业,TERM00064,AREA0041,
USR00308,模拟用户308,居民,TERM00245,AREA0029,
USR00309,模拟用户309,居民,TERM00170,AREA0035,
USR00310,模拟用户310,居民,TERM00075,AREA0019,
USR00311,模拟用户311,工商业,TERM00083,AREA0024,
USR00312,模拟用户312,居民,TERM00191,AREA0020,
USR00313,模拟用户313,居民,TERM00055,AREA0003,
USR00314,模拟用户314,居民,TERM00075,AREA0019,
USR00315,模拟用户315,居民,TERM00190,AREA0041,
USR00316,模拟用户316,工商业,TERM00246,AREA0034,
USR00317,模拟用户317,居民,TERM00282,AREA0031,SC-10
USR00318,模拟用户318,居民,TERM00205,AREA0021,
USR00319,模拟用户319,居民,TERM00086,AREA0023,
USR00320,模拟用户320,工商业,TERM00227,AREA0036,
USR00321,模拟用户321,居民,TERM00237,AREA0045,
USR00322,模拟用户322,工商业,TERM00066,AREA0024,
USR00323,模拟用户323,三相工业,TERM00133,AREA0048,
USR00324,模拟用户324,居民,TERM00237,AREA0045,
USR00325,模拟用户325,居民,TERM00070,AREA0005,
USR00326,模拟用户326,居民,TERM00025,AREA0036,
USR00327,模拟用户327,工商业,TERM00225,AREA0043,
USR00328,模拟用户328,居民,TERM00013,AREA0035,
USR00329,模拟用户329,工商业,TERM00133,AREA0048,
USR00330,模拟用户330,光伏,TERM00033,AREA0029,
USR00331,模拟用户331,居民,TERM00136,AREA0017,
USR00332,模拟用户332,居民,TERM00279,AREA0037,
USR00333,模拟用户333,居民,TERM00263,AREA0004,
USR00334,模拟用户334,光伏,TERM00235,AREA0049,SC-13
USR00335,模拟用户335,居民,TERM00115,AREA0021,SC-13
USR00336,模拟用户336,居民,TERM00297,AREA0042,
USR00337,模拟用户337,工商业,TERM00033,AREA0029,SC-13
USR00338,模拟用户338,居民,TERM00293,AREA0047,
USR00339,模拟用户339,三相工业,TERM00113,AREA0015,
USR00340,模拟用户340,三相工业,TERM00253,AREA0002,
USR00341,模拟用户341,居民,TERM00032,AREA0015,
USR00342,模拟用户342,居民,TERM00100,AREA0011,
USR00343,模拟用户343,居民,TERM00236,AREA0047,
USR00344,模拟用户344,居民,TERM00277,AREA0047,
USR00345,模拟用户345,居民,TERM00205,AREA0021,
USR00346,模拟用户346,居民,TERM00115,AREA0021,
USR00347,模拟用户347,工商业,TERM00120,AREA0037,
USR00348,模拟用户348,居民,TERM00168,AREA0008,
USR00349,模拟用户349,居民,TERM00095,AREA0041,
USR00350,模拟用户350,居民,TERM00176,AREA0008,
USR00351,模拟用户351,工商业,TERM00192,AREA0041,
USR00352,模拟用户352,居民,TERM00211,AREA0016,
USR00353,模拟用户353,光伏,TERM00203,AREA0001,
USR00354,模拟用户354,居民,TERM00170,AREA0035,
USR00355,模拟用户355,居民,TERM00147,AREA0006,
USR00356,模拟用户356,工商业,TERM00177,AREA0019,
USR00357,模拟用户357,工商业,TERM00236,AREA0047,SC-12
USR00358,模拟用户358,居民,TERM00111,AREA0050,
USR00359,模拟用户359,居民,TERM00158,AREA0025,
USR00360,模拟用户360,居民,TERM00278,AREA0037,
USR00361,模拟用户361,居民,TERM00120,AREA0037,
USR00362,模拟用户362,居民,TERM00061,AREA0006,SC-02
USR00363,模拟用户363,居民,TERM00048,AREA0006,
USR00364,模拟用户364,居民,TERM00204,AREA0039,
USR00365,模拟用户365,居民,TERM00068,AREA0013,
USR00366,模拟用户366,工商业,TERM00094,AREA0039,
USR00367,模拟用户367,居民,TERM00289,AREA0023,
USR00368,模拟用户368,工商业,TERM00278,AREA0037,
USR00369,模拟用户369,工商业,TERM00097,AREA0035,
USR00370,模拟用户370,居民,TERM00178,AREA0028,
USR00371,模拟用户371,居民,TERM00161,AREA0030,
USR00372,模拟用户372,居民,TERM00094,AREA0039,SC-05
USR00373,模拟用户373,三相工业,TERM00129,AREA0010,
USR00374,模拟用户374,居民,TERM00250,AREA0015,
USR00375,模拟用户375,居民,TERM00211,AREA0016,SC-02
USR00376,模拟用户376,三相工业,TERM00222,AREA0050,
USR00377,模拟用户377,三相工业,TERM00291,AREA0027,
USR00378,模拟用户378,工商业,TERM00136,AREA0017,SC-03
USR00379,模拟用户379,居民,TERM00112,AREA0004,
USR00380,模拟用户380,工商业,TERM00266,AREA0003,
USR00381,模拟用户381,居民,TERM00299,AREA0004,
USR00382,模拟用户382,三相工业,TERM00214,AREA0037,
USR00383,模拟用户383,居民,TERM00132,AREA0016,
USR00384,模拟用户384,居民,TERM00061,AREA0006,
USR00385,模拟用户385,三相工业,TERM00182,AREA0047,SC-15
USR00386,模拟用户386,居民,TERM00114,AREA0003,
USR00387,模拟用户387,居民,TERM00132,AREA0016,
USR00388,模拟用户388,三相工业,TERM00100,AREA0011,
USR00389,模拟用户389,光伏,TERM00012,AREA0048,SC-10
USR00390,模拟用户390,工商业,TERM00242,AREA0043,
USR00391,模拟用户391,三相工业,TERM00080,AREA0018,
USR00392,模拟用户392,工商业,TERM00158,AREA0025,
USR00393,模拟用户393,居民,TERM00080,AREA0018,
USR00394,模拟用户394,工商业,TERM00205,AREA0021,
USR00395,模拟用户395,居民,TERM00280,AREA0031,SC-03
USR00396,模拟用户396,光伏,TERM00154,AREA0044,
USR00397,模拟用户397,工商业,TERM00125,AREA0032,
USR00398,模拟用户398,居民,TERM00190,AREA0041,
USR00399,模拟用户399,居民,TERM00136,AREA0017,
USR00400,模拟用户400,居民,TERM00239,AREA0046,
USR00401,模拟用户401,居民,TERM00263,AREA0004,
USR00402,模拟用户402,居民,TERM00180,AREA0030,
USR00403,模拟用户403,居民,TERM00106,AREA0036,
USR00404,模拟用户404,三相工业,TERM00084,AREA0011,
USR00405,模拟用户405,居民,TERM00167,AREA0047,
USR00406,模拟用户406,居民,TERM00098,AREA0047,
USR00407,模拟用户407,三相工业,TERM00121,AREA0046,SC-05
USR00408,模拟用户408,居民,TERM00111,AREA0050,
USR00409,模拟用户409,三相工业,TERM00206,AREA0032,SC-10
USR00410,模拟用户410,三相工业,TERM00213,AREA0016,SC-13
USR00411,模拟用户411,居民,TERM00046,AREA0022,SC-17
USR00412,模拟用户412,居民,TERM00129,AREA0010,
USR00413,模拟用户413,居民,TERM00019,AREA0006,
USR00414,模拟用户414,居民,TERM00011,AREA0044,
USR00415,模拟用户415,居民,TERM00028,AREA0042,
USR00416,模拟用户416,工商业,TERM00034,AREA0038,SC-17
USR00417,模拟用户417,工商业,TERM00179,AREA0011,
USR00418,模拟用户418,工商业,TERM00057,AREA0030,
USR00419,模拟用户419,三相工业,TERM00255,AREA0036,
USR00420,模拟用户420,居民,TERM00195,AREA0013,
USR00421,模拟用户421,居民,TERM00189,AREA0007,
USR00422,模拟用户422,居民,TERM00085,AREA0024,
USR00423,模拟用户423,居民,TERM00281,AREA0016,
USR00424,模拟用户424,工商业,TERM00216,AREA0006,
USR00425,模拟用户425,居民,TERM00053,AREA0039,
USR00426,模拟用户426,居民,TERM00110,AREA0050,
USR00427,模拟用户427,工商业,TERM00211,AREA0016,
USR00428,模拟用户428,居民,TERM00072,AREA0043,
USR00429,模拟用户429,工商业,TERM00283,AREA0027,
USR00430,模拟用户430,居民,TERM00244,AREA0024,
USR00431,模拟用户431,居民,TERM00190,AREA0041,
USR00432,模拟用户432,居民,TERM00254,AREA0038,
USR00433,模拟用户433,居民,TERM00044,AREA0014,
USR00434,模拟用户434,居民,TERM00268,AREA0005,
USR00435,模拟用户435,三相工业,TERM00248,AREA0008,
USR00436,模拟用户436,居民,TERM00102,AREA0025,
USR00437,模拟用户437,居民,TERM00031,AREA0027,
USR00438,模拟用户438,居民,TERM00024,AREA0002,
USR00439,模拟用户439,居民,TERM00168,AREA0008,
USR00440,模拟用户440,工商业,TERM00157,AREA0005,
USR00441,模拟用户441,三相工业,TERM00284,AREA0013,SC-13
USR00442,模拟用户442,居民,TERM00154,AREA0044,
USR00443,模拟用户443,居民,TERM00205,AREA0021,
USR00444,模拟用户444,居民,TERM00280,AREA0031,
USR00445,模拟用户445,工商业,TERM00058,AREA0035,
USR00446,模拟用户446,工商业,TERM00298,AREA0007,
USR00447,模拟用户447,工商业,TERM00123,AREA0014,
USR00448,模拟用户448,光伏,TERM00209,AREA0024,
USR00449,模拟用户449,居民,TERM00092,AREA0042,
USR00450,模拟用户450,工商业,TERM00163,AREA0017,
USR00451,模拟用户451,三相工业,TERM00249,AREA0016,SC-03
USR00452,模拟用户452,居民,TERM00261,AREA0046,
USR00453,模拟用户453,工商业,TERM00270,AREA0016,
USR00454,模拟用户454,居民,TERM00171,AREA0049,
USR00455,模拟用户455,居民,TERM00177,AREA0019,
USR00456,模拟用户456,居民,TERM00063,AREA0019,
USR00457,模拟用户457,居民,TERM00031,AREA0027,
USR00458,模拟用户458,居民,TERM00140,AREA0038,
USR00459,模拟用户459,工商业,TERM00047,AREA0007,
USR00460,模拟用户460,光伏,TERM00008,AREA0009,
USR00461,模拟用户461,居民,TERM00176,AREA0008,
USR00462,模拟用户462,三相工业,TERM00281,AREA0016,SC-12
USR00463,模拟用户463,居民,TERM00168,AREA0008,
USR00464,模拟用户464,居民,TERM00268,AREA0005,
USR00465,模拟用户465,光伏,TERM00029,AREA0045,
USR00466,模拟用户466,工商业,TERM00004,AREA0048,
USR00467,模拟用户467,居民,TERM00076,AREA0006,
USR00468,模拟用户468,居民,TERM00169,AREA0044,
USR00469,模拟用户469,居民,TERM00113,AREA0015,
USR00470,模拟用户470,居民,TERM00129,AREA0010,
USR00471,模拟用户471,居民,TERM00017,AREA0003,
USR00472,模拟用户472,居民,TERM00019,AREA0006,
USR00473,模拟用户473,居民,TERM00007,AREA0015,
USR00474,模拟用户474,居民,TERM00299,AREA0004,
USR00475,模拟用户475,工商业,TERM00056,AREA0047,
USR00476,模拟用户476,工商业,TERM00195,AREA0013,SC-13
USR00477,模拟用户477,工商业,TERM00224,AREA0009,
