user_id,ct_ratio_marketing,ct_ratio_meter,is_consistent,diff_fields
USR00170,1,1,True,
USR00171,1,1,True,
USR00172,1,1,True,
USR00173,1,1,True,
USR00174,1,1,True,
USR00175,1,1,True,
USR00176,1,1,True,
USR00177,1,1,True,
USR00178,1,1,True,
USR00179,1,1,True,
USR00180,1,1,True,
USR00181,1,1,True,
USR00182,1,1,True,
USR00183,1,1,True,
USR00184,1,1,True,
USR00185,1,1,True,
USR00186,1,1,True,
USR00187,1,1,True,
USR00188,1,1,True,
USR00189,1,1,True,
USR00190,1,1,True,
USR00191,1,1,True,
USR00192,1,1,True,
USR00193,1,1,True,
USR00194,1,1,True,
USR00195,1,1,True,
USR00196,1,1,True,
USR00197,1,1,True,
USR00198,1,1,True,
USR00199,1,1,True,
USR00200,1,1,True,
USR00201,1,1,True,
USR00202,1,1,True,
USR00203,1,1,True,
USR00204,1,1,True,
USR00205,1,1,True,
USR00206,1,1,True,
USR00207,1,1,True,
USR00208,1,1,True,
USR00209,1,1,True,
USR00210,1,1,True,
USR00211,1,1,True,
USR00212,1,1,True,
USR00213,1,1,True,
USR00214,1,1,True,
USR00215,1,1,True,
USR00216,1,1,True,
USR00217,1,1,True,
USR00218,1,1,True,
USR00219,1,1,True,
USR00220,1,1,True,
USR00221,1,1,True,
USR00222,1,1,True,
USR00223,1,1,True,
USR00224,1,1,True,
USR00225,1,1,True,
USR00226,1,1,True,
USR00227,1,1,True,
USR00228,1,1,True,
USR00229,1,1,True,
USR00230,1,1,True,
USR00231,1,1,True,
USR00232,1,1,True,
USR00233,1,1,True,
USR00234,1,1,True,
USR00235,1,1,True,
USR00236,1,1,True,
USR00237,1,1,True,
USR00238,1,1,True,
USR00239,1,1,True,
USR00240,1,1,True,
USR00241,1,1,True,
USR00242,1,1,True,
USR00243,1,1,True,
USR00244,1,1,True,
USR00245,1,1,True,
USR00246,1,1,True,
USR00247,1,1,True,
USR00248,1,1,True,
USR00249,1,1,True,
USR00250,1,1,True,
USR00251,1,1,True,
USR00252,1,1,True,
USR00253,1,1,True,
USR00254,1,1,True,
USR00255,1,1,True,
USR00256,1,1,True,
USR00257,1,1,True,
USR00258,1,1,True,
USR00259,1,1,True,
USR00260,1,1,True,
USR00261,1,1,True,
USR00262,1,1,True,
USR00263,1,1,True,
USR00264,1,1,True,
USR00265,1,1,True,
USR00266,1,1,True,
USR00267,1,1,True,
USR00268,1,1,True,
USR00269,1,1,True,
USR00270,1,1,True,
USR00271,1,1,True,
USR00272,1,1,True,
USR00273,1,1,True,
USR00274,1,1,True,
USR00275,1,1,True,
USR00276,1,1,True,
USR00277,1,1,True,
USR00278,1,1,True,
USR00279,1,1,True,
USR00280,1,1,True,
USR00281,1,1,True,
USR00282,1,1,True,
USR00283,1,1,True,
USR00284,1,1,True,
USR00285,1,1,True,
USR00286,1,1,True,
USR00287,1,1,True,
USR00288,1,1,True,
USR00289,1,1,True,
USR00290,1,1,True,
USR00291,1,1,True,
USR00292,1,1,True,
USR00293,1,1,True,
USR00294,1,1,True,
USR00295,1,1,True,
USR00296,1,1,True,
USR00297,1,1,True,
USR00298,1,1,True,
USR00299,1,1,True,
USR00300,1,1,True,
USR00301,1,1,True,
USR00302,1,1,True,
USR00303,1,1,True,
USR00304,1,1,True,
USR00305,1,1,True,
USR00306,1,1,True,
USR00307,1,1,True,
USR00308,1,1,True,
USR00309,1,1,True,
USR00310,1,1,True,
USR00311,1,1,True,
USR00312,1,1,True,
USR00313,1,1,True,
USR00314,1,1,True,
USR00315,1,1,True,
USR00316,1,1,True,
USR00317,1,2,False,ct_ratio
USR00318,1,1,True,
USR00319,1,1,True,
USR00320,1,1,True,
USR00321,1,1,True,
USR00322,1,1,True,
USR00323,1,1,True,
USR00324,1,1,True,
USR00325,1,1,True,
USR00326,1,1,True,
USR00327,1,1,True,
USR00328,1,1,True,
USR00329,1,1,True,
USR00330,1,1,True,
USR00331,1,1,True,
USR00332,1,1,True,
USR00333,1,1,True,
USR00334,1,1,True,
USR00335,1,1,True,
USR00336,1,1,True,
USR00337,1,1,True,
USR00338,1,1,True,
USR00339,1,1,True,
USR00340,1,1,True,
USR00341,1,1,True,
USR00342,1,1,True,
USR00343,1,1,True,
USR00344,1,1,True,
USR00345,1,1,True,
USR00346,1,1,True,
USR00347,1,1,True,
USR00348,1,1,True,
USR00349,1,1,True,
USR00350,1,1,True,
USR00351,1,1,True,
USR00352,1,1,True,
USR00353,1,1,True,
USR00354,1,1,True,
USR00355,1,1,True,
USR00356,1,1,True,
USR00357,1,1,True,
USR00358,1,1,True,
USR00359,1,1,True,
USR00360,1,1,True,
USR00361,1,1,True,
USR00362,1,1,True,
USR00363,1,1,True,
USR00364,1,1,True,
USR00365,1,1,True,
USR00366,1,1,True,
USR00367,1,1,True,
USR00368,1,1,True,
USR00369,1,1,True,
USR00370,1,1,True,
USR00371,1,1,True,
USR00372,1,1,True,
USR00373,1,1,True,
USR00374,1,1,True,
USR00375,1,1,True,
USR00376,1,1,True,
USR00377,1,1,True,
USR00378,1,1,True,
USR00379,1,1,True,
USR00380,1,1,True,
USR00381,1,1,True,
USR00382,1,1,True,
USR00383,1,1,True,
USR00384,1,1,True,
USR00385,1,1,True,
USR00386,1,1,True,
USR00387,1,1,True,
USR00388,1,1,True,
USR00389,1,2,False,ct_ratio
USR00390,1,1,True,
USR00391,1,1,True,
USR00392,1,1,True,
USR00393,1,1,True,
USR00394,1,1,True,
USR00395,1,1,True,
USR00396,1,1,True,
USR00397,1,1,True,
USR00398,1,1,True,
USR00399,1,1,True,
USR00400,1,1,True,
USR00401,1,1,True,
USR00402,1,1,True,
USR00403,1,1,True,
USR00404,1,1,True,
USR00405,1,1,True,
USR00406,1,1,True,
USR00407,1,1,True,
USR00408,1,1,True,
USR00409,1,2,False,ct_ratio
USR00410,1,1,True,
USR00411,1,1,True,
USR00412,1,1,True,
USR00413,1,1,True,
USR00414,1,1,True,
USR00415,1,1,True,
USR00416,1,1,True,
USR00417,1,1,True,
USR00418,1,1,True,
USR00419,1,1,True,
USR00420,1,1,True,
USR00421,1,1,True,
USR00422,1,1,True,
USR00423,1,1,True,
USR00424,1,1,True,
USR00425,1,1,True,
USR00426,1,1,True,
USR00427,1,1,True,
USR00428,1,1,True,
USR00429,1,1,True,
USR00430,1,1,True,
USR00431,1,1,True,
USR00432,1,1,True,
USR00433,1,1,True,
USR00434,1,1,True,
USR00435,1,1,True,
USR00436,1,1,True,
USR00437,1,1,True,
USR00438,1,1,True,
USR00439,1,1,True,
USR00440,1,1,True,
USR00441,1,1,True,
USR00442,1,1,True,
USR00443,1,1,True,
USR00444,1,1,True,
USR00445,1,1,True,
USR00446,1,1,True,
USR00447,1,1,True,
USR00448,1,1,True,
USR00449,1,1,True,
USR00450,1,1,True,
USR00451,1,1,True,
USR00452,1,1,True,
USR00453,1,1,True,
USR00454,1,1,True,
USR00455,1,1,True,
USR00456,1,1,True,
USR00457,1,1,True,
USR00458,1,1,True,
USR00459,1,1,True,
USR00460,1,1,True,
USR00461,1,1,True,
USR00462,1,1,True,
USR00463,1,1,True,
USR00464,1,1,True,
USR00465,1,1,True,
USR00466,1,1,True,
USR00467,1,1,True,
USR00468,1,1,True,
USR00469,1,1,True,
USR00470,1,1,True,
USR00471,1,1,True,
USR00472,1,1,True,
USR00473,1,1,True,
USR00474,1,1,True,
USR00475,1,1,True,
USR00476,1,1,True,
USR00477,1,1,True,
USR00478,1,1,True,
USR00479,1,1,True,
USR00480,1,1,True,
USR00481,1,1,True,
USR00482,1,1,True,
USR00483,1,1,True,
USR00484,1,1,True,
USR00485,1,1,True,
USR00486,1,1,True,
USR00487,1,1,True,
USR00488,1,1,True,
USR00489,1,1,True,
USR00490,1,1,True,
USR00491,1,1,True,
USR00492,1,1,True,
USR00493,1,1,True,
USR00494,1,1,True,
USR00495,1,1,True,
USR00496,1,2,False,ct_ratio
USR00497,1,1,True,
USR00498,1,1,True,
USR00499,1,1,True,
USR00500,1,1,True,
